"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Triaenops persicus",2,"","","0.2705","0.2733","",1.01,""
"Trichechus manatus",2,"","","364","350","",1.04,""
"Trichosurus vulpecula",2,"","","11.199","12.5225","",1.118,""
"Tupaia glis",3,"2.752","","3.2","2.8233","",1.163,""
"Tupaia minor",2,"","","2.58","2.58","",1,""
"Tursiops truncatus",2,"","","1572.9984","1614.3333","",1.026,""
"Tylonycteris pachypus",2,"","","0.077","0.0743","",1.036,""
"Tylonycteris robustula",2,"","","0.116","0.1205","",1.039,""
"Uroderma bilobatum",2,"","","0.5537","0.62","",1.12,""
"Urogale everetti",2,"","","4.28","4.28","",1,""
"Ursus arctos",2,"","","335.9683","385","",1.146,""
"Ursus maritimus",2,"","","507","472.68","",1.073,""
"Vampyressa pusilla",2,"","","0.394","0.415","",1.053,""
"Vampyrum spectrum",2,"","","2.8685","2.587","",1.109,""
"Varecia variegata",2,"","","30.72","31.5767","",1.028,""
"Vulpes vulpes",2,"","","49.64","45.6283","",1.088,""
"Zalophus californianus",2,"","","405","363","",1.116,""
"Ziphius cavirostris",2,"","","2004","2004","",1,""
