"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Nesogale dobsoni",5,2,0.56,NA,"","Burger2019(Burger,secondary)=0.56 | Stephan1981(Stephan_collection,primary)=0.56 | Stephan1981(Stephan_collection,primary)=0.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Notamacropus rufogriseus",5,3,34,NA,"","Karl2024(Karl,secondary)=28.2 | Burger2019(Burger,secondary)=36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=37.8"
"Ornithorhynchus anatinus",5,3,8.75,NA,"","Burger2019(Burger,secondary)=10.08 | Changizi2005(Changizi,primary)=9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=8.5"
"Oryzorictes hova",5,2,0.58,NA,"","Burger2019(Burger,secondary)=0.58 | Stephan1981(Stephan_collection,primary)=0.58 | Stephan1981(Stephan_collection,primary)=0.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pagophilus groenlandicus",5,2,275.5,NA,"","Jacobs2018(Jacobs,info)=276 | Jacobs2018(Jacobs,info)=276 | Burger2019(Burger,secondary)=275 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Papio cynocephalus",5,2,153.646,NA,"","Burger2019(Burger,secondary)=156.1 | HerculanoHouzel2015(HerculanoHouzel,secondary)=151.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=151.19"
"Papio ursinus",5,2,189.7,NA,"","Jacobs2018(Jacobs,info)=214.4 | Jacobs2018(Jacobs,info)=214.4 | Burger2019(Burger,secondary)=165 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phoca vitulina",5,2,294.375,NA,"","Burger2019(Burger,secondary)=315 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=273.75 | Lewitus2013(Lewitus,secondary)=273.75"
"Phocoena phocoena",5,3,455,NA,"","Burger2019(Burger,secondary)=1735 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=537 | Brodmann1913(Brodmann,primary)=455"
"Pongo sp.",5,2,345.9,NA,"","Bauernfeind2013(Zilles,primary)=358 | Bauernfeind2013(Zilles,primary)=333.8 | Burger2019(Burger,secondary)=389.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus giganteus",5,2,8.39,NA,"","Burger2019(Burger,secondary)=7.78 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=9 | Lewitus2013(Lewitus,secondary)=9"
"Saimiri boliviensis",5,2,24.78,NA,"","Jacobs2018(Jacobs,info)=25.5 | Jacobs2018(Jacobs,info)=25.5 | Burger2019(Burger,secondary)=24.06 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Sapajus apella",5,2,61.829,NA,"","Burger2019(Burger,secondary)=71.3 | HerculanoHouzel2015(HerculanoHouzel,secondary)=52.51 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=52.21"
"Symphalangus syndactylus",5,2,138.7,NA,"","deSousa2010(Zilles,primary)=138.7 | Bauernfeind2013(Zilles,primary)=138.7 | Burger2019(Burger,secondary)=134.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Tachyglossus aculeatus",5,3,11,NA,"","Burger2019(Burger,secondary)=20.73 | Changizi2005(Changizi,primary)=11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=27.5"
"Tarsius sp.",5,1,3.6,NA,"","Stephan1981(Stephan_collection,primary)=3.6 | Stephan1981(Stephan_collection,primary)=3.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Frahm1998(Stephan_collection,secondary)=3.6"
"Tupaia minor",5,2,2.58,NA,"","Burger2019(Burger,secondary)=2.58 | Stephan1981(Stephan_collection,primary)=2.58 | Stephan1981(Stephan_collection,primary)=2.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Tursiops truncatus",5,2,1531,NA,"","Burger2019(Burger,secondary)=1573 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1489 | Lewitus2013(Lewitus,secondary)=1489"
"Ursus maritimus",5,2,489.84,NA,"","Burger2019(Burger,secondary)=507 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=472.68 | Lewitus2013(Lewitus,secondary)=472.68"
"Vulpes vulpes",5,2,47.6342,NA,"","Burger2019(Burger,secondary)=49.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=45.63 | Lewitus2013(Lewitus,secondary)=45.63"
"Zalophus californianus",5,2,384,NA,"","Burger2019(Burger,secondary)=405 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=363 | Lewitus2013(Lewitus,secondary)=363"
"Alouatta caraya",4,2,55.8,NA,"","Bauernfeind2013(Zilles,primary)=55.8 | Burger2019(Burger,secondary)=50.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Amblonyx cinereus",4,1,38.1,NA,"","Jacobs2018(Jacobs,info)=38.1 | Jacobs2018(Jacobs,info)=38.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles paniscus",4,2,108.73,NA,"","Burger2019(Burger,secondary)=108.96 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=108.5"
"Axis axis",4,2,219,NA,"","Garwicz2009(Garwicz,secondary)=219 | Burger2019(Burger,secondary)=219 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Balaenoptera acutorostrata",4,2,2766.95,NA,"","AvelinodeSouza2025(AvelinodeSouza,secondary)=2683.9 | Burger2019(Burger,secondary)=2850 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bathyergus suillus",4,2,3.765,NA,"","Kverkova2018(Kverkova,secondary)=3.78 | Burger2019(Burger,secondary)=3.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Bettongia penicillata",4,2,9.58,NA,"","Karl2024(Karl,secondary)=9.6 | Burger2019(Burger,secondary)=9.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callithrix sp.",4,2,7.5,NA,"","HerculanoHouzel2015(HerculanoHouzel,secondary)=7.78 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=7.5"
"Camelus dromedarius",4,2,762,NA,"","Garwicz2009(Garwicz,secondary)=762 | Burger2019(Burger,secondary)=762 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Canis latrans",4,2,85.3675,NA,"","Burger2019(Burger,secondary)=84.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=86.24"
"Cercocebus agilis",4,2,95.3,NA,"","Bauernfeind2013(Zilles,primary)=95.3 | Burger2019(Burger,secondary)=95.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chlorocebus aethiops",4,2,36.54,NA,"","Nudo1995(Nudo,primary)=36.54 | Burger2019(Burger,secondary)=64.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cryptomys hottentotus",4,2,1.01,NA,"","Kverkova2018(Kverkova,secondary)=0.85 | Burger2019(Burger,secondary)=1.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Dasyprocta leporina",4,2,19.23,NA,"","Burger2019(Burger,secondary)=21.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=17.2"
"Dasyurus hallucatus",4,2,4.666,NA,"","Burger2019(Burger,secondary)=3.38 | Changizi2005(Changizi,primary)=4.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Delphinus delphis",4,2,889.13,NA,"","Burger2019(Burger,secondary)=797.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=981"
"Dinomys branickii",4,2,31.625,NA,"","Karl2024(Karl,secondary)=36.3 | Burger2019(Burger,secondary)=26.95 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Eulemur macaco",4,2,28.3,NA,"","Burger2019(Burger,secondary)=22.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=28.3"
"Globicephala macrorhynchus",4,2,2676.148,NA,"","Burger2019(Burger,secondary)=2466 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=2886.3"
"Grampus griseus",4,2,2098.084,NA,"","Burger2019(Burger,secondary)=2551 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1645.17"
"Hapalemur simus",4,1,9.53,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=9.53 | Stephan1970(Stephan_collection,primary)=9.53"
"Heliophobius argenteocinereus",4,2,1.54,NA,"","Kverkova2018(Kverkova,secondary)=1.65 | Burger2019(Burger,secondary)=1.43 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hippopotamus amphibius",4,2,655,NA,"","Garwicz2009(Garwicz,secondary)=590 | Burger2019(Burger,secondary)=720 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lama glama",4,2,240.485,NA,"","Burger2019(Burger,secondary)=264.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2013(Lewitus,secondary)=216.77"
"Macaca maura",4,2,83.3,NA,"","Bauernfeind2013(Zilles,primary)=83.3 | Burger2019(Burger,secondary)=94.48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca nemestrina",4,2,73.2,NA,"","Burger2019(Burger,secondary)=110 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Turner2016(Turner,info)=36.4"
"Macroderma gigas",4,2,1.704,NA,"","Burger2019(Burger,secondary)=1.7 | Changizi2005(Changizi,primary)=1.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macropus eugenii",4,2,23.7,NA,"","Burger2019(Burger,secondary)=23.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=23.7"
"Martes foina",4,2,27,NA,"","Burger2019(Burger,secondary)=20.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=27"
"Microtus pinetorum",4,2,0.37,NA,"","Nudo1995(Nudo,primary)=0.37 | Burger2019(Burger,secondary)=0.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Myrmecophaga tridactyla",4,2,80,NA,"","Karl2024(Karl,secondary)=76 | Burger2019(Burger,secondary)=84 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Neofelis nebulosa",4,2,68.5,NA,"","Karl2024(Karl,secondary)=68.3 | Burger2019(Burger,secondary)=68.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Odocoileus virginianus",4,2,185,NA,"","Burger2019(Burger,secondary)=210 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2013(Lewitus,secondary)=160"
"Orycteropus afer",4,2,75.75,NA,"","Garwicz2009(Garwicz,secondary)=72 | Burger2019(Burger,secondary)=79.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Otolemur garnettii",4,2,10.8229,NA,"","Burger2019(Burger,secondary)=11.5 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=10.15 | NANA(NA,NA)=NA"
"Panthera pardus orientalis",4,1,125.5,NA,"","Jacobs2018(Jacobs,info)=125.5 | Jacobs2018(Jacobs,info)=125.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Panthera tigris altaica",4,1,279.3,NA,"","Jacobs2018(Jacobs,info)=279.3 | Jacobs2018(Jacobs,info)=279.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pithecia pithecia",4,2,30,NA,"","Bauernfeind2013(Zilles,primary)=30 | Burger2019(Burger,secondary)=32.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudorca crassidens",4,2,4375.75,NA,"","Burger2019(Burger,secondary)=4307 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=4444.5"
"Rangifer tarandus",4,2,265.45,NA,"","Karl2024(Karl,secondary)=252.9 | Burger2019(Burger,secondary)=278 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Saguinus geoffroyi",4,2,10.5,NA,"","Bauernfeind2013(Zilles,primary)=10.5 | Burger2019(Burger,secondary)=14.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Sarcophilus harrisii",4,2,15.2,NA,"","Burger2019(Burger,secondary)=16.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=15.2"
"Sorex cinereus",4,2,0.17,NA,"","Burger2019(Burger,secondary)=0.17 | Finlay2006(Finlay,primary)=0.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Sorex fumeus",4,2,0.193,NA,"","Burger2019(Burger,secondary)=0.21 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Sorex palustris",4,2,0.28,NA,"","Burger2019(Burger,secondary)=0.31 | Finlay2006(Finlay,primary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Spermophilus tridecemlineatus",4,2,1.53,NA,"","Nudo1995(Nudo,primary)=1.53 | Burger2019(Burger,secondary)=2.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Tarsius bancanus",4,2,2.85,NA,"","Burger2019(Burger,secondary)=2.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3"
"Trachypithecus francoisi",4,2,102.1,NA,"","Bauernfeind2013(Zilles,primary)=102.1 | Burger2019(Burger,secondary)=94.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Trichosurus vulpecula",4,2,12.5,NA,"","Burger2019(Burger,secondary)=11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=12.5"
"Ursus arctos",4,2,360.485,NA,"","Karl2024(Karl,secondary)=385 | Burger2019(Burger,secondary)=335.97 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Abeomelomys sevia",3,1,1.49,NA,"","Burger2019(Burger,secondary)=1.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Acinonyx jubatus",3,1,111,NA,"","Burger2019(Burger,secondary)=111 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Acomys cahirinus",3,1,0.7,NA,"","Burger2019(Burger,secondary)=0.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Acomys wilsoni",3,1,0.58,NA,"","Burger2019(Burger,secondary)=0.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Acrobates pygmaeus",3,1,0.35,NA,"","Burger2019(Burger,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Addax nasomaculatus",3,1,185,NA,"","Burger2019(Burger,secondary)=185 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aepyceros melampus",3,1,175,NA,"","Burger2019(Burger,secondary)=175 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aepyprymnus rufescens",3,1,12.3,NA,"","Burger2019(Burger,secondary)=12.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aeromys tephromelas",3,1,10.34,NA,"","Burger2019(Burger,secondary)=10.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aethomys chrysophilus",3,1,1.25,NA,"","Burger2019(Burger,secondary)=1.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aethomys hindei",3,1,1.42,NA,"","Burger2019(Burger,secondary)=1.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ailuropoda melanoleuca",3,1,205,NA,"","Burger2019(Burger,secondary)=205 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ailurus fulgens",3,1,46.8,NA,"","Burger2019(Burger,secondary)=46.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Akodon azarae",3,1,0.642,NA,"","Burger2019(Burger,secondary)=0.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alcelaphus buselaphus",3,1,284.9,NA,"","Burger2019(Burger,secondary)=284.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alcelaphus lichtensteinii",3,1,357,NA,"","Burger2019(Burger,secondary)=357 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alces alces",3,1,436,NA,"","Burger2019(Burger,secondary)=436 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alces americanus",3,1,407,NA,"","Burger2019(Burger,secondary)=407 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Allactaga sibirica",3,1,3.5,NA,"","Burger2019(Burger,secondary)=3.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Allenopithecus nigroviridis",3,1,58.021,NA,"","Burger2019(Burger,secondary)=58.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta belzebul",3,1,52.8438,NA,"","Burger2019(Burger,secondary)=52.84 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta guariba",3,1,49.1,NA,"","Burger2019(Burger,secondary)=49.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta macconnelli",3,1,61.3308,NA,"","Burger2019(Burger,secondary)=61.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta pigra",3,1,51.125,NA,"","Burger2019(Burger,secondary)=51.12 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta sara",3,1,59.0833,NA,"","Burger2019(Burger,secondary)=59.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Amblysomus hottentotus",3,1,0.812,NA,"","HerculanoHouzel2015(HerculanoHouzel,secondary)=0.81 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ametrida centurio",3,1,0.29,NA,"","Burger2019(Burger,secondary)=0.29 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammospermophilus harrisii",3,1,2.405,NA,"","Burger2019(Burger,secondary)=2.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammospermophilus insularis",3,1,2.55,NA,"","Burger2019(Burger,secondary)=2.55 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammospermophilus interpres",3,1,2.5,NA,"","Burger2019(Burger,secondary)=2.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammospermophilus leucurus",3,1,2.25,NA,"","Burger2019(Burger,secondary)=2.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammospermophilus nelsoni",3,1,2.625,NA,"","Burger2019(Burger,secondary)=2.62 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ammotragus lervia",3,1,209,NA,"","Burger2019(Burger,secondary)=209 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Anoura caudifer",3,1,0.4225,NA,"","Burger2019(Burger,secondary)=0.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Anoura geoffroyi",3,1,0.583,NA,"","Burger2019(Burger,secondary)=0.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinomys laniger",3,1,0.47,NA,"","Burger2019(Burger,secondary)=0.47 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus agilis",3,1,0.56,NA,"","Burger2019(Burger,secondary)=0.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus bellus",3,1,0.63,NA,"","Burger2019(Burger,secondary)=0.63 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus flavipes",3,1,0.64,NA,"","Burger2019(Burger,secondary)=0.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus leo",3,1,0.75,NA,"","Burger2019(Burger,secondary)=0.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus minimus",3,1,0.74,NA,"","Burger2019(Burger,secondary)=0.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus stuartii",3,1,0.76,NA,"","Burger2019(Burger,secondary)=0.76 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus subtropicus",3,1,0.72,NA,"","Burger2019(Burger,secondary)=0.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antechinus swainsonii",3,1,1.09,NA,"","Burger2019(Burger,secondary)=1.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antilocapra americana",3,1,125.6,NA,"","Burger2019(Burger,secondary)=125.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Antilope cervicapra",3,1,110.8,NA,"","Burger2019(Burger,secondary)=110.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aonyx capensis",3,1,94.6,NA,"","Burger2019(Burger,secondary)=94.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aonyx cinerea",3,1,38.09,NA,"","Burger2019(Burger,secondary)=38.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aotus azarae",3,1,20.7,NA,"","Burger2019(Burger,secondary)=20.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aotus lemurinus",3,1,113.5,NA,"","Burger2019(Burger,secondary)=113.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aotus sp.",3,1,16.35,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | MacLeod2000(MacLeod,secondary)=16.35"
"Aplodontia rufa",3,1,7.04,NA,"","Burger2019(Burger,secondary)=7.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Apodemus agrarius",3,1,0.2,NA,"","Burger2019(Burger,secondary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Apodemus flavicollis",3,1,0.7,NA,"","Burger2019(Burger,secondary)=0.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Apodemus sylvaticus",3,1,0.59,NA,"","Burger2019(Burger,secondary)=0.59 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ara ararauna",3,1,20.7297,NA,"","Olkowicz2016(Olkowicz,primary)=20.73 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctictis binturong",3,1,40.85,NA,"","Burger2019(Burger,secondary)=40.85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocebus aureus",3,1,5.8776,NA,"","Burger2019(Burger,secondary)=5.88 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocebus calabarensis",3,1,6.9214,NA,"","Burger2019(Burger,secondary)=6.92 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus australis",3,1,307.5,NA,"","Burger2019(Burger,secondary)=307.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus forsteri",3,1,320,NA,"","Burger2019(Burger,secondary)=320 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus galapagoensis",3,1,291.25,NA,"","Burger2019(Burger,secondary)=291.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus gazella",3,1,340,NA,"","Burger2019(Burger,secondary)=340 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus philippii",3,1,415,NA,"","Burger2019(Burger,secondary)=415 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus pusillus",3,1,369.38,NA,"","Burger2019(Burger,secondary)=369.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctocephalus tropicalis",3,1,326.25,NA,"","Burger2019(Burger,secondary)=326.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctogalidia trivirgata",3,1,21.98,NA,"","Burger2019(Burger,secondary)=21.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arctonyx collaris",3,1,49.4,NA,"","Burger2019(Burger,secondary)=49.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ardops nichollsi",3,1,0.61,NA,"","Burger2019(Burger,secondary)=0.61 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus cinereus",3,1,0.4685,NA,"","Burger2019(Burger,secondary)=0.47 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus concolor",3,1,0.633,NA,"","Burger2019(Burger,secondary)=0.63 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus glaucus",3,1,0.476,NA,"","Burger2019(Burger,secondary)=0.48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus jamaicensis",3,1,0.9802,NA,"","Burger2019(Burger,secondary)=0.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus lituratus",3,1,1.171,NA,"","Burger2019(Burger,secondary)=1.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus phaeotis",3,1,0.448,NA,"","Burger2019(Burger,secondary)=0.45 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Artibeus toltecus",3,1,0.544,NA,"","Burger2019(Burger,secondary)=0.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arvicanthis niloticus",3,1,1.33,NA,"","Burger2019(Burger,secondary)=1.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Arvicola amphibius",3,1,1.64,NA,"","Burger2019(Burger,secondary)=1.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Asellia tridens",3,1,0.24,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aselliscus stoliczkanus",3,1,0.15,NA,"","Burger2019(Burger,secondary)=0.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Aselliscus tricuspidatus",3,1,0.134,NA,"","Burger2019(Burger,secondary)=0.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles belzebuth",3,1,112.7,NA,"","Burger2019(Burger,secondary)=112.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles chamek",3,1,99,NA,"","Burger2019(Burger,secondary)=99 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles fusciceps",3,1,113.6,NA,"","Burger2019(Burger,secondary)=113.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles hybridus",3,1,103.0541,NA,"","Burger2019(Burger,secondary)=103.05 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ateles marginatus",3,1,97,NA,"","Burger2019(Burger,secondary)=97 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Atelocynus microtis",3,1,62.18,NA,"","Burger2019(Burger,secondary)=62.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Atherurus africanus",3,1,21.89,NA,"","Burger2019(Burger,secondary)=21.89 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Atherurus macrourus",3,1,31.57,NA,"","Burger2019(Burger,secondary)=31.57 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Atilax paludinosus",3,1,28.5,NA,"","Burger2019(Burger,secondary)=28.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Axis porcinus",3,1,142,NA,"","Burger2019(Burger,secondary)=142 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
