"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Saimiri sciureus",15,8,21.63,NA,"","Karl2024(Karl,secondary)=24.9 | Nudo1995(Nudo,primary)=17.04 | Burger2019(Burger,secondary)=23.35 | Finlay2006(Finlay,primary)=24 | HerculanoHouzel2015(HerculanoHouzel,secondary)=30.22 | Changizi2005(Changizi,primary)=22.48 | Stephan1981(Stephan_collection,primary)=24 | Stephan1981(Stephan_collection,primary)=24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=30.22 | Lewitus2014(Lewitus,secondary)=22.98 | Lewitus2013(Lewitus,secondary)=22.98 | Stephan1970(Stephan_collection,primary)=22 | Stephan1970(Stephan_collection,primary)=22"
"Erinaceus europaeus",14,8,3.225,NA,"","Nudo1995(Nudo,primary)=2.26 | Garwicz2009(Garwicz,secondary)=3.5 | Burger2019(Burger,secondary)=3.67 | Finlay2006(Finlay,primary)=3.29 | HerculanoHouzel2015(HerculanoHouzel,secondary)=3.23 | Stephan1981(Stephan_collection,primary)=3.35 | Stephan1981(Stephan_collection,primary)=3.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.5 | Lewitus2013(Lewitus,secondary)=3.5 | Stephan1970(Stephan_collection,primary)=3.35 | Stephan1970(Stephan_collection,primary)=3.35 | Brodmann1913(Brodmann,primary)=4"
"Hylobates lar",14,6,102.25,NA,"","Jacobs2018(Jacobs,info)=134.8 | Jacobs2018(Jacobs,info)=134.8 | deSousa2010(Zilles,primary)=92 | deSousa2010(Zilles,primary)=120 | Bauernfeind2013(Zilles,primary)=92 | deSousa2009(deSousa,secondary)=120 | Burger2019(Burger,secondary)=93.99 | Stephan1981(Stephan_collection,primary)=102 | Stephan1981(Stephan_collection,primary)=102 | deSousa2013(Zilles,secondary)=106 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=101.52 | Lewitus2013(Lewitus,secondary)=101.52"
"Cebus albifrons",12,4,76.9714,NA,"","Bauernfeind2013(Zilles,primary)=79.8 | Burger2019(Burger,secondary)=62.95 | Stephan1981(Stephan_collection,primary)=71 | Stephan1981(Stephan_collection,primary)=71 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=71.23 | Stephan1970(Stephan_collection,primary)=73 | Stephan1970(Stephan_collection,primary)=80 | Stephan1970(Stephan_collection,primary)=73 | Stephan1970(Stephan_collection,primary)=80 | Frahm1998(Stephan_collection,secondary)=71"
"Galago senegalensis",12,5,3.9233,NA,"","Nudo1995(Nudo,primary)=2.4 | Burger2019(Burger,secondary)=5.9 | Changizi2005(Changizi,primary)=4.57 | Stephan1981(Stephan_collection,primary)=4.8 | Stephan1981(Stephan_collection,primary)=4.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=4.8 | Lewitus2013(Lewitus,secondary)=4.8 | Stephan1970(Stephan_collection,primary)=4.8 | Stephan1970(Stephan_collection,primary)=4.8 | Frahm1998(Stephan_collection,secondary)=4.8"
"Lophocebus albigena",12,4,107.25,NA,"","Bauernfeind2013(Zilles,primary)=110.5 | Burger2019(Burger,secondary)=96.8 | Stephan1981(Stephan_collection,primary)=104 | Stephan1981(Stephan_collection,primary)=104 | deSousa2013(Zilles,secondary)=110.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=103.38 | Lewitus2013(Lewitus,secondary)=103.38 | Stephan1970(Stephan_collection,primary)=104 | Stephan1970(Stephan_collection,primary)=104 | Frahm1998(Stephan_collection,secondary)=104"
"Saguinus oedipus",12,5,9.65,NA,"","Jacobs2018(Jacobs,info)=8.9 | Jacobs2018(Jacobs,info)=8.9 | Bauernfeind2013(Zilles,primary)=9.3 | Burger2019(Burger,secondary)=9.64 | Stephan1981(Stephan_collection,primary)=10 | Stephan1981(Stephan_collection,primary)=10 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=9.8 | Stephan1970(Stephan_collection,primary)=10 | Stephan1970(Stephan_collection,primary)=10 | Frahm1998(Stephan_collection,secondary)=10"
"Cercopithecus ascanius",11,4,66.2,NA,"","Jacobs2018(Jacobs,info)=58.4 | Jacobs2018(Jacobs,info)=58.4 | Burger2019(Burger,secondary)=54.9 | Stephan1981(Stephan_collection,primary)=67 | Stephan1981(Stephan_collection,primary)=67 | deSousa2013(Zilles,secondary)=61.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=65 | Stephan1970(Stephan_collection,primary)=65 | Frahm1998(Stephan_collection,secondary)=67"
"Cercopithecus mitis",11,4,73.925,NA,"","Bauernfeind2013(Zilles,primary)=71.6 | Burger2019(Burger,secondary)=75 | Stephan1981(Stephan_collection,primary)=75 | Stephan1981(Stephan_collection,primary)=75 | deSousa2013(Zilles,secondary)=73.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=67 | Stephan1970(Stephan_collection,primary)=76 | Stephan1970(Stephan_collection,primary)=76 | Frahm1998(Stephan_collection,secondary)=75"
"Felis catus",11,7,26.7929,NA,"","Nudo1995(Nudo,primary)=19.08 | Garwicz2009(Garwicz,secondary)=28.4 | Burger2019(Burger,secondary)=25.6 | Finlay2006(Finlay,primary)=30 | Changizi2005(Changizi,primary)=27.09 | Changizi2005(Changizi,primary)=27.09 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=31.18 | Lewitus2013(Lewitus,secondary)=31.18 | Brodmann1913(Brodmann,primary)=31"
