"Record_ID","species_sci","Species","Order","Posture","Body_mass_kg","Body_mass_g","Body_mass_ln","Body_mass_class","Top_speed_class","Locomotor_habit","Shoulder_TD_deg","Shoulder_MS_deg","Shoulder_TO_deg","Elbow_TD_deg","Elbow_MS_deg","Elbow_TO_deg","Wrist_TD_deg","Wrist_MS_deg","Wrist_TO_deg","TAE_FL_deg","Sum_RoM_FL_deg","FL_Angular_Excursion_Efficiency_pct","Hip_TD_deg","Hip_MS_deg","Hip_TO_deg","Knee_TD_deg","Knee_MS_deg","Knee_TO_deg","Ankle_TD_deg","Ankle_MS_deg","Ankle_TO_deg","TAE_HL_deg","Sum_RoM_HL_deg","HL_Angular_Excursion_Efficiency_pct","Shoulder_Angular_Excursion_deg","Elbow_Angular_Excursion_deg","Wrist_Angular_Excursion_deg","Hip_Angular_Excursion_deg","Knee_Angular_Excursion_deg","Ankle_Angular_Excursion_deg","Relation_SumRoM_FL_HL","Relation_TAE_FL_HL","Shoulder_Relative_Angular_Excursion_pct","Elbow_Relative_Angular_Excursion_pct","Wrist_Relative_Angular_Excursion_pct","Hip_Relative_Angular_Excursion_pct","Knee_Relative_Angular_Excursion_pct","Ankle_Relative_Angular_Excursion_pct","Stride_length_m","Stride_length_norm"
1,"Monodelphis domestica","Monodelphis domestica","Metatheria","Plantigrade",0.092,92,-2.3859667019331,"Small","Slow","Scansorial",100,60,70,85,65,95,195,250,180,NA,140,NA,40,70,15,90,70,100,90,60,100,83,125,66.4,40,30,70,55,30,40,1.12,NA,28.5714285714286,21.4285714285714,50,44,24,32,0.118,0.261388252229988
2,"Dasyuroides byrnei","Dasyuroides byrnei","Metatheria","Plantigrade",0.145,145,-1.93102153656156,"Small","Slow","Terrestrial",73,53,60,70,60,80,195,235,190,NA,85,NA,30,40,60,60,40,45,70,60,85,NA,75,NA,20,20,45,30,20,25,1.13333333333333,NA,23.5294117647059,23.5294117647059,52.9411764705882,40,26.6666666666667,33.3333333333333,0.094,0.178925340703202
3,"Galea musteloides","Galea musteloides","Rodentia","Plantigrade",0.3,300,-1.20397280432594,"Small","Slow","Terrestrial",100,85,90,95,80,110,180,200,170,NA,75,NA,40,80,110,65,70,85,55,60,100,75,135,55.5555555555556,15,30,30,70,20,45,0.555555555555556,NA,20,40,40,51.8518518518518,14.8148148148148,33.3333333333333,0.1774,0.265000400679747
4,"Rattus norvegicus","Rattus norvegicus","Rodentia","Plantigrade",0.35,350,-1.04982212449868,"Small","Slow","Scansorial",100,70,80,80,70,105,190,240,160,NA,145,NA,50,80,100,85,65,70,85,75,110,76,105,72.3809523809524,30,35,80,50,20,35,1.38095238095238,NA,20.6896551724138,24.1379310344828,55.1724137931034,47.6190476190476,19.047619047619,33.3333333333333,0.15,0.212847511795558
5,"Ochotona rufescens","Ochotona rufescens","Lagomorpha","Plantigrade",0.25,250,-1.38629436111989,"Small","Slow","Terrestrial",105,90,80,90,80,90,195,210,180,NA,65,NA,67,70,75,85,70,60,90,75,105,NA,63,NA,25,10,30,8,25,30,1.03174603174603,NA,38.4615384615385,15.3846153846154,46.1538461538462,12.6984126984127,39.6825396825397,47.6190476190476,0.1088,0.17270923445414
6,"Procavia capensis","Procavia capensis","Hyracoidea","Plantigrade",1.2,1200,0.182321556793955,"Medium","Slow","Scansorial",112,90,95,88,90,110,170,165,160,NA,54,NA,45,80,105,85,35,45,105,80,125,NA,155,NA,22,22,10,60,50,45,0.348387096774194,NA,40.7407407407407,40.7407407407407,18.5185185185185,38.7096774193548,32.258064516129,29.0322580645161,0.35,0.32936261010836
7,"Tupaia glis","Tupaia glis","Scandentia","Plantigrade",0.18,180,-1.71479842809193,"Small","Slow","Arboreal",125,75,85,85,65,130,165,230,155,NA,190,NA,35,100,140,65,70,135,55,75,130,79,250,31.6,50,65,75,105,70,75,0.76,NA,26.3157894736842,34.2105263157895,39.4736842105263,42,28,30,0.1072,0.189861664360626
8,"Microcebus murinus","Microcebus murinus","Primates","Plantigrade",0.1,100,-2.30258509299405,"Small","Slow","Arboreal",105,65,67,67,55,95,175,220,210,NA,125,NA,30,80,110,75,80,100,105,90,120,76,135,56.2962962962963,40,40,45,80,25,30,0.925925925925926,NA,32,32,36,59.2592592592593,18.5185185185185,22.2222222222222,0.1799,0.387582800736736
9,"Galea musteloides","Galea musteloides","Rodentia","Plantigrade",0.1398,139.8,-1.96754244918243,"Small","Slow","Terrestrial",85,70,60,70,60,90,180,200,170,76.7,85,90.2352941176471,30,80,110,50,55,60,55,45,100,87.5,145,60.3448275862069,25,30,30,80,10,55,0.586206896551724,0.876571428571429,29.4117647058824,35.2941176470588,35.2941176470588,55.1724137931034,6.89655172413793,37.9310344827586,0.1774,0.341809837916268
10,"Galea musteloides","Galea musteloides","Rodentia","Plantigrade",0.2066,206.6,-1.5769707222966,"Small","Slow","Terrestrial",90,70,80,80,70,120,180,200,170,75.6,100,75.6,35,80,115,55,60,75,68,70,110,80.9,142,56.9718309859155,20,50,30,80,20,42,0.704225352112676,0.934487021013597,20,50,30,56.3380281690141,14.0845070422535,29.5774647887324,0.1774,0.30008446268312
11,"Tupaia glis","Tupaia glis","Scandentia","Plantigrade",0.151,151,-1.89047544216721,"Small","Slow","Arboreal",115,70,80,100,60,130,165,230,155,104.4,190,54.9473684210526,40,90,150,70,50,120,60,70,130,89.6,250,35.84,45,70,75,110,70,70,0.76,1.16517857142857,23.6842105263158,36.8421052631579,39.4736842105263,44,28,28,0.1072,0.20131175560164
12,"Tupaia glis","Tupaia glis","Scandentia","Plantigrade",0.21,210,-1.56064774826467,"Small","Slow","Arboreal",120,70,70,90,60,110,165,230,155,97.3,175,55.6,35,80,140,70,80,120,70,60,110,90.8,205,44.2926829268293,50,50,75,105,50,50,0.853658536585366,1.0715859030837,28.5714285714286,28.5714285714286,42.8571428571429,51.219512195122,24.390243902439,24.390243902439,0.1072,0.180352300807325
13,"Pan paniscus","Pan paniscus","Primates","Plantigrade",37.2,37200,3.6163087612791,"Large","Medium","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,70,90,120,90,65,75,50,60,NA,110,NA,NA,NA,NA,30,55,25,NA,NA,NA,NA,NA,27.2727272727273,50,22.7272727272727,0.3908,0.117068550672695
14,"Pan paniscus","Pan paniscus","Primates","Plantigrade",26.3,26300,3.26956893918372,"Medium","Medium","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,85,110,130,105,95,85,60,70,NA,100,NA,NA,NA,NA,40,35,25,NA,NA,NA,NA,NA,40,35,25,0.44,0.147956515122413
15,"Pan paniscus","Pan paniscus","Primates","Plantigrade",28.2,28200,3.33932197794407,"Medium","Medium","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,100,125,140,118,105,100,68,75,NA,112,NA,NA,NA,NA,45,35,32,NA,NA,NA,NA,NA,40.1785714285714,31.25,28.5714285714286,0.404,0.132728747345523
16,"Homo sapiens","Homo sapiens","Primates","Plantigrade",90,90000,4.49980967033027,"Large","Slow","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,175,175,170,165,135,85,80,90,NA,65,NA,NA,NA,NA,20,35,10,NA,NA,NA,NA,NA,30.7692307692308,53.8461538461538,15.3846153846154,1.01,0.225375759860997
