"Species","ASV_percent_BrW","ASV_percent_TV","ASV_percent_NV","ASW_percent_NW","ASG_percent_NG","ASG1_percent_NG1","ASG2_6_percent_NG2_6","ASG_percent_ASV","ASG1_percent_ASG","ASG_to_CGL_ratio","source","former_name_stephan1981"
"Tupaia glis",5.6,9.6,17.3,10.8,17.9,15.4,18.3,94.3,11.6,13.1,"Frahm_etal_1984",NA
"Tupaia minor",6.4,11.3,21.2,NA,NA,NA,NA,92.4,NA,15.4,"Frahm_etal_1984",NA
"Urogale everetti",3.2,5.6,10.2,6.4,10.8,9.8,11,90.6,12.6,12.3,"Frahm_etal_1984",NA
"Microcebus murinus",8.1,12.8,19.5,12.6,20.2,15.8,20.9,94.3,11,19.2,"Frahm_etal_1984",NA
"Cheirogaleus major",7,11.1,16.2,NA,NA,NA,NA,90.6,NA,20.1,"Frahm_etal_1984",NA
"Cheirogaleus medius",6.9,11.1,17.7,NA,NA,NA,NA,91.9,NA,18.4,"Frahm_etal_1984",NA
"Lemur albifrons",6.5,9.8,12.4,8.8,13.7,10.7,14.2,82.5,11,24.2,"Frahm_etal_1984","Lemur fulvus"
"Varecia variegata",6.7,10.3,13.8,NA,NA,NA,NA,82.6,NA,25.3,"Frahm_etal_1984","Lemur variegatus"
"Lepilemur ruficaudatus",4.7,7.6,10.9,6.6,11.6,10.7,11.8,91.2,16.1,20.9,"Frahm_etal_1984",NA
"Avahi laniger laniger",5.2,8.3,11.3,NA,NA,NA,NA,87.7,NA,17.2,"Frahm_etal_1984",NA
"Avahi lan. occidentalis",5.4,8.7,11.9,9.9,12.3,11.1,12.5,85.3,14.4,15.4,"Frahm_etal_1984",NA
"Propithecus verreauxi",5.1,8,10.3,7.5,11.2,9.2,11.6,81.6,11.9,17.2,"Frahm_etal_1984",NA
"Indri indri",5.1,7.7,9.7,7.4,10.4,10.3,10.4,84,16.8,17.4,"Frahm_etal_1984",NA
"Daubentonia madagascar.",3,4.5,6.1,4.8,6.5,6.9,6.4,82.2,17,19,"Frahm_etal_1984",NA
"Loris tardigradus",8.9,12.9,16.7,NA,NA,NA,NA,89.9,NA,21.5,"Frahm_etal_1984",NA
"Nycticebus coucang",6.6,9.7,13.4,10.6,14.1,13.2,14.2,84.1,13.5,19.4,"Frahm_etal_1984",NA
"Perodicticus potto",3.9,5.9,8.3,NA,NA,NA,NA,89.6,NA,20.4,"Frahm_etal_1984",NA
"Galago senegalensis",7,11.1,15.6,NA,NA,NA,NA,90.2,NA,18.8,"Frahm_etal_1984",NA
"Otolemur crassicaudatus",5.3,8.4,11.6,NA,NA,NA,NA,87.5,NA,20.7,"Frahm_etal_1984","Galago crassicaudatus"
"Galagoides demidoff",7,10.6,15.1,14.9,15.1,12.7,15.5,90.6,12,19.7,"Frahm_etal_1984","Galago demidovii"
"Tarsius spp.",10.3,16.4,20.9,15.5,21.4,17.4,22,94.2,11.8,16.7,"Frahm_etal_1984",NA
"Callithrix jacchus",9,12.9,15.7,14.7,15.9,13.1,16.3,82.6,10.2,22.6,"Frahm_etal_1984",NA
"Cebuella pygmaea",9.2,13.4,16.4,13,17,13.3,17.4,87.6,8.2,21.5,"Frahm_etal_1984",NA
"Saguinus midas",10.3,15,18,NA,NA,NA,NA,79.3,NA,23.4,"Frahm_etal_1984","Saguinus tamarin"
"Saguinus oedipus",9.8,13.9,16.6,NA,NA,NA,NA,82.6,NA,23.6,"Frahm_etal_1984",NA
"Cebus spp.",6.6,9,10.1,5.9,12.3,10.1,12.6,80,9.7,27.5,"Frahm_etal_1984",NA
"Aotus trivirgatus",7,9.9,12.1,9.5,12.8,10.9,13.1,82.8,11.4,30.3,"Frahm_etal_1984",NA
"Callicebus moloch",8,11.3,13.7,NA,NA,NA,NA,78.8,NA,22.1,"Frahm_etal_1984",NA
"Saimiri sciureus",9.7,13.2,15,11.9,15.9,13.8,16.2,81,9.3,30,"Frahm_etal_1984",NA
"Pithecia monachus",6.1,8.5,10.1,NA,NA,NA,NA,78.8,NA,22,"Frahm_etal_1984",NA
"Alouatta sp.",4.7,6.6,7.8,5.5,8.8,7.5,9,77.9,11.5,21.9,"Frahm_etal_1984",NA
"Ateles geoffroyi",4.4,5.9,6.7,NA,NA,NA,NA,79.2,NA,24.9,"Frahm_etal_1984",NA
"Lagothrix lagothricha",6,8.1,9.2,7.3,9.9,7.9,10.3,79.9,12.4,29.6,"Frahm_etal_1984",NA
"Macaca mulatta",7.1,9.3,10.4,NA,NA,NA,NA,81.1,NA,33.7,"Frahm_etal_1984",NA
"Cercocebus albigena",6.6,8.9,9.9,NA,NA,NA,NA,79.3,NA,29.8,"Frahm_etal_1984",NA
"Papio anubis",6.8,8.9,9.8,6.9,11.7,8.6,12.1,72.8,9.2,25.4,"Frahm_etal_1984",NA
"Cercopithecus ascanius",7.6,10,11.3,6.4,13.3,10.4,13.7,83.7,9.8,29.1,"Frahm_etal_1984",NA
"Cercopithecus mitis",7,9.4,10.6,NA,NA,NA,NA,80.2,NA,28.3,"Frahm_etal_1984",NA
"Miopithecus talapoin",7.6,10.1,11.5,NA,NA,NA,NA,76.7,NA,21.4,"Frahm_etal_1984","Cercopithecus talapoin"
"Colobus badius",5.1,6.9,7.8,6.5,8.3,7,8.6,76.7,11.8,23.8,"Frahm_etal_1984",NA
"Hylobates lar",5.6,7.6,8.7,6.1,9.8,8.9,9.9,79.6,12.3,26.1,"Frahm_etal_1984",NA
"Pan troglodytes",3.6,4.7,5,3.4,6.1,5.3,6.3,72.6,10.9,29.8,"Frahm_etal_1984",NA
"Gorilla gorilla",3,4.1,4.5,NA,NA,NA,NA,79.4,NA,31.4,"Frahm_etal_1984",NA
"Homo sapiens",1.5,1.9,2,1.3,2.5,2.3,2.6,73.1,11.5,35.6,"Frahm_etal_1984",NA
