"source_row","parvorder_printed","family_printed","Species_Navarrete2016","Species_Isler2008","Species_Reader2011","innovator","technical_innovation_count","nontechnical_innovation_count","technical_innovation_plus_extractive_foraging_count","nontechnical_innovation_excluding_extractive_foraging_count","foraging_innovation_count","technical_foraging_innovation_count","nontechnical_foraging_innovation_count","technical_foraging_plus_extractive_foraging_count","nontechnical_foraging_excluding_extractive_foraging_count","life_history_composite"
56,"Platyrrhini","Atelidae","Ateles fusciceps","Ateles fusciceps","Ateles fusciceps","No",0,0,0,0,0,0,0,0,0,
57,"Platyrrhini","Atelidae","Ateles geoffroyi","Ateles geoffroyi","Ateles geoffroyi","No",0,0,0,0,0,0,0,0,0,74.27445316
58,"Platyrrhini","Atelidae","Ateles paniscus","Ateles paniscus","Ateles paniscus","No",0,0,0,0,0,0,0,0,0,76.08447938
59,"Platyrrhini","Atelidae","Brachyteles arachnoides","Brachyteles arachnoides","Brachyteles arachnoides","No",0,0,0,0,0,0,0,0,0,
60,"Platyrrhini","Atelidae","Lagothrix lagotricha","Lagothrix lagotricha","Lagothrix lagotricha","No",0,0,0,0,0,0,0,0,0,71.87784049
61,"Platyrrhini","Cebidae","Callimico goeldii","Callimico goeldii","Callimico goeldii","Yes",0,1,1,0,1,0,1,1,0,1.830807315
62,"Platyrrhini","Cebidae","Callithrix argentata","Callithrix argentata","Callithrix argentata","No",0,0,0,0,0,0,0,0,0,
63,"Platyrrhini","Cebidae","Callithrix aurita","Callithrix aurita","Callithrix aurita","No",0,0,0,0,0,0,0,0,0,
64,"Platyrrhini","Cebidae","Callithrix geoffroyi","Callithrix geoffroyi","Callithrix geoffroyi","No",0,0,0,0,0,0,0,0,0,
65,"Platyrrhini","Cebidae","Callithrix humeralifera","Callithrix humeralifera","Callithrix humeralifer","No",0,0,0,0,0,0,0,0,0,
66,"Platyrrhini","Cebidae","Callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Yes",0,1,1,0,0,0,0,0,0,-8.158020266
67,"Platyrrhini","Cebidae","Callithrix penicillata","Callithrix penicillata","Callithrix penicillata","No",0,0,0,0,0,0,0,0,0,
68,"Platyrrhini","Cebidae","Callithrix pygmaea","Callithrix pygmaea","Callithrix pygmaea","Yes",0,1,0,1,1,0,1,0,1,-17.70195162
69,"Platyrrhini","Cebidae","Cebus albifrons","Cebus albifrons","Cebus albifrons","No",0,0,0,0,0,0,0,0,0,6.18468352
70,"Platyrrhini","Cebidae","Cebus apella","Cebus apella","Cebus apella","Yes",35,4,36,3,35,32,3,33,2,2.891090476
71,"Platyrrhini","Cebidae","Cebus capucinus","Cebus capucinus","Cebus capucinus","Yes",2,2,2,2,2,1,1,1,1,8.970636516
72,"Platyrrhini","Cebidae","Cebus olivaceus","Cebus olivaceus","Cebus olivaceus","Yes",3,1,3,1,2,2,0,2,0,
73,"Platyrrhini","Cebidae","Leontopithecus chrysomelas","Leontopithecus chrysomelas","Leontopithecus chrysomelas","Yes",0,1,0,1,1,0,1,0,1,
74,"Platyrrhini","Cebidae","Leontopithecus rosalia","Leontopithecus rosalia","Leontopithecus rosalia","No",0,0,0,0,0,0,0,0,0,-18.13998668
75,"Platyrrhini","Cebidae","Saguinus fuscicollis","Saguinus fuscicollis","Saguinus fuscicollis","Yes",0,1,0,1,0,0,0,0,0,-4.142739416
76,"Platyrrhini","Cebidae","Saguinus geoffroyi","Saguinus geoffroyi","Saguinus geoffroyi","No",0,0,0,0,0,0,0,0,0,
77,"Platyrrhini","Cebidae","Saguinus imperator","Saguinus imperator","Saguinus imperator","No",0,0,0,0,0,0,0,0,0,
78,"Platyrrhini","Cebidae","Saguinus leucopus","Saguinus leucopus","Saguinus leucopus","No",0,0,0,0,0,0,0,0,0,
79,"Platyrrhini","Cebidae","Saguinus midas","Saguinus midas(Saguinus tamarin)","Saguinus midas","No",0,0,0,0,0,0,0,0,0,-13.90540189
80,"Platyrrhini","Cebidae","Saguinus mystax","Saguinus mystax","Saguinus mystax","Yes",0,4,0,4,1,0,1,0,1,
81,"Platyrrhini","Cebidae","Saguinus oedipus","Saguinus oedipus","Saguinus oedipus","No",0,0,0,0,0,0,0,0,0,14.33682423
82,"Platyrrhini","Cebidae","Saimiri boliviensis","Saimiri boliviensis","Saimiri boliviensis","No",0,0,0,0,0,0,0,0,0,
83,"Platyrrhini","Cebidae","Saimiri oerstedii","Saimiri oerstedii","Saimiri oerstedii","No",0,0,0,0,0,0,0,0,0,
84,"Platyrrhini","Cebidae","Saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Yes",0,3,2,1,2,0,2,2,0,11.96815802
85,"Platyrrhini","Pitheciidae","Cacajao calvus","Cacajao calvus","Cacajao calvus","No",0,0,0,0,0,0,0,0,0,27.89136111
86,"Platyrrhini","Pitheciidae","Cacajao melanocephalus","Cacajao melanocephalus","Cacajao melanocephalus","No",0,0,0,0,0,0,0,0,0,
87,"Platyrrhini","Pitheciidae","Callicebus moloch","Callicebus moloch","Callicebus moloch","No",0,0,0,0,0,0,0,0,0,11.86054697
88,"Platyrrhini","Pitheciidae","Callicebus torquatus","Callicebus torquatus","Callicebus torquatus","No",0,0,0,0,0,0,0,0,0,
89,"Platyrrhini","Pitheciidae","Chiropotes satanas","Chiropotes satanas","Chiropotes satanas","Yes",0,2,2,0,2,0,2,2,0,
90,"Platyrrhini","Pitheciidae","Pithecia irrorata","Pithecia irrorata","Pithecia irrorata","No",0,0,0,0,0,0,0,0,0,
91,"Platyrrhini","Pitheciidae","Pithecia pithecia","Pithecia pithecia","Pithecia pithecia","No",0,0,0,0,0,0,0,0,0,8.997292899
92,"Catarrhini","Cercopithecidae","Allenopithecus nigroviridis","Allenopithecus nigroviridis","Allenopithecus nigroviridis","No",0,0,0,0,0,0,0,0,0,
93,"Catarrhini","Cercopithecidae","Cercocebus galeritus","Cercocebus galeritus","Cercocebus galeritus","No",0,0,0,0,0,0,0,0,0,
94,"Catarrhini","Cercopithecidae","Cercocebus torquatus","Cercocebus torquatus","Cercocebus torquatus","No",0,0,0,0,0,0,0,0,0,
95,"Catarrhini","Cercopithecidae","Cercopithecus ascanius","Cercopithecus ascanius","Cercopithecus ascanius","Yes",0,1,1,0,0,0,0,0,0,-3.601592975
96,"Catarrhini","Cercopithecidae","Cercopithecus campbelli","Cercopithecus campbelli","Cercopithecus campbelli","No",0,0,0,0,0,0,0,0,0,
97,"Catarrhini","Cercopithecidae","Cercopithecus cephus","Cercopithecus cephus","Cercopithecus cephus","No",0,0,0,0,0,0,0,0,0,
98,"Catarrhini","Cercopithecidae","Cercopithecus diana","Cercopithecus diana","Cercopithecus diana","No",0,0,0,0,0,0,0,0,0,
99,"Catarrhini","Cercopithecidae","Cercopithecus erythrotis","Cercopithecus erythrotis","Cercopithecus erythrotis","No",0,0,0,0,0,0,0,0,0,
100,"Catarrhini","Cercopithecidae","Cercopithecus hamlyni","Cercopithecus hamlyni","Cercopithecus hamlyni","No",0,0,0,0,0,0,0,0,0,
101,"Catarrhini","Cercopithecidae","Cercopithecus lhoesti","Cercopithecus lhoesti","Cercopithecus lhoesti","No",0,0,0,0,0,0,0,0,0,
102,"Catarrhini","Cercopithecidae","Cercopithecus mitis","Cercopithecus mitis","Cercopithecus mitis","Yes",0,4,3,1,4,0,4,3,1,-13.6934681
103,"Catarrhini","Cercopithecidae","Cercopithecus mona","Cercopithecus mona","Cercopithecus mona","No",0,0,0,0,0,0,0,0,0,
104,"Catarrhini","Cercopithecidae","Cercopithecus neglectus","Cercopithecus neglectus","Cercopithecus neglectus","No",0,0,0,0,0,0,0,0,0,19.96980877
105,"Catarrhini","Cercopithecidae","Cercopithecus nictitans","Cercopithecus nictitans","Cercopithecus nictitans","No",0,0,0,0,0,0,0,0,0,
106,"Catarrhini","Cercopithecidae","Cercopithecus petaurista","Cercopithecus petaurista","Cercopithecus petaurista","No",0,0,0,0,0,0,0,0,0,
107,"Catarrhini","Cercopithecidae","Cercopithecus pogonias","Cercopithecus pogonias","Cercopithecus pogonias","No",0,0,0,0,0,0,0,0,0,
108,"Catarrhini","Cercopithecidae","Cercopithecus wolfi","Cercopithecus wolfi","Cercopithecus wolfi","No",0,0,0,0,0,0,0,0,0,
109,"Catarrhini","Cercopithecidae","Chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Yes",2,2,4,0,3,1,2,3,0,
110,"Catarrhini","Cercopithecidae","Colobus angolensis","Colobus angolensis","Colobus angolensis","No",0,0,0,0,0,0,0,0,0,
111,"Catarrhini","Cercopithecidae","Colobus guereza","Colobus guereza","Colobus guereza","Yes",0,1,1,0,0,0,0,0,0,16.91788368
112,"Catarrhini","Cercopithecidae","Colobus polykomos","Colobus polykomos","Colobus polykomos","No",0,0,0,0,0,0,0,0,0,20.58144629
113,"Catarrhini","Cercopithecidae","Colobus satanas","Colobus satanas","Colobus satanas","No",0,0,0,0,0,0,0,0,0,
114,"Catarrhini","Cercopithecidae","Erythrocebus patas","Erythrocebus patas","Erythrocebus patas","Yes",0,1,0,1,0,0,0,0,0,15.07814033
115,"Catarrhini","Cercopithecidae","Lophocebus albigena","Lophocebus albigena","Lophocebus albigena","No",0,0,0,0,0,0,0,0,0,30.53119348
116,"Catarrhini","Cercopithecidae","Lophocebus aterrimus","Lophocebus aterrimus","Cercocebus aterrimus","No",0,0,0,0,0,0,0,0,0,
117,"Catarrhini","Cercopithecidae","Macaca arctoides","Macaca arctoides","Macaca arctoides","Yes",1,0,1,0,1,1,0,1,0,
118,"Catarrhini","Cercopithecidae","Macaca assamensis","Macaca assamensis","Macaca assamensis","No",0,0,0,0,0,0,0,0,0,
119,"Catarrhini","Cercopithecidae","Macaca cyclopis","Macaca cyclopis","Macaca cyclopis","No",0,0,0,0,0,0,0,0,0,
120,"Catarrhini","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","Yes",1,6,1,6,4,1,3,1,3,12.57892518
121,"Catarrhini","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","Yes",4,22,14,12,17,3,14,11,6,20.88047989
122,"Catarrhini","Cercopithecidae","Macaca mulatta","Macaca mulatta","Macaca mulatta","Yes",1,4,2,3,2,1,1,2,0,13.95795917
123,"Catarrhini","Cercopithecidae","Macaca nemestrina","Macaca nemestrina","Macaca nemestrina","Yes",0,1,0,1,1,0,1,0,1,18.8883095
124,"Catarrhini","Cercopithecidae","Macaca nigra","Macaca nigra","Macaca nigra","No",0,0,0,0,0,0,0,0,0,20.32621715
125,"Catarrhini","Cercopithecidae","Macaca radiata","Macaca radiata","Macaca radiata","Yes",0,1,0,2,0,0,0,0,0,9.452698545
126,"Catarrhini","Cercopithecidae","Macaca silenus","Macaca silenus","Macaca silenus","Yes",1,0,1,0,1,1,0,1,0,19.89841972
127,"Catarrhini","Cercopithecidae","Macaca sinica","Macaca sinica","Macaca sinica","No",0,0,0,0,0,0,0,0,0,
