Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,NA,NA,NA,84,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Selected_collection,1,1,2013
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,42,42,0,sole source,1,Selected_collection,1,1,2013
Alouatta caraya,Body_Mass.g,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,6420,6420,0,reference table used (mass rule: other sources not averaged in),1,Selected_collection,1,1,2013
Alouatta caraya,Brain_Mass.mg,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,55.8,55.8,0,reference table used (mass rule: other sources not averaged in),1,Selected_collection,1,1,2013
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,NA,NA,NA,282,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Selected_collection,1,1,2013
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,141,141,0,sole source,1,Selected_collection,1,1,2013
Alouatta caraya,Granular_insular_cortex_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,NA,NA,NA,178,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Selected_collection,1,1,2013
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,89,89,0,sole source,1,Selected_collection,1,1,2013
Alouatta caraya,Insula_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,NA,NA,NA,544,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Selected_collection,1,1,2013
Alouatta caraya,Insula_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Selected_collection,2013,272,272,0,sole source,1,Selected_collection,1,1,2013
