Species,Order,Family,reason,n_values,Sources
Atelerix algirus,Eulipotyphla,Erinaceidae,not in taxa_keep (Order),28,Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Chrysochloris asiatica,Afrosoricida,Chrysochloridae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Crocidura flavescens,Eulipotyphla,Soricidae,not in taxa_keep (Order),52,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Crocidura russula,Eulipotyphla,Soricidae,not in taxa_keep (Order),52,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Desmana moschata,Eulipotyphla,Talpidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Echinops telfairi,Afrosoricida,Tenrecidae,not in taxa_keep (Order),56,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Elephantulus fuscipes,Macroscelidea,Macroscelididae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Erinaceus europaeus,Eulipotyphla,Erinaceidae,not in taxa_keep (Order),52,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Galemys pyrenaicus,Eulipotyphla,Talpidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Hemicentetes semispinosus,Afrosoricida,Tenrecidae,not in taxa_keep (Order),54,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Hemiechinus auritus,Eulipotyphla,Erinaceidae,not in taxa_keep (Order),22,Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV
Microgale cowani,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Microgale mergulus,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Micropotamogale lamottei,Afrosoricida,Tenrecidae,not in taxa_keep (Order),17,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV
Neomys fodiens,Eulipotyphla,Soricidae,not in taxa_keep (Order),33,Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXIV
Nesogale dobsoni,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Nesogale talazaci,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Oryzorictes hova,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Potamogale velox,Afrosoricida,Tenrecidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Rhynchocyon cirnei,Macroscelidea,Macroscelididae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Setifer setosus,Afrosoricida,Tenrecidae,not in taxa_keep (Order),54,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Solenodon paradoxus,Eulipotyphla,Solenodontidae,not in taxa_keep (Order),22,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Sorex araneus,Eulipotyphla,Soricidae,not in taxa_keep (Order),51,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Sorex minutus,Eulipotyphla,Soricidae,not in taxa_keep (Order),52,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
