Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Acrobates pygmaeus,CerebellarCortex_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,36.8,36.8,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,CerebellarHemisphere_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,17.5,17.5,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,CerebellarVermis_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,16.5,16.5,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,Cerebellar_nuclei_total_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,1.18,1.18,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,Cerebellum_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,40,40,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,Cerebellum_white_matter_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,1.97,1.97,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,FlocculonodularLobe_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,2.82,2.82,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,1.16,1.16,0,sole source,1,Ashwell,1,1,2020
Acrobates pygmaeus,Total_brain_net_volume_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,272,272,0,sole source,1,Ashwell,1,1,2020
Aepyprymnus rufescens,CerebellarCortex_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,1169,1169,0,sole source,1,Ashwell,1,1,2020
Aepyprymnus rufescens,CerebellarHemisphere_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,554,554,0,sole source,1,Ashwell,1,1,2020
Aepyprymnus rufescens,CerebellarVermis_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,524,524,0,sole source,1,Ashwell,1,1,2020
Aepyprymnus rufescens,Cerebellar_nuclei_total_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,60.5,60.5,0,sole source,1,Ashwell,1,1,2020
Aepyprymnus rufescens,Cerebellum_Vol.mm3,Ashwell__2020_SupplementaryTable,Ashwell (2020) Supplementary Table,10.1016/j.zool.2020.125753,Ashwell,2020,1523,1523,0,sole source,1,Ashwell,1,1,2020
