Species_Name,n_sources,Sources
Aotus trivirgatus,28,Ashwell__2020_SupplementaryTable; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Aplodontia rufa,3,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Atelerix algirus,13,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Ateles geoffroyi,25,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Ateles paniscus,1,MacLeod_etal_2003_Table2
Ateles sp.,3,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Avahi laniger,20,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Avahi occidentalis,21,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Bassaricyon gabbii,1,Reep_etal_2007_Table1
Bassariscus astutus,1,Ashwell__2020_SupplementaryTable
Bathyergus suillus,1,Kverkova_etal_2018_TableS1
Bettongia gaimardi,1,Ashwell__2020_SupplementaryTable
Blarina brevicauda,4,Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Stephan_etal_1987_Table1
Bos indicus,2,Ashwell__2020_SupplementaryTable; Reep_etal_2007_Table1
Burramys parvus,1,Ashwell__2020_SupplementaryTable
Callicebus moloch,22,Ashwell__2020_SupplementaryTable; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Callicebus sp.,3,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Callimico goeldii,11,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Callithrix jacchus,24,Ashwell__2020_SupplementaryTable; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Callithrix pygmaea,19,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Callorhinus ursinus,1,Reep_etal_2007_Table1
Caluromys derbianus,1,Ashwell__2020_SupplementaryTable
Camelus dromedarius,1,Reep_etal_2007_Table1
Canis latrans,3,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Reep_etal_2007_Table1
Canis lupus familiaris,1,Ashwell__2020_SupplementaryTable
Capra hircus domestica,1,Ashwell__2020_SupplementaryTable
Carlito syrichta,3,Bush_Allman_2004_b_TABLE1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5
Castor canadensis,1,Ashwell__2020_SupplementaryTable
Cavia porcellus,1,Ashwell__2020_SupplementaryTable
Cebuella pygmaea,1,Bauernfeind_etal_2013_Table1
Cebus albifrons,28,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Cebus capucinus,1,Ashwell__2020_SupplementaryTable
Cebus sp.,3,MacLeod_etal_2003_Table2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6
Cercartetus concinnus,1,Ashwell__2020_SupplementaryTable
Cercartetus lepidus,1,Ashwell__2020_SupplementaryTable
Cercartetus nanus,1,Ashwell__2020_SupplementaryTable
Cercocebus agilis,1,Bauernfeind_etal_2013_Table1
Cercocebus torquatus,4,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; MacLeod_etal_2003_Table1
Cercopithecus ascanius,27,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table3; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Cercopithecus mitis,24,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table3; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Cercopithecus nictitans,3,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Cercopithecus sp.,1,MacLeod_etal_2003_Table2
Cheirogaleus major,24,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Cheirogaleus medius,22,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bush_Allman_2004_a_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Chinchilla laniger,3,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Choloepus didactylus,4,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Reep_etal_2007_Table1
Chrysochloris asiatica,7,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Chrysochloris stuhlmanni,11,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Colobus angolensis,2,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1
Crocidura flavescens,15,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Crocidura hildegardeae,4,Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Stephan_etal_1987_Table1
Crocidura jacksoni,2,Baron_etal_1987_Table1; Stephan_etal_1987_Table1
Crocidura olivieri,2,Stephan_etal_1970_Table1; Stephan_etal_1970_Table4
Crocidura russula,17,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Crocuta crocuta,4,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Reep_etal_2007_Table1
Cryptomys hottentotus,1,Kverkova_etal_2018_TableS1
Cryptomys hottentotus natalensis,1,Kverkova_etal_2018_TableS1
Cryptomys hottentotus pretoriae,1,Kverkova_etal_2018_TableS1
Cynictis penicillata,2,Ashwell__2020_SupplementaryTable; Bush_Allman_2004_a_Table2
Cynocephalus volans,1,Ashwell__2020_SupplementaryTable
Dasycercus blythi,1,Ashwell__2020_SupplementaryTable
Dasykaluta rosamundae,1,Ashwell__2020_SupplementaryTable
Dasypus novemcinctus,2,Ashwell__2020_SupplementaryTable; Reep_etal_2007_Table1
Dasyuroides byrnei,1,Ashwell__2020_SupplementaryTable
Dasyurus geoffroyi,1,Ashwell__2020_SupplementaryTable
Dasyurus hallucatus,1,Ashwell__2020_SupplementaryTable
Dasyurus maculatus,1,Ashwell__2020_SupplementaryTable
Dasyurus viverrinus,1,Ashwell__2020_SupplementaryTable
Daubentonia madagascariensis,23,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bush_Allman_2004_a_Table2; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Dendrolagus goodfellowi,1,Ashwell__2020_SupplementaryTable
Dendrolagus lumholtzi,1,Ashwell__2020_SupplementaryTable
Desmana moschata,11,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Didelphis albiventris,1,Ashwell__2020_SupplementaryTable
Didelphis marsupialis,3,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Didelphis virginiana,1,Ashwell__2020_SupplementaryTable
Distoechurus pennatus,1,Ashwell__2020_SupplementaryTable
Dorcopsis luctuosa,1,Ashwell__2020_SupplementaryTable
Dromiciops gliroides,1,Ashwell__2020_SupplementaryTable
Echinops telfairi,19,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Echinosorex gymnura,1,Baron_etal_1990_Table1
Echymipera kalubu,1,Ashwell__2020_SupplementaryTable
Elephantulus fuscipes,9,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Elephantulus myurus,1,Ashwell__2020_SupplementaryTable
Equus burchelli,4,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Reep_etal_2007_Table1
Erethizon dorsatum,1,Ashwell__2020_SupplementaryTable
Erinaceus europaeus,18,Ashwell__2020_SupplementaryTable; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Erythrocebus patas,18,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; deSousa_etal_2013_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano__1992_Table3; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1987_Table1
Eulemur albifrons,1,Baron_etal_1987_Table1
Eulemur fulvus,23,Baron_etal_1983_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Eulemur mongoz,4,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1
Eumetopias jubatus,1,Reep_etal_2007_Table1
Felis catus,1,Ashwell__2020_SupplementaryTable
Fukomys anselli,1,Kverkova_etal_2018_TableS1
Fukomys damarensis,1,Kverkova_etal_2018_TableS1
Fukomys darlingi,1,Kverkova_etal_2018_TableS1
Fukomys mechowii,1,Kverkova_etal_2018_TableS1
Galago senegalensis,24,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Galagoides demidoff,26,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano__1986_TableI; Matano__1992_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Galemys pyrenaicus,11,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Galictis vittatus,3,Ashwell__2020_SupplementaryTable; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Georychus capensis,1,Kverkova_etal_2018_TableS1
Glis glis,2,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Gorilla gorilla,2,Stephan_etal_1970_Table3; Stephan_etal_1970_Table6
Gorilla sp.,30,Barger_etal_2007_TABLE1; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano__1992_Table4; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Semendeferi_etal_1998_Table2; Semendeferi_etal_2001_Table2; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Gymnobelideus leadbeateri,1,Ashwell__2020_SupplementaryTable
Heliophobius argenteocinereus,1,Kverkova_etal_2018_TableS1
Hemibelideus lemuroides,1,Ashwell__2020_SupplementaryTable
Hemicentetes semispinosus,18,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Hemiechinus auritus,9,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Heterocephalus glaber,1,Kverkova_etal_2018_TableS1
Homo sapiens,36,Barger_etal_2007_TABLE1; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano__1992_Table4; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Semendeferi_etal_1998_Table2; Semendeferi_etal_2001_Table2; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Smaers_etal_2011_SupplementaryTable2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
