Species,Variable,Value,Teams,n_teams,Sources,n_sources,Source_detail,Year_used
A. l. occidentalis,Body_Mass.g,860,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Complexus_vestibularis_Vol.mm3,36.2,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Complexus_vestibularis_unilateral_Vol.mm3,18.1,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_descendens_Vol.mm3,9.62,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,4.81,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_lateralis_Vol.mm3,6.64,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,3.32,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_medialis_Vol.mm3,13.72,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,6.86,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_superior_Vol.mm3,6.2,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
A. l. occidentalis,Nucleus_vestibularis_superior_unilateral_Vol.mm3,3.1,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,84,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,42,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Body_Mass.g,6420,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Brain_Mass.mg,55.8,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,282,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,141,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Granular_insular_cortex_Vol.mm3,178,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,89,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Insula_Vol.mm3,544,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Insula_left_Vol.mm3,272,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta caraya,Total_brain_net_volume_Vol.mm3,53861,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Alouatta seniculus,Amygdala_Vol.mm3,413,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Area_striata_Vol.mm3,2461,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,1918,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Alouatta seniculus,Area_striata_lamina_1_Vol.mm3,220,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Alouatta seniculus,Area_striata_laminae_2_6_Vol.mm3,1698,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,543,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Alouatta seniculus,Body_Mass.g,6400,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,Brain_Mass.mg,52000,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,Bulbus_olfactorius_Vol.mm3,41.4,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Bulbus_olfactorius_accessorius_Vol.mm3,0.595,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,CerebellarHemisphere_Vol.mm3,2700,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Alouatta seniculus,CerebellarVermis_Vol.mm3,1450,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Alouatta seniculus,Cerebellar_nuclei_total_Vol.mm3,113.79,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Alouatta seniculus,Cerebellum_Vol.mm3,4150,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,94.9,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,318,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Complexus_vestibularis_Vol.mm3,91.8,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Complexus_vestibularis_unilateral_Vol.mm3,45.9,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,87.4,Selected_collection,1,Stephan_etal_1984_Table1,1,Selected_collection: Stephan_etal_1984_Table1,1984
Alouatta seniculus,Corpus_pineal_Vol.mm3,0.254,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,0.402,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,0.372,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Alouatta seniculus,Diencephalon_Vol.mm3,3344,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,FrontalCortex_grey_matter_Vol.mm3,5510,Selected_collection,1,Smaers_etal_2011_SupplementaryTable1,1,Selected_collection: Smaers_etal_2011_SupplementaryTable1,2011
Alouatta seniculus,FrontalMotor_grey_matter_Vol.mm3,1077,Selected_collection,1,Smaers_etal_2017_TableS1part1,1,Selected_collection: Smaers_etal_2017_TableS1part1,2017
Alouatta seniculus,FrontalMotor_white_matter_Vol.mm3,866,Selected_collection,1,Smaers_etal_2017_TableS1part1,1,Selected_collection: Smaers_etal_2017_TableS1part1,2017
Alouatta seniculus,Hippocampus_Vol.mm3,1320,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Interpositus_cerebellar_nuclei_Vol.mm3,26.57,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Alouatta seniculus,Lateral_cerebellar_nuclei_Vol.mm3,59.75,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Alouatta seniculus,Lobus_piriformis_Vol.mm3,827,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Medial_cerebellar_nuclei_Vol.mm3,27.47,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Alouatta seniculus,Medulla_oblongata_Vol.mm3,1593,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,Mesencephalon_Vol.mm3,986,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,Neocortex_Vol.mm3,31660,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Alouatta seniculus,Neocortex_grey_matter_Vol.mm3,21791,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Alouatta seniculus,Neocortex_lamina_1_Vol.mm3,2918,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Alouatta seniculus,Neocortex_laminae_2_6_Vol.mm3,18874,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Alouatta seniculus,Neocortex_white_matter_Vol.mm3,9869,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,30.7,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,3.3,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Alouatta seniculus,Nucleus_septalis_triangularis_Vol.mm3,1.72,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Alouatta seniculus,Nucleus_tractus_olfactorius_Vol.mm3,0,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Nucleus_vestibularis_descendens_Vol.mm3,22.4,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,11.2,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_lateralis_Vol.mm3,18.54,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,9.27,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_medialis_Vol.mm3,32.6,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,16.3,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_superior_Vol.mm3,18.18,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Nucleus_vestibularis_superior_unilateral_Vol.mm3,9.09,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Alouatta seniculus,Palaeocortex_Vol.mm3,488,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Alouatta seniculus,Schizo_cortex_Vol.mm3,510,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Septum_Vol.mm3,200,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Striatum_Vol.mm3,2829,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Alouatta seniculus,Telencephalon_Vol.mm3,37388,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,37400,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Alouatta seniculus,Ventral_pons_Vol.mm3,394.3,Selected_collection,1,Matano_etal_1985_b_Table1,1,Selected_collection: Matano_etal_1985_b_Table1,1985
Alouatta seniculus,Ventricles_Vol.mm3,616,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Amygdala_Vol.mm3,201,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Area_striata_Vol.mm3,1203,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,996,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Aotus trivirgatus,Area_striata_lamina_1_Vol.mm3,113,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Aotus trivirgatus,Area_striata_laminae_2_6_Vol.mm3,883,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
