Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Ailurus fulgens,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,20070,20070,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,13820,13820,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,6250,6250,0,sole source,1,Bush,1,1,2004
Ailurus fulgens,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,36620,36620,0,sole source,1,Bush,1,1,2004
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,84,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,42,42,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Body_Mass.g,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,6420,6420,0,reference table used (mass rule: other sources not averaged in),1,Zilles,1,1,2013
Alouatta caraya,Brain_Mass.mg,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,55.8,55.8,0,reference table used (mass rule: other sources not averaged in),1,Zilles,1,1,2013
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,282,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,141,141,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Granular_insular_cortex_Vol.mm3,NA,NA,NA,NA,NA,NA,178,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,89,89,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Insula_Vol.mm3,NA,NA,NA,NA,NA,NA,544,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Zilles,1,NA,NA
Alouatta caraya,Insula_left_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,272,272,0,sole source,1,Zilles,1,1,2013
Alouatta caraya,Total_brain_net_volume_Vol.mm3,Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,10.1016/j.jhevol.2012.12.003,Zilles,2013,53861,53861,0,sole source,1,Zilles,1,1,2013
Alouatta palliata,Area_striata_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,1860,1860,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Corpus_geniculatum_laterale_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,90,90,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,28560,28560,0,sole source,1,Bush,1,1,2004
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,17150,17150,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,17150,17150,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,11410,11410,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,11410,11410,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,43520,43520,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta palliata,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,43520,43520,0,averaged into the merged value,1,Bush,1,2,2004
Alouatta seniculus,Amygdala_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,413,413,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Area_striata_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,2461,2461,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,1918,1918,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_lamina_1_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,220,220,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_laminae_2_6_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,1698,1698,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,543,543,0,sole source,1,Stephan_collection,1,1,1984
Alouatta seniculus,Body_Mass.g,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,6400,6400,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Alouatta seniculus,Brain_Mass.mg,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,52000,52000,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Alouatta seniculus,Bulbus_olfactorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,41.4,41.4,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Bulbus_olfactorius_accessorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,0.595,0.595,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,CerebellarHemisphere_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,2700,2700,0,sole source,1,Zilles,1,1,2003
Alouatta seniculus,CerebellarVermis_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,1450,1450,0,sole source,1,Zilles,1,1,2003
Alouatta seniculus,Cerebellum_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,4150,4924.5,-15.73,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Cerebellum_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,5699,4924.5,15.73,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,94.9,94.9,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,318,318,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,10.1159/000155963,Stephan_collection,1981,85.7,85.7,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_pineal_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.254,0.254,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.402,0.402,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.372,0.372,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Diencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,3344,3344,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Facial_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,3.46,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Alouatta seniculus,Facial_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1.73,1.73,0,sole source,1,Sherwood,1,1,2005
Alouatta seniculus,Hippocampus_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,1320,1320,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Hypoglossal_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,3.24,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Alouatta seniculus,Hypoglossal_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1.62,1.62,0,sole source,1,Sherwood,1,1,2005
Alouatta seniculus,Lobus_piriformis_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,827,827,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Medulla_oblongata_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1593.25,1593.125,0.01,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Alouatta seniculus,Medulla_oblongata_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,1593,1593.125,-0.01,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Alouatta seniculus,Mesencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,986,986,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Neocortex_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,31660,31660,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,30.7,30.7,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,3.3,3.3,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_septalis_triangularis_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,1.72,1.72,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Nucleus_tractus_olfactorius_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,0,0,NA,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Palaeocortex_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,488,488,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Palaeocortex_plus_amygdala_Vol.mm3,Stephan_etal_1970_Table6,Stephan et al. (1970) TABLE 6,ISBN:0390672505,Stephan_collection,1970,943,943,0,sole source,1,Stephan_collection,1,1,1970
Alouatta seniculus,Schizo_cortex_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,510,510,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Septum_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,200,200,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Striatum_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,2829,2829,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Telencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,37388,37388,0,sole source,1,Stephan_collection,1,1,1981
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,37400,43204.5,-13.43,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,49009,43204.5,13.43,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Alouatta seniculus,Trigeminal_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,4.52,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Alouatta seniculus,Trigeminal_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,2.26,2.26,0,sole source,1,Sherwood,1,1,2005
Alouatta seniculus,Ventricles_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,616,616,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Amygdala_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,201,201,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Area_striata_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,1203,1203,0,sole source,1,Stephan_collection,1,1,1984
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,630,813,-22.51,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,996,813,22.51,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Aotus trivirgatus,Area_striata_lamina_1_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,113,113,0,sole source,1,Stephan_collection,1,1,1984
Aotus trivirgatus,Area_striata_laminae_2_6_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,883,883,0,sole source,1,Stephan_collection,1,1,1984
Aotus trivirgatus,Area_striata_white_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,207,207,0,sole source,1,Stephan_collection,1,1,1984
Aotus trivirgatus,Body_Mass.g,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,830,830,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Aotus trivirgatus,Brain_Mass.mg,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,17100,17100,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Aotus trivirgatus,Bulbus_olfactorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,56,56,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Bulbus_olfactorius_accessorius_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,0.222,0.222,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,CerebellarHemisphere_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,950,950,0,sole source,1,Zilles,1,1,2003
Aotus trivirgatus,CerebellarVermis_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,900,900,0,sole source,1,Zilles,1,1,2003
Aotus trivirgatus,Cerebellum_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,1750,1811.5,-3.39,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Aotus trivirgatus,Cerebellum_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,1873,1811.5,3.39,averaged into the merged value,1,Stephan_collection; Zilles,2,2,2003
Aotus trivirgatus,Complexus_centromedialis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,54.5,54.5,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Complexus_corticobasolateralis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,147,147,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,10.1159/000155963,Stephan_collection,1981,36,36,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Corpus_pineal_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,1.55,1.55,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.14,0.14,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.162,0.162,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Diencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,1098,1098,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Facial_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,2.48,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Aotus trivirgatus,Facial_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,1.24,1.24,0,sole source,1,Sherwood,1,1,2005
Aotus trivirgatus,Hippocampus_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,539,539,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Hypoglossal_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,1.74,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Aotus trivirgatus,Hypoglossal_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,0.87,0.87,0,sole source,1,Sherwood,1,1,2005
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,394,394,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,675.3,680.65,-0.79,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,686,680.65,0.79,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Aotus trivirgatus,Mesencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,409,409,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,6970,8460,-17.61,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Aotus trivirgatus,Neocortex_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,9950,8460,17.61,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,5230,5230,0,averaged into the merged value,1,Bush,1,2,2004
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,5230,5230,0,averaged into the merged value,1,Bush,1,2,2004
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,1740,1740,0,averaged into the merged value,1,Bush,1,2,2004
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,1740,1740,0,averaged into the merged value,1,Bush,1,2,2004
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,15.7,15.7,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,3.21,3.21,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,10.1159/000155963,Stephan_collection,1981,0.964,0.964,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,0.201,0.201,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Palaeocortex_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,203,203,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Palaeocortex_plus_amygdala_Vol.mm3,Stephan_etal_1970_Table6,Stephan et al. (1970) TABLE 6,ISBN:0390672505,Stephan_collection,1970,394,394,0,sole source,1,Stephan_collection,1,1,1970
Aotus trivirgatus,Schizo_cortex_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,243,243,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Septum_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,83.8,83.8,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Striatum_Vol.mm3,Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,10.1159/000155963,Stephan_collection,1981,862,862,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Telencephalon_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,12128,12128,0,sole source,1,Stephan_collection,1,1,1981
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,11420,15580,-26.7,averaged into the merged value,1,Bush; Stephan_collection; Zilles,3,4,2004
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,10.1002/ar.a.20114,Bush,2004,11420,15580,-26.7,averaged into the merged value,1,Bush; Stephan_collection; Zilles,3,4,2004
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,10.1016/s0047-2484(03)00028-9,Zilles,2003,19125,15580,22.75,averaged into the merged value,1,Bush; Stephan_collection; Zilles,3,4,2004
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,10.1159/000155963,Stephan_collection,1981,16195,15580,3.95,averaged into the merged value,1,Bush; Stephan_collection; Zilles,3,4,2004
