Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Symphalangus syndactylus,Total_brain_net_volume_Vol.mm3,deSousa_etal_2010_Table1,deSousa et al. (2010) Table 1,10.1016/j.jhevol.2009.11.011,Zilles,2010,133900,133890,0.01,averaged into the merged value,1,Zilles,1,2,2013
Talpa europaea,Body_Mass.g,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,76,76,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Talpa europaea,Brain_Mass.mg,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,1020,1020,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Talpa europaea,Bulbus_olfactorius_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,59.6,59.6,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Bulbus_olfactorius_accessorius_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,0.291,0.291,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Cerebellum_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,174,174,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Corpus_pineal_Vol.mm3,Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,10.1159/000155963,Stephan_collection,1981,0.0497,0.0497,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Corpus_subcommissurale_Vol.mm3,Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,10.1159/000155963,Stephan_collection,1981,0.0102,0.0102,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Corpus_subfornicale_Vol.mm3,Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,10.1159/000155963,Stephan_collection,1981,0.00857,0.00857,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Diencephalon_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,80.4,80.4,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Hippocampus_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,86.8,86.8,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Lobus_piriformis_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,112,112,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Medulla_oblongata_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,95.4,95.4,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Mesencephalon_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,49.8,49.8,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Neocortex_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,181,181,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Nucleus_habenularis_medialis_Vol.mm3,Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,10.1159/000155963,Stephan_collection,1981,0.366,0.366,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Nucleus_septalis_triangularis_Vol.mm3,Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,10.1159/000155963,Stephan_collection,1981,0.33,0.33,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Palaeocortex_plus_amygdala_Vol.mm3,Stephan_etal_1970_Table4,Stephan et al. (1970) TABLE 4,ISBN:0390672505,Stephan_collection,1970,112,112,0,sole source,1,Stephan_collection,1,1,1970
Talpa europaea,Schizo_cortex_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,39.6,39.6,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Septum_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,15,15,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Striatum_Vol.mm3,Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,10.1159/000155963,Stephan_collection,1981,60.2,60.2,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Telencephalon_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,554,554,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Total_brain_net_volume_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,953,953,0,sole source,1,Stephan_collection,1,1,1981
Talpa europaea,Ventricles_Vol.mm3,Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,10.1159/000155963,Stephan_collection,1981,10.9,10.9,0,sole source,1,Stephan_collection,1,1,1981
Tamandua tetradactyla,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,9410,9410,0,sole source,1,Bush,1,1,2004
Tamandua tetradactyla,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,7250,7250,0,sole source,1,Bush,1,1,2004
Tamandua tetradactyla,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,2160,2160,0,sole source,1,Bush,1,1,2004
Tamandua tetradactyla,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,24640,24640,0,sole source,1,Bush,1,1,2004
Tarsius sp.,Amygdala_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,49.8,49.8,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Area_striata_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,370,370,0,sole source,1,Stephan_collection,1,1,1984
Tarsius sp.,Area_striata_grey_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,349,349,0,sole source,1,Stephan_collection,1,1,1984
Tarsius sp.,Area_striata_lamina_1_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,41.2,41.2,0,sole source,1,Stephan_collection,1,1,1984
Tarsius sp.,Area_striata_laminae_2_6_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,307,307,0,sole source,1,Stephan_collection,1,1,1984
Tarsius sp.,Area_striata_white_matter_Vol.mm3,Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,PMID:6501869,Stephan_collection,1984,21.3,21.3,0,sole source,1,Stephan_collection,1,1,1984
Tarsius sp.,Body_Mass.g,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,125,125,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Tarsius sp.,Brain_Mass.mg,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,3600,3600,0,reference table used (mass rule: other sources not averaged in),1,Stephan_collection,1,1,1981
Tarsius sp.,Bulbus_olfactorius_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,18.8,18.8,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Bulbus_olfactorius_accessorius_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,0.82,0.82,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Capsula_interna_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,16.7,16.7,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Cerebellum_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,428,428,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Complexus_centromedialis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,11.1,11.1,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Complexus_corticobasolateralis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,38.7,38.7,0,sole source,1,Stephan_collection,1,1,1981
