reference_name,accepted_name,note
Gorilla gorilla,Gorilla sp.,project convention used by volumes_compiled_select.R
Pongo pygmaeus,Pongo sp.,project convention used by volumes_compiled_select.R
Pongo abelii,Pongo sp.,project convention used by volumes_compiled_select.R
Tarsius syrichta,Tarsius sp.,project convention used by volumes_compiled_select.R
Plecturocebus moloch,Callicebus moloch,project convention used by volumes_compiled_select.R
Lagothrix lagotricha,Lagothrix lagothricha,project convention used by volumes_compiled_select.R
