Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Nycticebus coucang,Nycticebus coucang,area29_posterior_cingulate,molecular,23,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Nycticebus coucang,Nycticebus coucang,area29_posterior_cingulate,outer_main,26,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Nycticebus coucang,Nycticebus coucang,area29_posterior_cingulate,inner_main,51,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Nycticebus coucang,Nycticebus coucang,area30_posterior_cingulate,molecular,17,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Nycticebus coucang,Nycticebus coucang,area30_posterior_cingulate,outer_main,37,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Nycticebus coucang,Nycticebus coucang,area30_posterior_cingulate,inner_main,46,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Nycticebus coucang,Nycticebus coucang,area23_posterior_cingulate,molecular,20,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Nycticebus coucang,Nycticebus coucang,area23_posterior_cingulate,outer_main,37,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Nycticebus coucang,Nycticebus coucang,area23_posterior_cingulate,granular,10,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Nycticebus coucang,Nycticebus coucang,area23_posterior_cingulate,inner_main,33,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Nycticebus coucang,Nycticebus coucang,area31_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Nycticebus coucang,Nycticebus coucang,area31_posterior_cingulate,outer_main,34,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Nycticebus coucang,Nycticebus coucang,area31_posterior_cingulate,granular,11,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Nycticebus coucang,Nycticebus coucang,area31_posterior_cingulate,inner_main,42,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Tarsius syrichta,Tarsius syrichta,area29_posterior_cingulate,molecular,26,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Tarsius syrichta,Tarsius syrichta,area29_posterior_cingulate,outer_main,27,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Tarsius syrichta,Tarsius syrichta,area29_posterior_cingulate,inner_main,47,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Tarsius syrichta,Tarsius syrichta,area30_posterior_cingulate,molecular,27,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Tarsius syrichta,Tarsius syrichta,area30_posterior_cingulate,outer_main,36,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Tarsius syrichta,Tarsius syrichta,area30_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Tarsius syrichta,Tarsius syrichta,area23_posterior_cingulate,molecular,20,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Tarsius syrichta,Tarsius syrichta,area23_posterior_cingulate,outer_main,37,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Tarsius syrichta,Tarsius syrichta,area23_posterior_cingulate,granular,10,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Tarsius syrichta,Tarsius syrichta,area23_posterior_cingulate,inner_main,33,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Tarsius syrichta,Tarsius syrichta,area31_posterior_cingulate,molecular,18,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Tarsius syrichta,Tarsius syrichta,area31_posterior_cingulate,outer_main,34,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Tarsius syrichta,Tarsius syrichta,area31_posterior_cingulate,granular,11,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Tarsius syrichta,Tarsius syrichta,area31_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Callithrix jacchus,Callithrix jacchus,area29_posterior_cingulate,molecular,18,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Callithrix jacchus,Callithrix jacchus,area29_posterior_cingulate,outer_main,37,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Callithrix jacchus,Callithrix jacchus,area29_posterior_cingulate,inner_main,45,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Callithrix jacchus,Callithrix jacchus,area30_posterior_cingulate,molecular,17,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Callithrix jacchus,Callithrix jacchus,area30_posterior_cingulate,outer_main,49,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Callithrix jacchus,Callithrix jacchus,area30_posterior_cingulate,inner_main,34,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Callithrix jacchus,Callithrix jacchus,area23_posterior_cingulate,molecular,13,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Callithrix jacchus,Callithrix jacchus,area23_posterior_cingulate,outer_main,41,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Callithrix jacchus,Callithrix jacchus,area23_posterior_cingulate,granular,13,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
Callithrix jacchus,Callithrix jacchus,area23_posterior_cingulate,inner_main,33,2,Zilles_etal_1986_Table1,"Table 1, area23",primary
