Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Papio sp.,Papio sp.,area31_posterior_cingulate,molecular,15,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Papio sp.,Papio sp.,area31_posterior_cingulate,outer_main,46,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Papio sp.,Papio sp.,area31_posterior_cingulate,granular,11,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Papio sp.,Papio sp.,area31_posterior_cingulate,inner_main,28,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Pan troglodytes,Pan troglodytes,area29_posterior_cingulate,molecular,24,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Pan troglodytes,Pan troglodytes,area29_posterior_cingulate,outer_main,37,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Pan troglodytes,Pan troglodytes,area29_posterior_cingulate,inner_main,39,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Pan troglodytes,Pan troglodytes,area30_posterior_cingulate,molecular,18,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Pan troglodytes,Pan troglodytes,area30_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Pan troglodytes,Pan troglodytes,area30_posterior_cingulate,inner_main,40,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Pan troglodytes,Pan troglodytes,area23_posterior_cingulate,molecular,15,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Pan troglodytes,Pan troglodytes,area23_posterior_cingulate,outer_main,38,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Pan troglodytes,Pan troglodytes,area23_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Pan troglodytes,Pan troglodytes,area23_posterior_cingulate,inner_main,34,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Pan troglodytes,Pan troglodytes,area31_posterior_cingulate,molecular,18,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Pan troglodytes,Pan troglodytes,area31_posterior_cingulate,outer_main,43,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Pan troglodytes,Pan troglodytes,area31_posterior_cingulate,granular,12,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Pan troglodytes,Pan troglodytes,area31_posterior_cingulate,inner_main,27,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Homo sapiens,Homo sapiens,area29_posterior_cingulate,molecular,21,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Homo sapiens,Homo sapiens,area29_posterior_cingulate,outer_main,27,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Homo sapiens,Homo sapiens,area29_posterior_cingulate,inner_main,52,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Homo sapiens,Homo sapiens,area30_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Homo sapiens,Homo sapiens,area30_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Homo sapiens,Homo sapiens,area30_posterior_cingulate,inner_main,45,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Homo sapiens,Homo sapiens,area23_posterior_cingulate,molecular,15,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Homo sapiens,Homo sapiens,area23_posterior_cingulate,outer_main,43,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Homo sapiens,Homo sapiens,area23_posterior_cingulate,granular,10,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Homo sapiens,Homo sapiens,area23_posterior_cingulate,inner_main,32,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Homo sapiens,Homo sapiens,area31_posterior_cingulate,molecular,12,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Homo sapiens,Homo sapiens,area31_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Homo sapiens,Homo sapiens,area31_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Homo sapiens,Homo sapiens,area31_posterior_cingulate,inner_main,30,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
