Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,Stephan_etal_1981_TableIX,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table IX,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,Stephan_etal_1981_TableV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table V,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,Stephan_etal_1981_TableVI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVII,Stephan et al. (1981) Table VII,Stephan_etal_1981_TableVII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,Stephan_etal_1981_TableVIII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VIII,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableX,Stephan et al. (1981) Table X,Stephan_etal_1981_TableX,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table X,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,Stephan_etal_1981_TableXI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXII,Stephan et al. (1981) Table XII,Stephan_etal_1981_TableXII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,Stephan_etal_1981_TableXIII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XIII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,Stephan_etal_1981_TableXIV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XIV,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,Stephan_etal_1981_TableXV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XV,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,Stephan_etal_1981_TableXVI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XVI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stimpson_etal_2015_TableS1,Stimpson et al. (2015) Table_S1,Stimpson_etal_2015_TableS1,"Stimpson, C. D., Barger, N., Taglialatella, J. P., Gendron-Fitzpatrick, A., Hof, P. R., Hopkins, W. D., & Sherwood, C. C. (2015). Differential serotonergic innervation of the amygdala in bonobos and chimpanzees. Soc Cogn Affect Neurosci. https://doi.org/10.1093/scan/nsv128",Stimpson,etal,2015,Stimpson_etal_2015,Table_S1,10.1093/scan/nsv128,https://doi.org/10.1093/scan/nsv128,Sherwood,Sherwood,NA
Stimpson_etal_2015_TableS2,Stimpson et al. (2015) Table_S2,Stimpson_etal_2015_TableS2,"Stimpson, C. D., Barger, N., Taglialatella, J. P., Gendron-Fitzpatrick, A., Hof, P. R., Hopkins, W. D., & Sherwood, C. C. (2015). Differential serotonergic innervation of the amygdala in bonobos and chimpanzees. Soc Cogn Affect Neurosci. https://doi.org/10.1093/scan/nsv128",Stimpson,etal,2015,Stimpson_etal_2015,Table_S2,10.1093/scan/nsv128,https://doi.org/10.1093/scan/nsv128,Sherwood,Sherwood,NA
Zilles_Rehkämper_1988_Table12-2,Zilles & Rehkämper (1988) Table 1,Zilles_Rehkämper_1988_Table12-2,"Johnson, C. B., Schall, M., Tennison, M. E., Garcia, M. E., Shea-Shumsky, N. B., Raghanti, M. A., Lewandowski, A. H., Bertelsen, M. F., Waller, L. C., Walsh, T., Roberts, J. F., Hof, P. R., Sherwood, C. C., Manger, P. R., & Jacobs, B. (2016). Neocortical neuronal morphology in the Siberian tiger (Panthera tigris altaica) and the clouded leopard (Neofelis nebulosa). Journal of Comparative Neurology, 524, 3641–3665. https://doi.org/10.1002/cne.24022",Zilles,Rehkämper,1988,Zilles_Rehkämper_1988,Table 1,ISBN:9780195043716,NA,Stephan,"Stephan, Zilles",NA
