Species,Variable,reference,merged,ratio,pct_diff,merge_source,merge_year,beat,category
Pan troglodytes,Corpus_geniculatum_laterale_Vol.mm3,250.7,344.0,1.3721579577183889,37.22,deSousa_etal_2013_Table1,2013.0,Stephan_etal_1984_Table1 (1984)=356.0 [superseded (older)] | Stephan_etal_1981_TableIX (1981)=356.0 [superseded (older)],GENUINE source disagreement
Pongo sp.,fronto_insular_cortex_left_Vol.mm3,60.0,39.75,0.6625,-33.75,Bauernfeind_etal_2013_Table1,2013.0,,GENUINE source disagreement
Gorilla sp.,Area_striata_grey_matter_Vol.mm3,9129.0,12062.0,1.321283820790886,32.13,Frahm_etal_1984_Table1,1984.0,Smaers_etal_2017_TableS1part1 (2017)=12062.0 [skipped (flagged)],GENUINE source disagreement
Pan troglodytes,Area_striata_grey_matter_Vol.mm3,8268.3,10593.0,1.2811581582671168,28.12,Frahm_etal_1984_Table1,1984.0,Smaers_etal_2017_TableS1part1 (2017)=10593.0 [skipped (flagged)],GENUINE source disagreement
Alouatta seniculus,Cerebellum_Vol.mm3,5699.0,4150.0,0.728197929461309,-27.18,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=5699.0 [superseded (older)],GENUINE source disagreement
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,49009.0,37400.0,0.7631251402803567,-23.69,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=49009.0 [superseded (older)],GENUINE source disagreement
Pongo sp.,Neocortex_Vol.mm3,219800.0,269233.3333333333,1.224901425538368,22.49,deSousa_etal_2010_Table1,2010.0,Zilles_Rehkämper_1988_Table12-2 (1988)=219800.0 [superseded (older)],GENUINE source disagreement
Macaca mulatta,Cerebellum_Vol.mm3,8965.0,7233.33333333333,0.8068414203383525,-19.32,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=9600.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=8965.0 [superseded (older)],GENUINE source disagreement
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,16195.0,19125.0,1.1809200370484718,18.09,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=16195.0 [superseded (older)],GENUINE source disagreement
Gorilla sp.,Neocortex_Vol.mm3,341444.0,283700.0,0.8308829559166364,-16.91,deSousa_etal_2010_Table1,2010.0,Stephan_etal_1981_TableVI (1981)=341444.0 [superseded (older)],GENUINE source disagreement
Pongo sp.,Cerebellum_Vol.mm3,42900.0,49800.0,1.1608391608391608,16.08,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=39275.0 [superseded (older)] | Zilles_Rehkämper_1988_Table12-2 (1988)=42900.0 [superseded (older)],GENUINE source disagreement
Perodicticus potto,Total_brain_net_volume_Vol.mm3,13212.0,11100.0,0.8401453224341507,-15.99,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableII (1981)=13212.0 [superseded (older)],GENUINE source disagreement
Cebus albifrons,Total_brain_net_volume_Vol.mm3,66939.0,77027.0,1.1507043726377746,15.07,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableIII (1981)=66939.0 [superseded (older)],GENUINE source disagreement
