Species,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Cheirogaleus medius,NA,NA,177,3140,NA,NA,NA,NA,NA,NA,2961,63.2,216,199,NA,NA,17.6,102,2.66,NA,NA,9.45,437,23.3,39.8,12,6,10.8,0.691,0.0432,0.171,235,NA,NA,NA,174,1.94,4.27,198,3.24,202,145,1221,NA,NA,NA,NA,NA,1.06,0.385,0.472,3.22,1.61,2,1,4.06,2.03,2.72,1.36,135,65.3,32.5,145,1941,13,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus angolensis,64,32,9680,74.4,304,152,76,38,444,222,71815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daubentonia madagascariensis,NA,NA,2800,45150,NA,NA,NA,NA,NA,NA,42611,473,1355,1113,189,923,242,685,8.31,NA,NA,126.08,6461,122,351,94.6,47.3,58.5,3.32,1.83,0.593,3539,NA,NA,NA,1776,36.11,61.03,1538,28.94,1517,897,22127,17074,2738,14336,5053,24.9,7.75,2.65,3.53,25.4,12.7,16.26,8.13,36,18,16.9,8.45,1065,1044,254,2765,30196,304.8,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrocebus patas,NA,NA,7800,108000,NA,NA,NA,NA,NA,NA,89000,NA,NA,NA,NA,NA,NA,51.8,0,5200,2700,295.09,7900,NA,NA,178,89,266.8,NA,NA,NA,5423,11220,2552,1848,1591,95.07,126.31,1339,73.71,2616,1621,77141,NA,NA,NA,NA,NA,NA,NA,NA,31.2,15.6,35.8,17.9,80.6,40.3,30.4,15.2,NA,693,330,3624,84770,814.5,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur fulvus,NA,NA,1400,23300,NA,NA,NA,NA,NA,NA,22106,251,1519,1253,138,1114,267,207,3.21,NA,NA,86.28,3328,71.7,179,62.2,31.1,51.8,1.85,0.174,0.527,1713,NA,NA,NA,752,27.58,32.05,641,26.65,909,590,12207,9172,1298,7874,3035,19.6,4.02,1.4,1.37,18.54,9.27,11.8,5.9,19.5,9.75,12.44,6.22,389,422,119,1215,15566,136.9,194,248,12.2,239,13.9,212,225,1028,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago senegalensis,NA,NA,186,4800,NA,NA,NA,NA,NA,NA,4512,NA,334,301,NA,NA,32.6,79.2,2.58,NA,NA,12.6,672,NA,NA,18.28,9.14,16,0.741,0.0382,0.0668,382,NA,NA,NA,261,3.77,4.4,163,4.43,254,205,2139,NA,NA,NA,NA,NA,0.998,0.588,NA,5.86,2.93,2.86,1.43,6.84,3.42,2.72,1.36,NA,107,35.7,210,2997,21,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides demidoff,4,2,81,3380,10,5,10,5,24,12,3185.3,50.2,237,214,25.6,189,22.4,83.1,1.26,NA,NA,8.22,413,14.9,35.3,13.3,6.65,10.9,0.375,0.0266,0.024,246,NA,NA,NA,152,2.08,3.06,181,3.08,169,135,1568,1417,202.2,1215,150.6,2.82,0.78,0.45,0.62,3.8,1.9,2.02,1.01,5.44,2.72,2.04,1.02,122,59.9,25.7,169,2240,13.6,30.4,18.4,2.09,45.1,1.4,17,18.3,153,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla sp.,1107,570,105000,500000,1913.25,948.75,710,394.5,4066,2145.5,401785,NA,15185,12062,NA,NA,3123,316,0,61650,7000,740.4,68650,NA,NA,272,136,300.1,7.96,1.41,1.3,19370,71110,14854,10295,4781,112.36,534.6,4871,93.44,7509,4352,283700,NA,NA,NA,NA,NA,23.9,5.79,NA,47.2,23.6,39,19.5,116.8,58.4,69.4,34.7,NA,2729,1173,14567,369878,5400.6,3608,2471,106,2215,178,2604,2782,10547,671,537,4550,200,964.5,315.5,1920.5,335.5,232,103.5,NA,NA,NA
Homo sapiens,2777.2,1200.6,65000,1330000,5733.2,2960.2,3306.3999999999996,1873.8,12629.2,6479,1357820,3015,20226,14787,1704,13083,5439,114,0,125183.333333333,11833.3333333333,1513.78,137016.666666667,592,2424,354,177,335,142,0.0203,0.508,33319,204165,29013,29755,10287,190.48,1166.9,9032,156.4,9622,8087,991000,584706,75316,509391,421819,246,17,0.524,0,91.8,45.9,44.8,22.4,145.6,72.8,71.6,35.8,6016,6142,2610,28689,1063399,10477.9,18732,7008,133,3555,469,4711,5180,18222,823,1576.6,7630,180,2773,1432.6,6150.2,812.6,444.6,368,NA,NA,NA
Hylobates lar,80,40,5700,102000,262,131,234,117,578,289,88803,NA,5750,4574,562,4012,1176,43.9,0,9675,1950,242.09,11625,NA,NA,118.8,59.4,166.2,NA,NA,NA,5716,13610,2744,1743,2673,65.6,141.08,1264,35.41,2251,1459,68300,46646,6279,40367,19154,NA,NA,NA,NA,29,14.5,11.06,5.53,49,24.5,29.8,14.9,NA,1136,302,4784,76001,1167.9,555,693,31.2,629,61.6,715,777,3226,302,NA,2050,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates muelleri,284,142,5710,101.8,572,286,222,111,1078,539,98263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri indri,66,33,6250,38300,170,85,100,50,334,167,32481,NA,1961,1648,279,1369,313,168,2.32,NA,NA,141.3,5504,NA,NA,102.6,51.3,94.5,5.63,0.366,0.553,2911,NA,NA,NA,1520,46.96,56.31,838,38.03,1342,978,20114,15891,2702,13189,4223,NA,7.15,4.96,NA,23.6,11.8,19.02,9.51,44.4,22.2,15.6,7.8,NA,848,205,1855,25551,186.3,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
