Original_Term,Reference,Standardized_Term
Species,Eagleman_Vaughn_2021_TABLE1,Species (common→binomial)
REM_sleep_percent,Eagleman_Vaughn_2021_TABLE1,REM_sleep_pct
species,HerculanoHouzel__2015_Table1,Species
daily.sleep..h.,HerculanoHouzel__2015_Table1,Sleep_h_day
species,Lyamin_etal_2008_Table2,Species
total_sws_pct,Lyamin_etal_2008_Table2,SWS_total_pct
low_amp_usws_pct_tst,Lyamin_etal_2008_Table2,USWS_pctTST (summed component)
high_amp_usws_pct_tst,Lyamin_etal_2008_Table2,USWS_pctTST (summed component)
taxon,Ruf_Geiser_2015_Table1,Species
torpor_type,Ruf_Geiser_2015_Table1,Torpor_type
tb_min_c,Ruf_Geiser_2015_Table1,Torpor_Tb_min_C
tbd_max_h,Ruf_Geiser_2015_Table1,Torpor_bout_max_h
