source,Species,Species_printed,Standardized_Term,Value,species_confidence
Ruf_Geiser_2015_Table1,Thylamys elegans,Thylamys elegans,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dacelo novaeguineae,Dacelo novaeguineae,Torpor_Tb_min_C,28.6,high
Ruf_Geiser_2015_Table1,Todus mexicanus,Todus mexicanus,Torpor_Tb_min_C,22.4,high
Ruf_Geiser_2015_Table1,Colius castanotus,Colius castanotus,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Colius colius,Colius colius,Torpor_Tb_min_C,26,high
Ruf_Geiser_2015_Table1,Colius striatus,Colius striatus,Torpor_Tb_min_C,18.2,high
Ruf_Geiser_2015_Table1,Urocolius macrourus,Urocolius macrourus,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Aeronautes saxatalis,Aeronautes saxatalis,Torpor_Tb_min_C,20,high
Ruf_Geiser_2015_Table1,Apus apus,Apus apus,Torpor_Tb_min_C,28,high
Ruf_Geiser_2015_Table1,Hirundapus caudacutus,Hirundapus caudacutus,Torpor_Tb_min_C,28,high
Ruf_Geiser_2015_Table1,Amazilia versicolor,Amazilia versicolor,Torpor_Tb_min_C,21.8,high
Ruf_Geiser_2015_Table1,Archilochus alexandri,Archilochus alexandri,Torpor_Tb_min_C,13.5,high
Ruf_Geiser_2015_Table1,Calypte anna,Calypte anna,Torpor_Tb_min_C,16,high
Ruf_Geiser_2015_Table1,Calypte costae,Calypte costae,Torpor_Tb_min_C,9,high
Ruf_Geiser_2015_Table1,Chrysuronia oenone,Chrysuronia oenone,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Clytolaema rubricauda,Clytolaema rubricauda,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Eugenes fulgens,Eugenes fulgens,Torpor_Tb_min_C,10,high
Ruf_Geiser_2015_Table1,Eulampis jugularis,Eulampis jugularis,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Eupetomena macroura,Eupetomena macroura,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Lampornis clemenciae,Lampornis clemenciae,Torpor_Tb_min_C,19.6,high
Ruf_Geiser_2015_Table1,Melanotrochilus fuscus,Melanotrochilus fuscus,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Oreotrochilus estella,Oreotrochilus estella,Torpor_Tb_min_C,6.5,high
Ruf_Geiser_2015_Table1,Orthorhynchus cristatus,Orthorhynchus cristatus,Torpor_Tb_min_C,20.8,high
Ruf_Geiser_2015_Table1,Panterpe insignis,Panterpe insignis,Torpor_Tb_min_C,10,high
Ruf_Geiser_2015_Table1,Selasphorus platycercus,Selasphorus platycercus,Torpor_Tb_min_C,6.5,high
Ruf_Geiser_2015_Table1,Selasphorus rufus,Selasphorus rufus,Torpor_Tb_min_C,13,high
Ruf_Geiser_2015_Table1,Selasphorus sasin,Selasphorus sasin,Torpor_Tb_min_C,23,high
Ruf_Geiser_2015_Table1,Otus senegalensis,Otus senegalensis,Torpor_Tb_min_C,29,high
Ruf_Geiser_2015_Table1,Aegotheles cristatus,Aegotheles cristatus,Torpor_Tb_min_C,22.4,high
Ruf_Geiser_2015_Table1,Caprimulgus europaeus,Caprimulgus europaeus,Torpor_Tb_min_C,14,high
Ruf_Geiser_2015_Table1,Caprimulgus guttatus,Caprimulgus guttatus (argus),Torpor_Tb_min_C,29.6,review
Ruf_Geiser_2015_Table1,Caprimulgus tristigma,Caprimulgus tristigma,Torpor_Tb_min_C,10.5,high
Ruf_Geiser_2015_Table1,Caprimulgus vociferus,Caprimulgus vociferus,Torpor_Tb_min_C,18.5,high
Ruf_Geiser_2015_Table1,Chordeiles acutipennis,Chordeiles acutipennis,Torpor_Tb_min_C,15.7,high
Ruf_Geiser_2015_Table1,Chordeiles minor,Chordeiles minor,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Torpor_Tb_min_C,3,high
Ruf_Geiser_2015_Table1,Podargus strigoides,Podargus strigoides,Torpor_Tb_min_C,29.1,high
Ruf_Geiser_2015_Table1,Drepanoptila holosericea,Drepanoptila holosericea,Torpor_Tb_min_C,24.8,high
Ruf_Geiser_2015_Table1,Scardafella inca,Scardafella inca,Torpor_Tb_min_C,29,high
Ruf_Geiser_2015_Table1,Artamus cyanopterus,Artamus cyanopterus,Torpor_Tb_min_C,29,high
Ruf_Geiser_2015_Table1,Delichon urbicum,Delichon urbicum,Torpor_Tb_min_C,26,high
Ruf_Geiser_2015_Table1,Nectarinia famosa,Nectarinia famosa,Torpor_Tb_min_C,25.4,high
Ruf_Geiser_2015_Table1,Manacus vitellinus,Manacus vitellinus,Torpor_Tb_min_C,26.8,high
Ruf_Geiser_2015_Table1,Tachyglossus aculeatus,Tachyglossus aculeatus,Torpor_Tb_min_C,4,high
Ruf_Geiser_2015_Table1,Acomys russatus,Acomys russatus,Torpor_Tb_min_C,25,high
Ruf_Geiser_2015_Table1,Aethomys namaquenesis,Aethomys namaquenesis,Torpor_Tb_min_C,18.9,high
Ruf_Geiser_2015_Table1,Apodemus peninsulae,Apodemus peninsulae,Torpor_Tb_min_C,20,high
Ruf_Geiser_2015_Table1,Baiomys taylori,Baiomys taylori,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Calomys venustus,Calomys venustus,Torpor_Tb_min_C,16.4,high
Ruf_Geiser_2015_Table1,Cricetus cricetus,Cricetus cricetus,Torpor_Tb_min_C,3.6,high
Ruf_Geiser_2015_Table1,Cynomys leucurus,Cynomys leucurus,Torpor_Tb_min_C,8,high
Ruf_Geiser_2015_Table1,Cynomys ludovicianus,Cynomys ludovicianus,Torpor_Tb_min_C,15,high
Ruf_Geiser_2015_Table1,Cynomys parvidens,Cynomys parvidens,Torpor_Tb_min_C,6,high
Ruf_Geiser_2015_Table1,Eliomys quercinus,Eliomys quercinus,Torpor_Tb_min_C,1,high
Ruf_Geiser_2015_Table1,Fukomys damarensis,Fukomys damarensis,Torpor_Tb_min_C,28.5,high
Ruf_Geiser_2015_Table1,Gerbillus pusillus,Gerbillus pusillus,Torpor_Tb_min_C,16.7,high
Ruf_Geiser_2015_Table1,Glis glis,Glis glis,Torpor_Tb_min_C,1,high
Ruf_Geiser_2015_Table1,Graphiurus murinus,Graphiurus murinus,Torpor_Tb_min_C,1.5,high
Ruf_Geiser_2015_Table1,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Torpor_Tb_min_C,1.5,high
Ruf_Geiser_2015_Table1,Jaculus orientalis,Jaculus orientalis,Torpor_Tb_min_C,10,high
Ruf_Geiser_2015_Table1,Marmota flaviventris,Marmota flaviventris,Torpor_Tb_min_C,7.5,high
Ruf_Geiser_2015_Table1,Marmota marmota,Marmota marmota,Torpor_Tb_min_C,2.4,high
Ruf_Geiser_2015_Table1,Marmota monax,Marmota monax,Torpor_Tb_min_C,5,high
Ruf_Geiser_2015_Table1,Mesocricetus auratus,Mesocricetus auratus,Torpor_Tb_min_C,4,high
Ruf_Geiser_2015_Table1,Microdipodops pallidus,Microdipodops pallidus,Torpor_Tb_min_C,6,high
Ruf_Geiser_2015_Table1,Mus musculus,Mus musculus,Torpor_Tb_min_C,16,high
Ruf_Geiser_2015_Table1,Muscardinus avellanarius,Muscardinus avellanarius,Torpor_Tb_min_C,0,high
Ruf_Geiser_2015_Table1,Perognathus californicus,Perognathus californicus,Torpor_Tb_min_C,15,high
Ruf_Geiser_2015_Table1,Perognathus fasciatus,Perognathus fasciatus,Torpor_Tb_min_C,11,high
Ruf_Geiser_2015_Table1,Perognathus longimembris,Perognathus longimembris,Torpor_Tb_min_C,4,high
Ruf_Geiser_2015_Table1,Perognathus parvus,Perognathus parvus,Torpor_Tb_min_C,2,high
Ruf_Geiser_2015_Table1,Peromyscus boylii,Peromyscus boylii,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Peromyscus crinitus,Peromyscus crinitus,Torpor_Tb_min_C,17,high
Ruf_Geiser_2015_Table1,Peromyscus eremicus,Peromyscus eremicus,Torpor_Tb_min_C,16,high
Ruf_Geiser_2015_Table1,Peromyscus gossypinus,Peromyscus gossypinus,Torpor_Tb_min_C,14,high
Ruf_Geiser_2015_Table1,Peromyscus leucopus,Peromyscus leucopus,Torpor_Tb_min_C,16.8,high
Ruf_Geiser_2015_Table1,Peromyscus maniculatus,Peromyscus maniculatus,Torpor_Tb_min_C,13.4,high
Ruf_Geiser_2015_Table1,Petromyscus collinus,Petromyscus collinus,Torpor_Tb_min_C,18,high
Ruf_Geiser_2015_Table1,Phodopus sungorus,Phodopus sungorus,Torpor_Tb_min_C,12.3,high
Ruf_Geiser_2015_Table1,Phyllotis darwini,Phyllotis darwini,Torpor_Tb_min_C,17.5,high
Ruf_Geiser_2015_Table1,Reithrodontomys megalotis,Reithrodontomys megalotis,Torpor_Tb_min_C,13,high
Ruf_Geiser_2015_Table1,Saccostomus campestris,Saccostomus campestris,Torpor_Tb_min_C,25,high
Ruf_Geiser_2015_Table1,Spermophilus beecheyi,Spermophilus beecheyi,Torpor_Tb_min_C,6.1,high
Ruf_Geiser_2015_Table1,Spermophilus citellus,Spermophilus citellus,Torpor_Tb_min_C,-0.7,high
Ruf_Geiser_2015_Table1,Spermophilus columbianus,Spermophilus columbianus,Torpor_Tb_min_C,0,high
Ruf_Geiser_2015_Table1,Spermophilus dauricus,Spermophilus dauricus,Torpor_Tb_min_C,-2.4,high
Ruf_Geiser_2015_Table1,Spermophilus lateralis,Spermophilus lateralis,Torpor_Tb_min_C,-1,high
Ruf_Geiser_2015_Table1,Spermophilus mexicanus,Spermophilus mexicanus,Torpor_Tb_min_C,7,high
Ruf_Geiser_2015_Table1,Spermophilus parryii,Spermophilus parryii,Torpor_Tb_min_C,-2.9,high
Ruf_Geiser_2015_Table1,Spermophilus richardsonii,Spermophilus richardsonii,Torpor_Tb_min_C,2,high
Ruf_Geiser_2015_Table1,Spermophilus saturatus,Spermophilus saturatus,Torpor_Tb_min_C,0.3,high
Ruf_Geiser_2015_Table1,Spermophilus variegatus,Spermophilus variegatus,Torpor_Tb_min_C,8,high
Ruf_Geiser_2015_Table1,Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,Torpor_Tb_min_C,4,high
Ruf_Geiser_2015_Table1,Steatomys pratensis,Steatomys pratensis,Torpor_Tb_min_C,16.4,high
Ruf_Geiser_2015_Table1,Tamias amoenus,Tamias amoenus,Torpor_Tb_min_C,-0.2,high
Ruf_Geiser_2015_Table1,Tamias striatus,Tamias striatus,Torpor_Tb_min_C,4.9,high
Ruf_Geiser_2015_Table1,Zapus princeps,Zapus princeps,Torpor_Tb_min_C,5.5,high
Ruf_Geiser_2015_Table1,Cheirogaleus crossleyi,Cheirogaleus crossleyi,Torpor_Tb_min_C,9,high
Ruf_Geiser_2015_Table1,Cheirogaleus medius,Cheirogaleus medius,Torpor_Tb_min_C,9.3,high
Ruf_Geiser_2015_Table1,Galago moholi,Galago moholi,Torpor_Tb_min_C,21.8,high
Ruf_Geiser_2015_Table1,Microcebus griseorufus,Microcebus griseorufus,Torpor_Tb_min_C,6.5,high
Ruf_Geiser_2015_Table1,Microcebus murinus,Microcebus murinus,Torpor_Tb_min_C,7.8,high
Ruf_Geiser_2015_Table1,Microcebus myoxinus,Microcebus myoxinus,Torpor_Tb_min_C,6.8,high
Ruf_Geiser_2015_Table1,Microcebus ravelobensis,Microcebus ravelobensis,Torpor_Tb_min_C,25,high
Ruf_Geiser_2015_Table1,Meles meles,Meles meles,Torpor_Tb_min_C,28,high
Ruf_Geiser_2015_Table1,Mephitis mephitis,Mephitis mephitis,Torpor_Tb_min_C,26,high
Ruf_Geiser_2015_Table1,Proteles cristata,Proteles cristata,Torpor_Tb_min_C,31,high
Ruf_Geiser_2015_Table1,Taxidea taxus,Taxidea taxus,Torpor_Tb_min_C,28,high
Ruf_Geiser_2015_Table1,Ursus americanus,Ursus americanus,Torpor_Tb_min_C,29.4,high
Ruf_Geiser_2015_Table1,Ursus arctos,Ursus arctos,Torpor_Tb_min_C,32.5,high
Ruf_Geiser_2015_Table1,Carollia perspicillata,Carollia perspicillata,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Chalinolobus gouldii,Chalinolobus gouldii,Torpor_Tb_min_C,5,high
Ruf_Geiser_2015_Table1,Corynorhinus rafinesquii,Corynorhinus rafinesquii,Torpor_Tb_min_C,13.9,high
Ruf_Geiser_2015_Table1,Eptesicus fuscus,Eptesicus fuscus,Torpor_Tb_min_C,1,high
Ruf_Geiser_2015_Table1,Glossophaga soricina,Glossophaga soricina,Torpor_Tb_min_C,21,high
Ruf_Geiser_2015_Table1,Hipposideros terasensis,Hipposideros terasensis,Torpor_Tb_min_C,13.8,high
Ruf_Geiser_2015_Table1,Lasiurus borealis,Lasiurus borealis,Torpor_Tb_min_C,3,high
Ruf_Geiser_2015_Table1,Lasiurus cinereus,Lasiurus cinereus,Torpor_Tb_min_C,2,high
Ruf_Geiser_2015_Table1,Macroglossus minimus,Macroglossus minimus,Torpor_Tb_min_C,21.6,high
Ruf_Geiser_2015_Table1,Megaloglossus woermanni,Megaloglossus woermanni,Torpor_Tb_min_C,26.2,high
Ruf_Geiser_2015_Table1,Miniopterus schreibersii,Miniopterus schreibersii,Torpor_Tb_min_C,5,high
Ruf_Geiser_2015_Table1,Mops condylurus,Mops condylurus,Torpor_Tb_min_C,13,high
Ruf_Geiser_2015_Table1,Myotis adversus,Myotis adversus,Torpor_Tb_min_C,9,high
Ruf_Geiser_2015_Table1,Myotis lucifugus,Myotis lucifugus,Torpor_Tb_min_C,1.3,high
Ruf_Geiser_2015_Table1,Myotis myotis,Myotis myotis,Torpor_Tb_min_C,2,high
Ruf_Geiser_2015_Table1,Myotis nattereri,Myotis nattereri,Torpor_Tb_min_C,7,high
Ruf_Geiser_2015_Table1,Myotis velifer,Myotis velifer,Torpor_Tb_min_C,0.6,high
Ruf_Geiser_2015_Table1,Nyctalus noctula,Nyctalus noctula,Torpor_Tb_min_C,3,high
Ruf_Geiser_2015_Table1,Nycteris thebaica,Nycteris thebaica,Torpor_Tb_min_C,27,high
Ruf_Geiser_2015_Table1,Nyctimene albiventer,Nyctimene albiventer,Torpor_Tb_min_C,25.5,high
Ruf_Geiser_2015_Table1,Nyctophilus bifax,Nyctophilus bifax,Torpor_Tb_min_C,7.3,high
Ruf_Geiser_2015_Table1,Nyctophilus geoffroyi,Nyctophilus geoffroyi,Torpor_Tb_min_C,1.4,high
Ruf_Geiser_2015_Table1,Nyctophilus gouldi,Nyctophilus gouldi,Torpor_Tb_min_C,2.3,high
Ruf_Geiser_2015_Table1,Pipistrellus pipistrellus,Pipistrellus pipistrellus,Torpor_Tb_min_C,3,high
Ruf_Geiser_2015_Table1,Plecotus auritus,Plecotus auritus,Torpor_Tb_min_C,-2,high
Ruf_Geiser_2015_Table1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Torpor_Tb_min_C,9,high
Ruf_Geiser_2015_Table1,Rhinopoma microphyllum,Rhinopoma microphyllum,Torpor_Tb_min_C,23,high
Ruf_Geiser_2015_Table1,Scotophilus dinganii,Scotophilus dinganii,Torpor_Tb_min_C,18.5,high
Ruf_Geiser_2015_Table1,Scotophilus mhlanganii,Scotophilus mhlanganii,Torpor_Tb_min_C,17.2,high
Ruf_Geiser_2015_Table1,Sturnira lilium,Sturnira lilium,Torpor_Tb_min_C,22,high
Ruf_Geiser_2015_Table1,Syconycteris australis,Syconycteris australis,Torpor_Tb_min_C,17.2,high
Ruf_Geiser_2015_Table1,Tadarida aegyptiaca,Tadarida aegyptiaca,Torpor_Tb_min_C,6,high
Ruf_Geiser_2015_Table1,Tadarida brasiliensis,Tadarida brasiliensis,Torpor_Tb_min_C,9,high
Ruf_Geiser_2015_Table1,Tadarida teniotis,Tadarida teniotis,Torpor_Tb_min_C,6.7,high
Ruf_Geiser_2015_Table1,Vespadelus vulturnus,Vespadelus vulturnus,Torpor_Tb_min_C,5,high
Ruf_Geiser_2015_Table1,Atelerix algirus,Atelerix algirus,Torpor_Tb_min_C,9.7,high
Ruf_Geiser_2015_Table1,Atelerix frontalis,Atelerix frontalis,Torpor_Tb_min_C,1,high
Ruf_Geiser_2015_Table1,Crocidura flavescens,Crocidura flavescens,Torpor_Tb_min_C,19,high
Ruf_Geiser_2015_Table1,Crocidura leucodon,Crocidura leucodon,Torpor_Tb_min_C,18.6,high
Ruf_Geiser_2015_Table1,Crocidura russula,Crocidura russula,Torpor_Tb_min_C,17.9,high
Ruf_Geiser_2015_Table1,Crocidura suaveolens,Crocidura suaveolens,Torpor_Tb_min_C,21.6,high
Ruf_Geiser_2015_Table1,Erinaceus europaeus,Erinaceus europaeus,Torpor_Tb_min_C,5.4,high
Ruf_Geiser_2015_Table1,Notiosorex crawfordi,Notiosorex crawfordi,Torpor_Tb_min_C,27.4,high
Ruf_Geiser_2015_Table1,Suncus etruscus,Suncus etruscus,Torpor_Tb_min_C,12,high
Ruf_Geiser_2015_Table1,Zaedyus pichiy,Zaedyus pichiy,Torpor_Tb_min_C,12.5,high
Ruf_Geiser_2015_Table1,Amblysomus hottentotus,Amblysomus hottentotus,Torpor_Tb_min_C,8.6,high
Ruf_Geiser_2015_Table1,Echinops telfairi,Echinops telfairi,Torpor_Tb_min_C,11,high
Ruf_Geiser_2015_Table1,Geogale aurita,Geogale aurita,Torpor_Tb_min_C,16,high
Ruf_Geiser_2015_Table1,Microgale dobsoni,Microgale dobsoni,Torpor_Tb_min_C,20,high
Ruf_Geiser_2015_Table1,Setifer setosus,Setifer setosus,Torpor_Tb_min_C,13,high
Ruf_Geiser_2015_Table1,Tenrec ecaudatus,Tenrec ecaudatus,Torpor_Tb_min_C,15,high
Ruf_Geiser_2015_Table1,Elephantulus edwardii,Elephantulus edwardii,Torpor_Tb_min_C,9.3,high
Ruf_Geiser_2015_Table1,Elephantulus myurus,Elephantulus myurus,Torpor_Tb_min_C,5.5,high
Ruf_Geiser_2015_Table1,Elephantulus rozeti,Elephantulus rozeti,Torpor_Tb_min_C,5.1,high
Ruf_Geiser_2015_Table1,Elephantulus rupestris,Elephantulus rupestris,Torpor_Tb_min_C,12,high
Ruf_Geiser_2015_Table1,Macroscelides proboscideus,Macroscelides proboscideus,Torpor_Tb_min_C,9.4,high
Ruf_Geiser_2015_Table1,Acrobates pygmaeus,Acrobates pygmaeus,Torpor_Tb_min_C,1.6,high
Ruf_Geiser_2015_Table1,Burramys parvus,Burramys parvus,Torpor_Tb_min_C,1.8,high
Ruf_Geiser_2015_Table1,Cercartetus concinnus,Cercartetus concinnus,Torpor_Tb_min_C,4.7,high
Ruf_Geiser_2015_Table1,Cercartetus lepidus,Cercartetus lepidus,Torpor_Tb_min_C,5.9,high
Ruf_Geiser_2015_Table1,Cercartetus nanus,Cercartetus nanus,Torpor_Tb_min_C,1.3,high
Ruf_Geiser_2015_Table1,Petaurus breviceps,Petaurus breviceps,Torpor_Tb_min_C,10.4,high
Ruf_Geiser_2015_Table1,Tarsipes rostratus,Tarsipes rostratus,Torpor_Tb_min_C,5.4,high
Ruf_Geiser_2015_Table1,Dromiciops gliroides,Dromiciops gliroides,Torpor_Tb_min_C,7.1,high
Ruf_Geiser_2015_Table1,Antechinomys laniger,Antechinomys laniger,Torpor_Tb_min_C,11,high
Ruf_Geiser_2015_Table1,Antechinus flavipes,Antechinus flavipes,Torpor_Tb_min_C,24.5,high
Ruf_Geiser_2015_Table1,Antechinus stuartii,Antechinus stuartii,Torpor_Tb_min_C,19.9,high
Ruf_Geiser_2015_Table1,Dasykaluta rosamondae,Dasykaluta rosamondae,Torpor_Tb_min_C,21,high
Ruf_Geiser_2015_Table1,Dasyuroides byrnei,Dasyuroides byrnei,Torpor_Tb_min_C,20.4,high
Ruf_Geiser_2015_Table1,Dasyurus geoffroii,Dasyurus geoffroii,Torpor_Tb_min_C,23.1,high
Ruf_Geiser_2015_Table1,Dasyurus hallucatus,Dasyurus hallucatus,Torpor_Tb_min_C,28.4,high
Ruf_Geiser_2015_Table1,Dasyurus viverrinus,Dasyurus viverrinus,Torpor_Tb_min_C,25,high
Ruf_Geiser_2015_Table1,Myrmecobius fasciatus,Myrmecobius fasciatus,Torpor_Tb_min_C,19.1,high
Ruf_Geiser_2015_Table1,Ningaui yvonnae,Ningaui yvonnae,Torpor_Tb_min_C,15.3,high
Ruf_Geiser_2015_Table1,Planigale gilesi,Planigale gilesi,Torpor_Tb_min_C,14.3,high
Ruf_Geiser_2015_Table1,Planigale maculata,Planigale maculata,Torpor_Tb_min_C,19.6,high
Ruf_Geiser_2015_Table1,Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,Torpor_Tb_min_C,15.9,high
Ruf_Geiser_2015_Table1,Sminthopsis crassicaudata,Sminthopsis crassicaudata,Torpor_Tb_min_C,10.8,high
Ruf_Geiser_2015_Table1,Sminthopsis douglasi,Sminthopsis douglasi,Torpor_Tb_min_C,16.9,high
Ruf_Geiser_2015_Table1,Sminthopsis macroura,Sminthopsis macroura,Torpor_Tb_min_C,11.3,high
Ruf_Geiser_2015_Table1,Sminthopsis murina,Sminthopsis murina,Torpor_Tb_min_C,15,high
Ruf_Geiser_2015_Table1,Gracilinanus agilis,Gracilinanus agilis,Torpor_Tb_min_C,20,high
Ruf_Geiser_2015_Table1,Marmosa microtarsus,Marmosa microtarsus,Torpor_Tb_min_C,16,high
Ruf_Geiser_2015_Table1,Thylamys elegans,Thylamys elegans,Torpor_Tb_min_C,14,high
Ruf_Geiser_2015_Table1,Dacelo novaeguineae,Dacelo novaeguineae,Torpor_bout_max_h,11.1,high
Ruf_Geiser_2015_Table1,Colius castanotus,Colius castanotus,Torpor_bout_max_h,11,high
Ruf_Geiser_2015_Table1,Colius striatus,Colius striatus,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Urocolius indicus,Urocolius indicus,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Urocolius macrourus,Urocolius macrourus,Torpor_bout_max_h,11,high
Ruf_Geiser_2015_Table1,Aeronautes saxatalis,Aeronautes saxatalis,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Apus apus,Apus apus,Torpor_bout_max_h,5,high
Ruf_Geiser_2015_Table1,Hirundapus caudacutus,Hirundapus caudacutus,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Amazilia versicolor,Amazilia versicolor,Torpor_bout_max_h,10.4,high
Ruf_Geiser_2015_Table1,Eupetomena macroura,Eupetomena macroura,Torpor_bout_max_h,9,high
Ruf_Geiser_2015_Table1,Melanotrochilus fuscus,Melanotrochilus fuscus,Torpor_bout_max_h,11.2,high
Ruf_Geiser_2015_Table1,Selasphorus rufus,Selasphorus rufus,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Otus senegalensis,Otus senegalensis,Torpor_bout_max_h,5,high
Ruf_Geiser_2015_Table1,Aegotheles cristatus,Aegotheles cristatus,Torpor_bout_max_h,10.7,high
Ruf_Geiser_2015_Table1,Caprimulgus europaeus,Caprimulgus europaeus,Torpor_bout_max_h,16,high
Ruf_Geiser_2015_Table1,Caprimulgus tristigma,Caprimulgus tristigma,Torpor_bout_max_h,15,high
Ruf_Geiser_2015_Table1,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Torpor_bout_max_h,120,high
Ruf_Geiser_2015_Table1,Podargus strigoides,Podargus strigoides,Torpor_bout_max_h,11,high
Ruf_Geiser_2015_Table1,Drepanoptila holosericea,Drepanoptila holosericea,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Scardafella inca,Scardafella inca,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Artamus cyanopterus,Artamus cyanopterus,Torpor_bout_max_h,12,high
Ruf_Geiser_2015_Table1,Delichon urbicum,Delichon urbicum,Torpor_bout_max_h,12,high
Ruf_Geiser_2015_Table1,Nectarinia famosa,Nectarinia famosa,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Manacus vitellinus,Manacus vitellinus,Torpor_bout_max_h,3.5,high
Ruf_Geiser_2015_Table1,Tachyglossus aculeatus,Tachyglossus aculeatus,Torpor_bout_max_h,648,high
Ruf_Geiser_2015_Table1,Acomys russatus,Acomys russatus,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Allactaga euphratica,Allactaga euphratica,Torpor_bout_max_h,336,high
Ruf_Geiser_2015_Table1,Allactaga williamsi,Allactaga williamsi,Torpor_bout_max_h,144,high
Ruf_Geiser_2015_Table1,Apodemus peninsulae,Apodemus peninsulae,Torpor_bout_max_h,6.5,high
Ruf_Geiser_2015_Table1,Baiomys taylori,Baiomys taylori,Torpor_bout_max_h,20,high
Ruf_Geiser_2015_Table1,Calomys musculinus,Calomys musculinus,Torpor_bout_max_h,16,high
Ruf_Geiser_2015_Table1,Calomys venustus,Calomys venustus,Torpor_bout_max_h,8,high
Ruf_Geiser_2015_Table1,Cricetus cricetus,Cricetus cricetus,Torpor_bout_max_h,160,high
Ruf_Geiser_2015_Table1,Cynomys leucurus,Cynomys leucurus,Torpor_bout_max_h,199,high
Ruf_Geiser_2015_Table1,Cynomys ludovicianus,Cynomys ludovicianus,Torpor_bout_max_h,214,high
Ruf_Geiser_2015_Table1,Cynomys parvidens,Cynomys parvidens,Torpor_bout_max_h,418,high
Ruf_Geiser_2015_Table1,Eliomys quercinus,Eliomys quercinus,Torpor_bout_max_h,480,high
Ruf_Geiser_2015_Table1,Gerbillus pusillus,Gerbillus pusillus,Torpor_bout_max_h,20,high
Ruf_Geiser_2015_Table1,Glirulus japonicus,Glirulus japonicus,Torpor_bout_max_h,380,high
Ruf_Geiser_2015_Table1,Glis glis,Glis glis,Torpor_bout_max_h,977,high
Ruf_Geiser_2015_Table1,Graphiurus murinus,Graphiurus murinus,Torpor_bout_max_h,192,high
Ruf_Geiser_2015_Table1,Graphiurus ocularis,Graphiurus ocularis,Torpor_bout_max_h,312,high
Ruf_Geiser_2015_Table1,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Torpor_bout_max_h,456,high
Ruf_Geiser_2015_Table1,Jaculus orientalis,Jaculus orientalis,Torpor_bout_max_h,158,high
Ruf_Geiser_2015_Table1,Marmota broweri,Marmota broweri,Torpor_bout_max_h,480,high
Ruf_Geiser_2015_Table1,Marmota flaviventris,Marmota flaviventris,Torpor_bout_max_h,360,high
Ruf_Geiser_2015_Table1,Marmota marmota,Marmota marmota,Torpor_bout_max_h,353,high
Ruf_Geiser_2015_Table1,Marmota monax,Marmota monax,Torpor_bout_max_h,185,high
Ruf_Geiser_2015_Table1,Mesocricetus auratus,Mesocricetus auratus,Torpor_bout_max_h,264,high
Ruf_Geiser_2015_Table1,Mesocricetus brandti,Mesocricetus brandti,Torpor_bout_max_h,144,high
Ruf_Geiser_2015_Table1,Microdipodops pallidus,Microdipodops pallidus,Torpor_bout_max_h,84,high
Ruf_Geiser_2015_Table1,Mus musculus,Mus musculus,Torpor_bout_max_h,11,high
Ruf_Geiser_2015_Table1,Muscardinus avellanarius,Muscardinus avellanarius,Torpor_bout_max_h,624,high
Ruf_Geiser_2015_Table1,Perognathus californicus,Perognathus californicus,Torpor_bout_max_h,15.4,high
Ruf_Geiser_2015_Table1,Perognathus fasciatus,Perognathus fasciatus,Torpor_bout_max_h,17,high
Ruf_Geiser_2015_Table1,Perognathus longimembris,Perognathus longimembris,Torpor_bout_max_h,112,high
Ruf_Geiser_2015_Table1,Perognathus parvus,Perognathus parvus,Torpor_bout_max_h,192,high
Ruf_Geiser_2015_Table1,Peromyscus boylii,Peromyscus boylii,Torpor_bout_max_h,8.8,high
