Species,Species_printed,Standardized_Term,Value,Units,source,team,ref,species_confidence,dependency_group
Chlorocebus pygerythrus,Vervet monkey,REM_sleep_pct,6,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,medium,REM_pct
Eulemur mongoz,Mongoose lemur,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Microcebus murinus,Gray mouse lemur,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Ateles geoffroyi,Spider monkey,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,review,REM_pct
Papio cynocephalus,Yellow baboon,REM_sleep_pct,8,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Erythrocebus patas,Patas monkey,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Eulemur macaco,Black lemur,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca sylvanus,Barbary macaque,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Galago senegalensis,Senegal galago,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Chlorocebus sabaeus,Green monkey,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,medium,REM_pct
Eulemur fulvus,Brown lemur,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,review,REM_pct
Papio papio,Guinea baboon,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Aotus trivirgatus,Three-striped night monkey,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca fascicularis,Long-tailed macaque,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca nemestrina,Pigtail macaque,REM_sleep_pct,12,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Pongo pygmaeus,Bornean orangutan,REM_sleep_pct,12,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Papio hamadryas,Hamadryas baboon,REM_sleep_pct,13,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Papio anubis,Olive baboon,REM_sleep_pct,13,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca radiata,Bonnet macaque,REM_sleep_pct,14,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Callithrix jacchus,Common marmoset,REM_sleep_pct,14,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca arctoides,Stump-tailed macaque,REM_sleep_pct,15,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Saimiri sciureus,Common squirrel monkey,REM_sleep_pct,15,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Pan troglodytes,Chimpanzee,REM_sleep_pct,16,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Macaca mulatta,Rhesus monkey,REM_sleep_pct,18,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Homo sapiens,Human,REM_sleep_pct,21,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table,high,REM_pct
Aotus trivirgatus,Aotus trivirgatus,Sleep_h_day,16.97,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Callithrix sp.,Callithrix sp.,Sleep_h_day,10.22,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Cebus apella,Cebus apella,Sleep_h_day,5.95,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Saimiri sciureus,Saimiri sciureus,Sleep_h_day,9.11,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Macaca mulatta,Macaca mulatta,Sleep_h_day,8.74,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Macaca radiata,Macaca radiata,Sleep_h_day,9.02,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Papio cynocephalus,Papio cynocephalus,Sleep_h_day,6.19,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Homo sapiens,Homo sapiens,Sleep_h_day,8.47,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Blarina brevicauda,Blarina brevicauda,Sleep_h_day,14.9,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Condylura cristata,Condylura cristata,Sleep_h_day,10.32,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Erinaceus europaeus,Erinaceus europaeus,Sleep_h_day,13.96,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Scalopus aquaticus,Scalopus aquaticus,Sleep_h_day,8.45,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Cavia porcellus,Cavia porcellus,Sleep_h_day,9.37,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Mesocricetus auratus,Mesocricetus auratus,Sleep_h_day,14.98,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Mus musculus,Mus musculus,Sleep_h_day,11.6,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Oryctolagus cuniculus,Oryctolagus cuniculus,Sleep_h_day,9.55,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Rattus norvegicus,Rattus norvegicus,Sleep_h_day,12.27,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Dendrohyrax sp.,Dendrohyrax sp.,Sleep_h_day,5.4,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Loxodonta africana,Loxodonta Africana,Sleep_h_day,3.3,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Procavia sp.,Procavia sp.,Sleep_h_day,5.45,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Bos taurus,Bos taurus,Sleep_h_day,3.19,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Giraffa camelopardalis,Giraffa camelopardalis,Sleep_h_day,3.44,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Sus scrofa,Sus scrofa,Sleep_h_day,8.2,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Tupaia sp.,Tupaia sp.,Sleep_h_day,15.84,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table,high,dailysleep
Tursiops truncatus,Tursiops truncatus,SWS_total_pct,33.9,percent of sleep,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Phocoena phocoena,Phocoena phocoena,SWS_total_pct,46.4,percent of sleep,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Inia geoffrensis,Inia geoffrensis,SWS_total_pct,57,percent of sleep,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Delphinapterus leucas,Delphinapterus leucas,SWS_total_pct,43,percent of sleep,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Tursiops truncatus,Tursiops truncatus,USWS_pctTST,88.2,percent of TST,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Phocoena phocoena,Phocoena phocoena,USWS_pctTST,67,percent of TST,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Inia geoffrensis,Inia geoffrensis,USWS_pctTST,71.9,percent of TST,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Delphinapterus leucas,Delphinapterus leucas,USWS_pctTST,68.1,percent of TST,Lyamin_etal_2008_Table2,Lyamin_2008,Table,high,SWS
Dacelo novaeguineae,Dacelo novaeguineae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Todus mexicanus,Todus mexicanus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius castanotus,Colius castanotus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius colius,Colius colius,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius striatus,Colius striatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Urocolius indicus,Urocolius indicus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Urocolius macrourus,Urocolius macrourus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aeronautes saxatalis,Aeronautes saxatalis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Apus apus,Apus apus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Hirundapus caudacutus,Hirundapus caudacutus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Amazilia versicolor,Amazilia versicolor,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Archilochus alexandri,Archilochus alexandri,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calypte anna,Calypte anna,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calypte costae,Calypte costae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chrysuronia oenone,Chrysuronia oenone,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Clytolaema rubricauda,Clytolaema rubricauda,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eugenes fulgens,Eugenes fulgens,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eulampis jugularis,Eulampis jugularis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eupetomena macroura,Eupetomena macroura,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Lampornis clemenciae,Lampornis clemenciae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Melanotrochilus fuscus,Melanotrochilus fuscus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Oreotrochilus estella,Oreotrochilus estella,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Orthorhynchus cristatus,Orthorhynchus cristatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Panterpe insignis,Panterpe insignis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus platycercus,Selasphorus platycercus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus rufus,Selasphorus rufus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus sasin,Selasphorus sasin,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Otus senegalensis,Otus senegalensis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aegotheles cristatus,Aegotheles cristatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus europaeus,Caprimulgus europaeus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus guttatus,Caprimulgus guttatus (argus),Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,review,torpor
Caprimulgus tristigma,Caprimulgus tristigma,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus vociferus,Caprimulgus vociferus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chordeiles acutipennis,Chordeiles acutipennis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chordeiles minor,Chordeiles minor,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Podargus strigoides,Podargus strigoides,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Drepanoptila holosericea,Drepanoptila holosericea,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Scardafella inca,Scardafella inca,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Artamus cyanopterus,Artamus cyanopterus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Delichon urbicum,Delichon urbicum,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nectarinia famosa,Nectarinia famosa,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Manacus vitellinus,Manacus vitellinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tachyglossus aculeatus,Tachyglossus aculeatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Acomys russatus,Acomys russatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aethomys namaquenesis,Aethomys namaquenesis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Allactaga euphratica,Allactaga euphratica,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Allactaga williamsi,Allactaga williamsi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Apodemus peninsulae,Apodemus peninsulae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Baiomys taylori,Baiomys taylori,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calomys musculinus,Calomys musculinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calomys venustus,Calomys venustus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cricetus cricetus,Cricetus cricetus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys leucurus,Cynomys leucurus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys ludovicianus,Cynomys ludovicianus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys parvidens,Cynomys parvidens,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eliomys quercinus,Eliomys quercinus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Fukomys damarensis,Fukomys damarensis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Gerbillus pusillus,Gerbillus pusillus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Glirulus japonicus,Glirulus japonicus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Glis glis,Glis glis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Graphiurus murinus,Graphiurus murinus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Graphiurus ocularis,Graphiurus ocularis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Jaculus orientalis,Jaculus orientalis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota broweri,Marmota broweri,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota flaviventris,Marmota flaviventris,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota marmota,Marmota marmota,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota monax,Marmota monax,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mesocricetus auratus,Mesocricetus auratus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mesocricetus brandti,Mesocricetus brandti,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microdipodops pallidus,Microdipodops pallidus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mus musculus,Mus musculus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Muscardinus avellanarius,Muscardinus avellanarius,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus californicus,Perognathus californicus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus fasciatus,Perognathus fasciatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus longimembris,Perognathus longimembris,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus parvus,Perognathus parvus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus boylii,Peromyscus boylii,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus crinitus,Peromyscus crinitus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus eremicus,Peromyscus eremicus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus gossypinus,Peromyscus gossypinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus leucopus,Peromyscus leucopus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus maniculatus,Peromyscus maniculatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Petromyscus collinus,Petromyscus collinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phodopus sungorus,Phodopus sungorus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phyllotis darwini,Phyllotis darwini,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Reithrodontomys megalotis,Reithrodontomys megalotis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Saccostomus campestris,Saccostomus campestris,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus armatus,Spermophilus armatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus beecheyi,Spermophilus beecheyi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus beldingi,Spermophilus beldingi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus citellus,Spermophilus citellus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus columbianus,Spermophilus columbianus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus dauricus,Spermophilus dauricus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus elegans,Spermophilus elegans,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus lateralis,Spermophilus lateralis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus mexicanus,Spermophilus mexicanus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus parryii,Spermophilus parryii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus richardsonii,Spermophilus richardsonii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus saturatus,Spermophilus saturatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus tereticaudus,Spermophilus tereticaudus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus variegatus,Spermophilus variegatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Steatomys pratensis,Steatomys pratensis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tamias amoenus,Tamias amoenus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tamias striatus,Tamias striatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Zapus hudsonius,Zapus hudsonius,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Zapus princeps,Zapus princeps,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cheirogaleus crossleyi,Cheirogaleus crossleyi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cheirogaleus medius,Cheirogaleus medius,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Galago moholi,Galago moholi,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microcebus griseorufus,Microcebus griseorufus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microcebus murinus,Microcebus murinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microcebus myoxinus,Microcebus myoxinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microcebus ravelobensis,Microcebus ravelobensis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Meles meles,Meles meles,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mephitis mephitis,Mephitis mephitis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Proteles cristata,Proteles cristata,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Taxidea taxus,Taxidea taxus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Ursus americanus,Ursus americanus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Ursus arctos,Ursus arctos,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Barbastella barbastellus,Barbastella barbastellus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Carollia perspicillata,Carollia perspicillata,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
