"age","species","sex"
"2.5 yrs","Chlorocebus sabaeus","M"
"1 yrs","Urocitellus parryii","M"
"unknown","Dasypus novemcinctus","F"
"unknown","Dasypus novemcinctus","M"
"3 years","Papio anubis","F"
"11 years","Papio anubis","F"
"10 years","Papio anubis","M"
"32 yrs","Sapajus apella","F"
"3 yrs","Sapajus apella","F"
"Adult","Felis catus","F"
"33 yrs","Pan troglodytes","F"
"29 yrs","Pan troglodytes","M"
"33 yrs","Pan troglodytes","M"
"45 yrs","Pan troglodytes","M"
"34 yrs","Pan troglodytes","F"
"46 yrs","Pan troglodytes","F"
"Adult","Canis latrans","M"
"Adult","Canis latrans","F"
"Adult (Rousettus aegyptiacus)","Rousettus aegyptiacus","M"
"Adult (Rousettus aegyptiacus)","Rousettus aegyptiacus","F"
"1.5 yrs (Rousettus aegyptiacus)","Rousettus aegyptiacus","F"
"1 yrs","Mustela putorius furo","M"
"1 yrs","Mustela putorius furo","F"
"3 yrs","Otolemur garnettii","M"
"2.5 yrs","Otolemur garnettii","M"
"46 yrs","Gorilla gorilla","F"
"42 yrs","Gorilla gorilla","M"
"50 yrs","Gorilla gorilla","F"
"unknown (Gorilla)","Gorilla gorilla","M"
"11 years","Microcebus murinus","M"
"11 years","Microcebus murinus","F"
"13 years","Microcebus murinus","F"
"12 yrs","Macaca mulatta","F"
"11 yrs","Macaca mulatta","F"
"10 yrs","Macaca mulatta","F"
"12 yrs","Macaca nemestrina","M"
"3 yrs","Macaca nemestrina","F"
"17 yrs","Macaca nemestrina","M"
"6 yrs","Macaca nemestrina","F"
"7 yrs","Macaca nemestrina","M"
"Adult","Heterocephalus glaber","unknown"
"4.9 months","Monodelphis domestica","M"
"3.4 months","Monodelphis domestica","M"
"5.3 months","Monodelphis domestica","F"
"16yrs","Aotus nancymaae","M"
"12yrs","Aotus nancymaae","F"
"13yrs","Aotus nancymaae","F"
"9 months","Sus scrofa","M"
"10 months","Sus scrofa","M"
"1 year","Sus scrofa","M"
"Adult","Oryctolagus cuniculus","F"
"Adult","Oryctolagus cuniculus","M"
"80 days","Rattus norvegicus","M"
"Adult","Rattus norvegicus","F"
"7 years","Saimiri sciureus","unknown"
"1 year","Saimiri sciureus","unknown"
"Adult (Tupaia belangeri)","Tupaia belangeri","M"
"1.5 years","Tupaia belangeri","F"
"1 year","Tupaia belangeri","M"
"6 months","Tupaia belangeri","M"
"1 year","Tupaia belangeri","F"
"P56","Mus musculus",NA
