"x"
"Chlorocebus sabaeus"
"Urocitellus parryii"
"Dasypus novemcinctus"
"Papio anubis"
"Sapajus apella"
"Felis catus"
"Pan troglodytes"
"Canis latrans"
"Rousettus aegyptiacus"
"Mustela putorius furo"
"Otolemur garnettii"
"Gorilla gorilla"
"Microcebus murinus"
"Macaca mulatta"
"Macaca nemestrina"
"Heterocephalus glaber"
"Monodelphis domestica"
"Aotus nancymaae"
"Sus scrofa"
"Oryctolagus cuniculus"
"Rattus norvegicus"
"Saimiri sciureus"
"Tupaia belangeri"
"Mus musculus"
