population,specimen_id,structure_var,structure_label,volume_mm3,brain_weight_g,total_brain_volume_mm3,note
feral (Galapagos),A26,schizocortex_mm3,Schizocortex,1081,106.2,102510,
feral (Galapagos),A26,limbic_structures_mm3,limbic structures,5484,106.2,102510,
feral (Galapagos),A22,medulla_oblongata_mm3,Medulla oblongata,7240,110.5,106660,
feral (Galapagos),A22,cerebellum_mm3,Cerebellum,11153,110.5,106660,
feral (Galapagos),A22,mesencephalon_mm3,Mesencephalon,4615,110.5,106660,
feral (Galapagos),A22,diencephalon_mm3,Diencephalon,7607,110.5,106660,
feral (Galapagos),A22,telencephalon_mm3,Telencephalon,71931,110.5,106660,
feral (Galapagos),A22,neocortex_mm3,Neocortex,53229,110.5,106660,
feral (Galapagos),A22,corpus_striatum_mm3,Corpus striatum,3779,110.5,106660,
feral (Galapagos),A22,allocortex_mm3,Allocortex,14923,110.5,106660,
feral (Galapagos),A22,bulbus_olfactorius_mm3,Bulbus olfactorius,1650,110.5,106660,
feral (Galapagos),A22,regio_retrobulbaris_mm3,Regio retrobulbaris,447,110.5,106660,
feral (Galapagos),A22,regio_praepiriformis_mm3,Regio praepiriformis,3305,110.5,106660,
feral (Galapagos),A22,amygdaloid_complex_mm3,Amygdaloid complex,1248,110.5,106660,
feral (Galapagos),A22,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,478,110.5,106660,
feral (Galapagos),A22,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,769,110.5,106660,
feral (Galapagos),A22,tuberculum_olfactorium_mm3,Tuberculum olfactorium,836,110.5,106660,
feral (Galapagos),A22,nuclei_basalis_mm3,Nuclei basalis,939,110.5,106660,
feral (Galapagos),A22,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,6775,110.5,106660,
feral (Galapagos),A22,septum_mm3,Septum,787,110.5,106660,
feral (Galapagos),A22,hippocampus_mm3,Hippocampus,4508,110.5,106660,
feral (Galapagos),A22,schizocortex_mm3,Schizocortex,1203,110.5,106660,
feral (Galapagos),A22,limbic_structures_mm3,limbic structures,6498,110.5,106660,
domestic,Sd5,medulla_oblongata_mm3,Medulla oblongata,5207,92.0,88803,
domestic,Sd5,cerebellum_mm3,Cerebellum,11477,92.0,88803,
domestic,Sd5,mesencephalon_mm3,Mesencephalon,3627,92.0,88803,
domestic,Sd5,diencephalon_mm3,Diencephalon,6319,92.0,88803,
domestic,Sd5,telencephalon_mm3,Telencephalon,58703,92.0,88803,
domestic,Sd5,neocortex_mm3,Neocortex,44826,92.0,88803,
domestic,Sd5,corpus_striatum_mm3,Corpus striatum,3386,92.0,88803,
domestic,Sd5,allocortex_mm3,Allocortex,10490,92.0,88803,
domestic,Sd5,bulbus_olfactorius_mm3,Bulbus olfactorius,835,92.0,88803,damaged olfactory bulb (footnote a)
domestic,Sd5,regio_retrobulbaris_mm3,Regio retrobulbaris,342,92.0,88803,
domestic,Sd5,regio_praepiriformis_mm3,Regio praepiriformis,2420,92.0,88803,
domestic,Sd5,amygdaloid_complex_mm3,Amygdaloid complex,1056,92.0,88803,
domestic,Sd5,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,395,92.0,88803,
domestic,Sd5,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,661,92.0,88803,
domestic,Sd5,tuberculum_olfactorium_mm3,Tuberculum olfactorium,775,92.0,88803,
domestic,Sd5,nuclei_basalis_mm3,Nuclei basalis,589,92.0,88803,
domestic,Sd5,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,5182,92.0,88803,
domestic,Sd5,septum_mm3,Septum,628,92.0,88803,
domestic,Sd5,hippocampus_mm3,Hippocampus,2943,92.0,88803,
domestic,Sd5,schizocortex_mm3,Schizocortex,900,92.0,88803,
domestic,Sd5,limbic_structures_mm3,limbic structures,4473,92.0,88803,
domestic,Sd9,medulla_oblongata_mm3,Medulla oblongata,6431,105.0,101351,
domestic,Sd9,cerebellum_mm3,Cerebellum,13953,105.0,101351,
domestic,Sd9,mesencephalon_mm3,Mesencephalon,4137,105.0,101351,
domestic,Sd9,diencephalon_mm3,Diencephalon,6628,105.0,101351,
domestic,Sd9,telencephalon_mm3,Telencephalon,66335,105.0,101351,
domestic,Sd9,neocortex_mm3,Neocortex,50018,105.0,101351,
domestic,Sd9,corpus_striatum_mm3,Corpus striatum,3975,105.0,101351,
domestic,Sd9,allocortex_mm3,Allocortex,12342,105.0,101351,
domestic,Sd9,bulbus_olfactorius_mm3,Bulbus olfactorius,1263,105.0,101351,
domestic,Sd9,regio_retrobulbaris_mm3,Regio retrobulbaris,423,105.0,101351,
domestic,Sd9,regio_praepiriformis_mm3,Regio praepiriformis,2799,105.0,101351,
domestic,Sd9,amygdaloid_complex_mm3,Amygdaloid complex,1101,105.0,101351,
domestic,Sd9,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,451,105.0,101351,
domestic,Sd9,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,650,105.0,101351,
domestic,Sd9,tuberculum_olfactorium_mm3,Tuberculum olfactorium,863,105.0,101351,
domestic,Sd9,nuclei_basalis_mm3,Nuclei basalis,655,105.0,101351,
domestic,Sd9,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,5840,105.0,101351,
domestic,Sd9,septum_mm3,Septum,753,105.0,101351,
domestic,Sd9,hippocampus_mm3,Hippocampus,3366,105.0,101351,
domestic,Sd9,schizocortex_mm3,Schizocortex,1118,105.0,101351,
domestic,Sd9,limbic_structures_mm3,limbic structures,5237,105.0,101351,
domestic,Sd31,medulla_oblongata_mm3,Medulla oblongata,6656,110.0,106178,
domestic,Sd31,cerebellum_mm3,Cerebellum,12299,110.0,106178,
domestic,Sd31,mesencephalon_mm3,Mesencephalon,4390,110.0,106178,
