"Table 2. Data on volume sizes of the fundamental brain sections, the allocortical subdivisions, the total brains (in mm3) and brain weights (in g) of the feral pigs from the Galapagos Islands"

Structure,A23,A21,A26,A22
Medulla oblongata,6395,6678,6717,7240
Cerebellum,11532,10419,11408,11153
Mesencephalon,4010,4193,4473,4615
Diencephalon,6939,6528,7104,7607
Telencephalon,62946,63989,69174,71931
Neocortex,47192,48477,52320,53229
Corpus striatum,3335,3423,3671,3779
Allocortex,12419,12089,13184,14923
Bulbus olfactorius,887,1147,1542,1650
Regio retrobulbaris,406,356,432,447
Regio praepiriformis,2933,2766,3054,3305
Amygdaloid complex,1061,1113,1192,1248
Amygdaloid complex a) centromedial group,414,410,440,478
Amygdaloid complex b) basolateral group,647,703,752,769
Tuberculum olfactorium,721,686,707,836
Nuclei basalis,753,829,773,939
Palaeocortex + Amygdaloid complex,5874,5750,6158,6775
Septum,674,695,728,787
Hippocampus,3852,3456,3675,4508
Schizocortex,1131,1042,1081,1203
limbic structures,5657,5193,5484,6498
brain weight (g),98.5,99.6,106.2,110.5
brain volume (mm3),95077,96139,102510,106660

a Damaged olfactory bulb.
