"Species_Name_Source","Preferred_Name","Taxonomic_ID","different","exact","Reference_Note","Species_Name"
"Amblysomus hottentotus","Amblysomus hottentotus","9391","","TRUE","NCBI exact","Amblysomus hottentotus"
"Antidorcas marsupialis","Antidorcas marsupialis","59523","","TRUE","NCBI exact","Antidorcas marsupialis"
"Aotus trivirgatus","Aotus trivirgatus","9505","","TRUE","NCBI exact","Aotus trivirgatus"
"Bathyergus suillus","Bathyergus suillus","10172","","TRUE","NCBI exact","Bathyergus suillus"
"Blarina brevicauda","Blarina brevicauda","9387","","TRUE","NCBI exact","Blarina brevicauda"
"Callimico goeldii","Callimico goeldii","9495","","TRUE","NCBI exact","Callimico goeldii"
"Callithrix jacchus","Callithrix jacchus","9483","","TRUE","NCBI exact","Callithrix jacchus"
"Canis familiaris","Canis lupus familiaris","9615","TRUE","","NCBI","Canis lupus familiaris"
"Cardioderma cor","Cardioderma cor","270764","","TRUE","NCBI exact","Cardioderma cor"
"Casinycteris argynnis","Casinycteris argynnis","1091509","","TRUE","NCBI exact","Casinycteris argynnis"
"Cavia porcellus","Cavia porcellus","10141","","TRUE","NCBI exact","Cavia porcellus"
"Cebus apella","Sapajus apella","9515","TRUE","","NCBI","Sapajus apella"
"Chaerephon pumilus","Mops pumilus","242384","TRUE","","NCBI","Mops pumilus"
"Coleura afra","Coleura afra","907075","","TRUE","NCBI exact","Coleura afra"
"Condylura cristata","Condylura cristata","143302","","TRUE","NCBI exact","Condylura cristata"
"Cryptomys hottentotus","Cryptomys hottentotus","10175","","TRUE","NCBI exact","Cryptomys hottentotus"
"Cryptomys natalensis","Cryptomys hottentotus natalensis","63621","TRUE","","NCBI","Cryptomys hottentotus natalensis"
"Cryptomys pretoriae","Cryptomys hottentotus pretoriae","63619","TRUE",NA,"ITIS invalid synonym","Cryptomys hottentotus pretoriae"
"Cynomys sp.",NA,NA,"TRUE",NA,"Genus, species unknown","Cynomys sp."
"Damaliscus dorcas phillipsi","Damaliscus pygargus phillipsi","37172","TRUE","","NCBI","Damaliscus pygargus phillipsi"
"Dasyprocta prymnolopha",NA,NA,"TRUE",NA,"ITIS valid, missing from NCBI","Dasyprocta prymnolopha"
"Dendrohyrax dorsalis","Dendrohyrax dorsalis","42325","","TRUE","NCBI exact","Dendrohyrax dorsalis"
"Dendrolagus goodfellowi","Dendrolagus goodfellowi","69260","","TRUE","NCBI exact","Dendrolagus goodfellowi"
"Didelphis aurita","Didelphis aurita","85694","","TRUE","NCBI exact","Didelphis aurita"
"Elephantulus myurus","Elephantulus myurus","113277","","TRUE","NCBI exact","Elephantulus myurus"
"Epomophorus wahlbergi","Epomophorus wahlbergi","58067","","TRUE","NCBI exact","Epomophorus wahlbergi"
"Epomops franqueti","Epomops franqueti","77231","","TRUE","NCBI exact","Epomops franqueti"
"Felis catus","Felis catus","9685","","TRUE","NCBI exact","Felis catus"
"Fukomys anselli","Fukomys anselli","261002","","TRUE","NCBI exact","Fukomys anselli"
"Fukomys damarensis","Fukomys damarensis","885580","","TRUE","NCBI exact","Fukomys damarensis"
"Fukomys darlingi","Fukomys darlingi","63616","","TRUE","NCBI exact","Fukomys darlingi"
"Fukomys mechowii","Fukomys mechowii","423607","","TRUE","NCBI exact","Fukomys mechowii"
"Georychus capensis","Georychus capensis","10177","","TRUE","NCBI exact","Georychus capensis"
"Giraffa camelopardalis","Giraffa camelopardalis","9894","","TRUE","NCBI exact","Giraffa camelopardalis"
"Gorilla gorilla","Gorilla gorilla","9593","","TRUE","NCBI exact","Gorilla gorilla"
"Heliophobius argenteocinereus","Heliophobius argenteocinereus","10179","","TRUE","NCBI exact","Heliophobius argenteocinereus"
"Heterocephalus glaber","Heterocephalus glaber","10181","","TRUE","NCBI exact","Heterocephalus glaber"
"Hipposideros commersoni","Macronycteris commersoni","110941","TRUE","","NCBI","Macronycteris commersoni"
"Homo sapiens","Homo sapiens","9606","","TRUE","NCBI exact","Homo sapiens"
"Homo sapiens sapiens","Homo sapiens","9606","TRUE",NA,"GBIF for subspecies","Homo sapiens"
"Hyaena hyaena","Hyaena hyaena","95912","","TRUE","NCBI exact","Hyaena hyaena"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","10149","","TRUE","NCBI exact","Hydrochoerus hydrochaeris"
"Hypsignathus monstrosus","Hypsignathus monstrosus","448084","","TRUE","NCBI exact","Hypsignathus monstrosus"
"Loxodonta africana","Loxodonta africana","9785","","TRUE","NCBI exact","Loxodonta africana"
"Macaca fascicularis","Macaca fascicularis","9541","","TRUE","NCBI exact","Macaca fascicularis"
"Macaca mulatta","Macaca mulatta","9544","","TRUE","NCBI exact","Macaca mulatta"
"Macaca nemestrina","Macaca nemestrina","9545","","TRUE","NCBI exact","Macaca nemestrina"
"Macaca radiata","Macaca radiata","9548","","TRUE","NCBI exact","Macaca radiata"
"Macropus fuliginosus","Macropus fuliginosus","9316","","TRUE","NCBI exact","Macropus fuliginosus"
"Macropus parma","Notamacropus parma","413582","TRUE","","NCBI","Notamacropus parma"
"Macropus rufogriseus","Notamacropus rufogriseus","1960652","TRUE","","NCBI","Notamacropus rufogriseus"
"Macropus rufus","Osphranter rufus","9321","TRUE","","NCBI","Osphranter rufus"
"Marmosops incanus","Marmosops incanus","225404","","TRUE","NCBI exact","Marmosops incanus"
"Megaloglossus woermanni","Megaloglossus woermanni","58073","","TRUE","NCBI exact","Megaloglossus woermanni"
"Mesocricetus auratus","Mesocricetus auratus","10036","","TRUE","NCBI exact","Mesocricetus auratus"
"Metachirus nudicaudatus","Metachirus nudicaudatus","42725","","TRUE","NCBI exact","Metachirus nudicaudatus"
"Microcebus murinus","Microcebus murinus","30608","","TRUE","NCBI exact","Microcebus murinus"
"Miniopterus schreibersii","Miniopterus schreibersii","9433","","TRUE","NCBI exact","Miniopterus schreibersii"
"Mungos mungo","Mungos mungo","210652","","TRUE","NCBI exact","Mungos mungo"
"Mus musculus","Mus musculus","10090","","TRUE","NCBI exact","Mus musculus"
"Mustela putorius furo","Mustela putorius furo","9669","","TRUE","NCBI exact","Mustela putorius furo"
"Oryctolagus cuniculus","Oryctolagus cuniculus","9986","","TRUE","NCBI exact","Oryctolagus cuniculus"
"Otolemur garnettii","Otolemur garnettii","30611","","TRUE","NCBI exact","Otolemur garnettii"
"Panthera leo","Panthera leo","9689","","TRUE","NCBI exact","Panthera leo"
"Papio anubis cynocephalus","Papio cynocephalus","9556","TRUE",NA,"referenced papers call these Papio cynocephalus (Gabi 2010), Papio sp (HH 2008)","Papio cynocephalus"
"Parascalops breweri","Parascalops breweri","94437","","TRUE","NCBI exact","Parascalops breweri"
"Petrodromus tetradactylus","Petrodromus tetradactylus","113272","","TRUE","NCBI exact","Petrodromus tetradactylus"
"Pongo pygmaeus","Pongo pygmaeus","9600","","TRUE","NCBI exact","Pongo pygmaeus"
"Procavia capensis","Procavia capensis","9813","","TRUE","NCBI exact","Procavia capensis"
"Procyon lotor","Procyon lotor","9654","","TRUE","NCBI exact","Procyon lotor"
"Proechimys cayennensis","Proechimys guyannensis","128105","TRUE","","NCBI","Proechimys guyannensis"
"Rattus norvegicus","Rattus norvegicus","10116","","TRUE","NCBI exact","Rattus norvegicus"
"Rousettus aegyptiacus","Rousettus aegyptiacus","9407","","TRUE","NCBI exact","Rousettus aegyptiacus"
"Saguinus midas","Saguinus midas","30586","","TRUE","NCBI exact","Saguinus midas"
"Saimiri sciureus","Saimiri sciureus","9521","","TRUE","NCBI exact","Saimiri sciureus"
"Sarcophilus harrisii","Sarcophilus harrisii","9305","","TRUE","NCBI exact","Sarcophilus harrisii"
"Scalopus aquaticus","Scalopus aquaticus","71119","","TRUE","NCBI exact","Scalopus aquaticus"
"Sciurus carolinensis","Sciurus carolinensis","30640","","TRUE","NCBI exact","Sciurus carolinensis"
"Scotonycteris zenkeri","Scotonycteris zenkeri","1001563","","TRUE","NCBI exact","Scotonycteris zenkeri"
"Sorex fumeus","Sorex fumeus","62283","","TRUE","NCBI exact","Sorex fumeus"
"Sus scrofa domesticus","Sus scrofa domesticus","9825","","TRUE","NCBI exact","Sus scrofa domesticus"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","9946","","TRUE","NCBI exact","Tragelaphus strepsiceros"
"Triaenops persicus","Triaenops persicus","329870","","TRUE","NCBI exact","Triaenops persicus"
"Tupaia glis","Tupaia glis","9395","","TRUE","NCBI exact","Tupaia glis"
"Ursus arctos","Ursus arctos","9644","","TRUE","NCBI exact","Ursus arctos"
"Wallabia bicolor","Wallabia bicolor","9330","","TRUE","NCBI exact","Wallabia bicolor"
