Species,Amygdala_p.C.Brain,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Body_Mass.g,Body_Mass.g_SD,Body_Mass.kg,Cerebellum_I.p.mg,Cerebellum_Mass.g,Cerebellum_Mass.g_SD,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_p.C.Brain,Cerebellum_S.n,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,CerebralCortex_I.p.mg,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_S.n,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,CerebralCortexNoHippocampus_I.p.mg,CerebralCortexNoHippocampus_S.n,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,EntorhinalCortex_p.C.Brain,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_I.p.mg,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,Hippocampus_p.C.Brain,Hippocampus_S.n,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_p.C.Brain,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_p.C.Brain,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_p.C.Brain,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Mass.g,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_n,OlfactoryBulb_N.n,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg,OlfactoryBulb_O.p.mg_SD,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.N_SD,OlfactoryBulb_p.C.Brain,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_p.C.Brain,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,PonsMedulla_I.p.mg,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,PonsMedulla_S.n,RoB_I.p.mg,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.mg,RoB_O.p.mg_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_S.n,Septum_p.C.Brain,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_p.C.Brain,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_p.C.Brain,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_p.C.Brain,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_p.C.Brain,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrain_I.p.mg,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_n,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,WholeBrain_O.p.N,WholeBrain_p.C.N,WholeBrain_p.C.N_SD,WholeBrain_S.n,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD
Cavia porcellus,NA,NA,NA,311,49.1,NA,NA,0.5,0.077,167854925,2175973,339755,48069,36290075,4506186,72824,2216,0.216,0.024,NA,NA,NA,NA,NA,1.938,0.231,43510525,3169924,22508,1050,108614475,12775334,56036,93,2.492,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103,0.013,2,6065700,1295335,58560,5340,10154300,4220098,96793,29011,1.637,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.218,0.178,22191825,9431638,18990,10522,83183175,8139966,69528,16855,4.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.656,0.486,2,233557275,4085741,228087725,9141554,NA,50.6,1.4,NA,NA,NA,NA,NA
Coleura afra,NA,NA,NA,11.5,NA,NA,NA,NA,NA,47984992,NA,888050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5080428,NA,56460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5514794,NA,55816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,NA,2 (1H each),58580214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condylura cristata,NA,NA,NA,41.1,4.7,NA,NA,0.138,0.012,105920000,22100000,776460,181530,19480000,6420000,139912,39720,0.184,NA,NA,NA,NA,NA,NA,0.42,0.024,17250000,3105000,40777,5145,32010000,8822000,76995,25019,1.966,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.005,4,10550000,4290000,254720,74620,7470000,970000,185124,19370,0.708,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,0.026,8160000,2180000,33475,8560,31550000,5950000,128990,17820,3.866,1.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802,0.046,4,131330000,21229000,83040000,19046000,NA,61.3,6.3,NA,NA,NA,NA,NA
Cryptomys hottentotus,0.0171,14,3,68.58,12.36,NA,NA,NA,NA,68810000,9020000,NA,NA,NA,NA,NA,NA,NA,NA,0.1506,NA,121,19,NA,NA,NA,11730000,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0311,25,3,NA,NA,NA,NA,NA,NA,0.0733,NA,59,8,0.0312,25,6,0.0987,79,2,NA,NA,NA,NA,NA,NA,NA,NA,3170000,360000,0.2291,183,30,NA,NA,NA,7990000,460000,NA,NA,NA,NA,NA,NA,NA,NA,0.0462,37,4,0.0622,50,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,11,1,0.0742,59,7,4550000,690000,0.0217,17,2,0.0425,34,4,0.0483,39,3,NA,NA,NA,NA,88250000,9190000,NA,NA,NA,NA,NA,NA,0.85,0.06,96240000,9650000
Cryptomys hottentotus natalensis,0.0167,20,4,99.02,33.43,NA,NA,NA,NA,109750000,8750000,NA,NA,NA,NA,NA,NA,NA,NA,0.1487,NA,175,19,NA,NA,NA,17460000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0363,43,6,NA,NA,NA,NA,NA,NA,0.0679,NA,80,13,0.0266,31,3,0.0828,97,18,NA,NA,NA,NA,NA,NA,NA,NA,4110000,140000,0.274,321,26,NA,NA,NA,11850000,290000,NA,NA,NA,NA,NA,NA,NA,NA,0.047,55,12,0.0655,76,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117,14,3,0.0713,84,11,6820000,810000,0.0201,24,6,0.0355,42,6,0.0461,54,6,NA,NA,NA,NA,138130000,8210000,NA,NA,NA,NA,NA,NA,1.24,0.11,149980000,8500000
Cryptomys hottentotus pretoriae,0.0161,20,5,104.27,21.31,NA,NA,NA,NA,120580000,16690000,NA,NA,NA,NA,NA,NA,NA,NA,0.148,NA,188,14,NA,NA,NA,20560000,900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,46,4,NA,NA,NA,NA,NA,NA,0.0746,NA,95,14,0.026,33,3,0.0941,119,15,NA,NA,NA,NA,NA,NA,NA,NA,6030000,350000,0.2488,315,39,NA,NA,NA,12070000,1410000,NA,NA,NA,NA,NA,NA,NA,NA,0.0446,57,9,0.0602,76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116,15,2,0.0669,85,9,9920000,620000,0.0201,25,4,0.0373,47,4,0.0453,57,8,NA,NA,NA,NA,157090000,14820000,NA,NA,NA,NA,NA,NA,1.35,0.11,169160000,16230000
Cynomys sp.,NA,NA,NA,1515,230.6,NA,NA,0.789,0.093,350084813,72177851,440658,39554,66155187,39268821,84802,54286,0.192,0.123,NA,NA,NA,NA,NA,2.586,0.109,53768353,6044322,20866,3113,183451647,17959104,71202,9677,3.432,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.945,0.146,34090600,589361,17590,1335,167742733,5025290,86542,6793,4.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.321,0.197,3,437943767,78742230,417349567,27350023,NA,51,4.2,NA,NA,NA,NA,NA
Damaliscus pygargus phillipsi,NA,NA,NA,60000,NA,NA,NA,13.402,NA,2401712670,NA,179206,NA,443918456,NA,33123,NA,0.184,NA,NA,NA,NA,NA,NA,111.31,NA,570673431,NA,5127,NA,6762256227,NA,60760,NA,11.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.006,NA,86428126,NA,2880,NA,2136071876,NA,71188,NA,24.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.718,NA,1,3058814227,NA,9343246559,NA,NA,24.7,NA,NA,NA,NA,NA,NA
Dasyprocta prymnolopha,NA,NA,NA,2843,196,NA,NA,2.742,NA,673488085,48145960,253208,39447,155986915,32978520,57945,7405,0.234,0.066,NA,NA,NA,NA,NA,8.913,1.214,110641950,2576768,13250,1633,416208050,950422,49939,7422,3.763,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737,0.162,3,58124085,4952795,88008,14973,72595915,19682805,107301,1958,1.239,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.972,0.514,43204320,NA,6830,NA,356835680,NA,56408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.628,1.9,3,795112070,NA,951677930,NA,NA,45.5,NA,NA,NA,NA,NA,NA
Dendrohyrax dorsalis,NA,NA,NA,1150,NA,NA,1235,1.918,NA,360929350,NA,188180,NA,77570650,NA,40444,NA,0.215,NA,NA,1,NA,NA,1832,7.56,NA,98960000,NA,13098,NA,183540000,NA,24291,NA,1.855,NA,3,NA,NA,NA,1805,2,NA,NA,NA,NA,NA,NA,NA,2089,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299,3.328,NA,44671471,NA,13423,NA,152466529,NA,45813,NA,3.413,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10129,12.8,NA,1,504572834,NA,413574000,NA,NA,NA,NA,7,NA,NA,NA,NA
Dendrolagus goodfellowi,NA,NA,NA,13608,NA,NA,2408,4.236,NA,1240000000,NA,292025,NA,NA,NA,NA,NA,0.249,NA,NA,1,NA,NA,4110,19.57,NA,273430000,NA,13972,NA,NA,NA,NA,NA,4.603,NA,46,188300000,16599,2.721,4064,45,NA,NA,NA,NA,NA,NA,NA,4798,1.29,18150000,14073,NA,4.552,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.066,29630000,5849,12.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.676,8230000,3075,15.077,NA,3835,7.742,NA,37860000,NA,4890,NA,NA,NA,NA,NA,12.685,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3818,31.548,NA,NA,1.55e+09,NA,NA,NA,1.322,NA,NA,49,NA,NA,NA,NA
Didelphis aurita,NA,NA,NA,1200,NA,NA,6893,0.778,NA,334260000,NA,429647,NA,NA,NA,NA,NA,0.122,NA,NA,1,NA,NA,5511,2.136,NA,42500000,NA,19897,NA,NA,NA,NA,NA,2.847,NA,31,31490000,21901,2.35,5679,30,0.36,5270000,14636,4.139,NA,NA,NA,4788,0.386,7230000,18731,NA,3.149,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,6240000,12482,5.729,0.86,11510000,13384,5.001,NA,NA,NA,NA,NA,0.342,NA,NA,31340000,NA,91646,NA,NA,NA,NA,NA,1.273,NA,NA,NA,NA,NA,NA,NA,NA,0.518,4220000,8152,8.251,NA,6043,1.378,NA,15730000,NA,11417,NA,NA,NA,NA,NA,5.873,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5961,4.292,NA,NA,392500000,NA,NA,NA,0.648,NA,NA,35,NA,NA,NA,NA
Elephantulus myurus,NA,NA,NA,45.1,NA,NA,4896,0.168,NA,89312372,2852000,531494,10651,23368628,1279000,139028,5956,0.261,0.005,NA,2,NA,NA,2338,0.471,0.021,25865000,4020000,54644,6098,26229000,1104000,55693,138,1.032,0.119,3,NA,NA,NA,1631,2,NA,NA,NA,NA,NA,NA,NA,4116,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.01,2,9693534,1745000,194678,5708,4919466,NA,97872,NA,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3295,0.401,0.063,14012533,3258000,34520,2702,28997467,7906000,70967,8566,2.048,0.088,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2818,1.04,0.082,2,129190603,4424000,78594397,7733000,NA,NA,NA,7,NA,NA,NA,NA
Epomophorus wahlbergi,NA,NA,NA,74,NA,NA,NA,NA,NA,121136246,NA,626067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26201540,NA,41326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14416846,NA,37309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.224,NA,2 females (1H each),161754633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epomops franqueti,NA,NA,NA,120,NA,NA,NA,NA,NA,150660138,NA,525829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22533501,NA,21663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12808860,NA,17986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.044,NA,2 (1H each),186002499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,NA,NA,NA,NA,NA,4.5,4271,5.11,NA,942900000,NA,184521,NA,326100000,NA,NA,NA,0.346,NA,NA,1,NA,NA,3048,24.176,NA,249830000,NA,10334,NA,1097100000,NA,NA,NA,4.391,NA,44,NA,NA,NA,3078,43,NA,NA,NA,NA,NA,NA,NA,2228,0.876,8050000,9187,55950000,6.952,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1831,5.572,NA,22470000,NA,4033,NA,305590000,NA,NA,NA,13.598,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3032,34.858,NA,NA,1215210000,NA,1728790000,NA,1.423,NA,NA,48,NA,NA,NA,NA
Fukomys anselli,0.0216,26,5,93.45,20.47,NA,NA,NA,NA,75440000,8900000,NA,NA,NA,NA,NA,NA,NA,NA,0.1672,NA,200,52,NA,NA,NA,9730000,2230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0317,38,4,NA,NA,NA,NA,NA,NA,0.0682,NA,82,23,0.0296,35,5,0.1104,132,32,NA,NA,NA,NA,NA,NA,NA,NA,3900000,1160000,0.2436,291,40,NA,NA,NA,8880000,640000,NA,NA,NA,NA,NA,NA,NA,NA,0.0463,55,15,0.0597,71,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124,15,3,0.07,84,11,4860000,900000,0.0266,32,6,0.05,60,19,0.0511,61,3,NA,NA,NA,NA,93940000,11640000,NA,NA,NA,NA,NA,NA,1.25,0.13,102820000,12280000
Fukomys damarensis,0.0169,22,2,110.53,30.29,NA,NA,NA,NA,129960000,18150000,NA,NA,NA,NA,NA,NA,NA,NA,0.153,NA,201,46,NA,NA,NA,21270000,590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338,44,6,NA,NA,NA,NA,NA,NA,0.0724,NA,95,12,0.0295,39,7,0.0841,110,9,NA,NA,NA,NA,NA,NA,NA,NA,4940000,1100000,0.2371,311,60,NA,NA,NA,12550000,1820000,NA,NA,NA,NA,NA,NA,NA,NA,0.0448,59,8,0.0673,88,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112,15,1,0.0779,102,17,9580000,1690000,0.0203,27,4,0.0427,56,14,0.0488,64,7,NA,NA,NA,NA,165750000,17260000,NA,NA,NA,NA,NA,NA,1.39,0.14,178300000,19080000
Fukomys darlingi,0.0141,16,2,115.19,44.83,NA,NA,NA,NA,84910000,3950000,NA,NA,NA,NA,NA,NA,NA,NA,0.1346,NA,156,27,NA,NA,NA,12490000,530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355,41,10,NA,NA,NA,NA,NA,NA,0.0657,NA,76,4,0.0253,29,1,0.0871,101,6,NA,NA,NA,NA,NA,NA,NA,NA,3140000,150000,0.2346,271,19,NA,NA,NA,7600000,1250000,NA,NA,NA,NA,NA,NA,NA,NA,0.0376,43,10,0.0667,77,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141,16,3,0.0856,99,16,5190000,810000,0.0213,25,1,0.0394,45,5,0.0437,51,7,NA,NA,NA,NA,105750000,2540000,NA,NA,NA,NA,NA,NA,1.23,0.12,113350000,3790000
Fukomys mechowii,0.0169,35,10,270.16,52.85,NA,NA,NA,NA,122640000,14340000,NA,NA,NA,NA,NA,NA,NA,NA,0.1895,NA,391,58,NA,NA,NA,23320000,940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0342,71,13,NA,NA,NA,NA,NA,NA,0.0663,NA,137,11,0.0292,60,7,0.1172,242,87,NA,NA,NA,NA,NA,NA,NA,NA,4750000,980000,0.3033,627,8,NA,NA,NA,14110000,2130000,NA,NA,NA,NA,NA,NA,NA,NA,0.0369,76,6,0.0642,133,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117,24,1,0.0958,198,2,9420000,880000,0.0197,41,1,0.0398,82,13,0.0562,116,13,NA,NA,NA,NA,160130000,12470000,NA,NA,NA,NA,NA,NA,2.15,0.24,174240000,14600000
Georychus capensis,0.0183,28,3,155.09,39.08,NA,NA,NA,NA,116740000,10310000,NA,NA,NA,NA,NA,NA,NA,NA,0.1603,NA,250,14,NA,NA,NA,25600000,2090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344,53,8,NA,NA,NA,NA,NA,NA,0.0732,NA,114,19,0.032,50,6,0.0973,151,21,NA,NA,NA,NA,NA,NA,NA,NA,5810000,340000,0.2581,401,46,NA,NA,NA,12460000,1420000,NA,NA,NA,NA,NA,NA,NA,NA,0.0479,74,8,0.0623,97,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136,21,2,0.0794,123,22,9060000,1130000,0.022,34,2,0.0397,62,8,0.0558,87,16,NA,NA,NA,NA,157210000,10000000,NA,NA,NA,NA,NA,NA,1.65,0.18,169670000,11420000
Giraffa camelopardalis,NA,NA,NA,470000,NA,NA,4401,67.73,NA,8878076563,NA,131080,NA,5520360938,NA,81505,NA,0.622,NA,NA,1,NA,NA,6330,398.808,NA,1730513460,NA,4339,NA,27513706540,NA,68990,NA,15.9,NA,45,NA,NA,NA,6278,44,NA,NA,NA,NA,NA,NA,NA,9327,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.052,NA,1,24678000,NA,12026,NA,232384500,NA,113248,NA,9.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7005,70.68,NA,142697625,NA,2019,NA,4878864876,NA,69028,NA,34.19,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,537.218,NA,1,10751287650,NA,37912932350,NA,NA,23.5,NA,51,NA,NA,NA,NA
Gorilla gorilla,NA,NA,NA,NA,NA,NA,NA,37.56,NA,2.64e+10,NA,702875,NA,2.9e+09,NA,77210,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliophobius argenteocinereus,0.0219,34,4,180.51,35.45,NA,NA,NA,NA,94820000,1970000,NA,NA,NA,NA,NA,NA,NA,NA,0.1385,NA,215,37,NA,NA,NA,25440000,2230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0362,56,4,NA,NA,NA,NA,NA,NA,0.074,NA,115,8,0.0272,42,5,0.0776,120,22,NA,NA,NA,NA,NA,NA,NA,NA,5460000,840000,0.295,457,25,NA,NA,NA,10300000,2150000,NA,NA,NA,NA,NA,NA,NA,NA,0.0389,60,8,0.0689,107,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116,18,2,0.0823,127,11,11920000,1130000,0.0183,28,3,0.0363,56,3,0.0578,90,5,NA,NA,NA,NA,137640000,4650000,NA,NA,NA,NA,NA,NA,1.65,0.12,147940000,6800000
