"Original_Term","Reference"
"Species","Kverkova_etal_2018_TableS1"
"Body_Mass,g","Kverkova_etal_2018_TableS1"
"Body_Mass,g_SD","Kverkova_etal_2018_TableS1"
"Brain_Mass,g","Kverkova_etal_2018_TableS1"
"Brain_Mass,g_SD","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_Vol,mm3","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_FractionofBrain","Kverkova_etal_2018_TableS1"
"Olfactory cortices_Vol,mm3","Kverkova_etal_2018_TableS1"
"Olfactory cortices_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Olfactory cortices_FractionofBrain","Kverkova_etal_2018_TableS1"
"Neocortex_Vol,mm3","Kverkova_etal_2018_TableS1"
"Neocortex_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Neocortex_FractionofBrain","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_Vol,mm3","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_FractionofBrain","Kverkova_etal_2018_TableS1"
"Hippocampus_Vol,mm3","Kverkova_etal_2018_TableS1"
"Hippocampus_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Hippocampus_FractionofBrain","Kverkova_etal_2018_TableS1"
"Amygdala_Vol,mm3","Kverkova_etal_2018_TableS1"
"Amygdala_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Amygdala_FractionofBrain","Kverkova_etal_2018_TableS1"
"Striatum_Vol,mm3","Kverkova_etal_2018_TableS1"
"Striatum_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Striatum_FractionofBrain","Kverkova_etal_2018_TableS1"
"Septum_Vol,mm3","Kverkova_etal_2018_TableS1"
"Septum_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Septum_FractionofBrain","Kverkova_etal_2018_TableS1"
"Thalamus_Vol,mm3","Kverkova_etal_2018_TableS1"
"Thalamus_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Thalamus_FractionofBrain","Kverkova_etal_2018_TableS1"
"Hypothalamus_Vol,mm3","Kverkova_etal_2018_TableS1"
"Hypothalamus_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Hypothalamus_FractionofBrain","Kverkova_etal_2018_TableS1"
"Cerebellum_Vol,mm3","Kverkova_etal_2018_TableS1"
"Cerebellum_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Cerebellum_FractionofBrain","Kverkova_etal_2018_TableS1"
"Tectum_Vol,mm3","Kverkova_etal_2018_TableS1"
"Tectum_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Tectum_FractionofBrain","Kverkova_etal_2018_TableS1"
"Tegmentum_Vol,mm3","Kverkova_etal_2018_TableS1"
"Tegmentum_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Tegmentum_FractionofBrain","Kverkova_etal_2018_TableS1"
"Medulla oblongata_Vol,mm3","Kverkova_etal_2018_TableS1"
"Medulla oblongata_Vol,mm3_SD","Kverkova_etal_2018_TableS1"
"Medulla oblongata_FractionofBrain","Kverkova_etal_2018_TableS1"
