"Species_Name_Source","Preferred_Name","Taxonomic_ID","different","exact","match"
"Amblysomus hottentotus","Amblysomus hottentotus","9391","","TRUE","NCBI exact"
"Antidorcas marsupialis","Antidorcas marsupialis","59523","","TRUE","NCBI exact"
"Aotus trivirgatus","Aotus trivirgatus","9505","","TRUE","NCBI exact"
"Bathyergus suillus","Bathyergus suillus","10172","","TRUE","NCBI exact"
"Blarina brevicauda","Blarina brevicauda","9387","","TRUE","NCBI exact"
"Callimico goeldii","Callimico goeldii","9495","","TRUE","NCBI exact"
"Callithrix jacchus","Callithrix jacchus","9483","","TRUE","NCBI exact"
"Canis familiaris","Canis lupus familiaris","9615","TRUE","","NCBI"
"Cardioderma cor","Cardioderma cor","270764","","TRUE","NCBI exact"
"Casinycteris argynnis","Casinycteris argynnis","1091509","","TRUE","NCBI exact"
"Cavia porcellus","Cavia porcellus","10141","","TRUE","NCBI exact"
"Cebus apella","Sapajus apella","9515","TRUE","","NCBI"
"Chaerephon pumilus","Mops pumilus","242384","TRUE","","NCBI"
"Coleura afra","Coleura afra","907075","","TRUE","NCBI exact"
"Condylura cristata","Condylura cristata","143302","","TRUE","NCBI exact"
"Cryptomys hottentotus","Cryptomys hottentotus","10175","","TRUE","NCBI exact"
"Cryptomys natalensis","Cryptomys hottentotus natalensis","63621","TRUE","","NCBI"
"Cryptomys pretoriae",NA,NA,"TRUE",NA,NA
"Cynomys sp.",NA,NA,"TRUE",NA,NA
"Damaliscus dorcas phillipsi","Damaliscus pygargus phillipsi","37172","TRUE","","NCBI"
"Dasyprocta prymnolopha",NA,NA,"TRUE",NA,NA
"Dendrohyrax dorsalis","Dendrohyrax dorsalis","42325","","TRUE","NCBI exact"
"Dendrolagus goodfellowi","Dendrolagus goodfellowi","69260","","TRUE","NCBI exact"
"Didelphis aurita","Didelphis aurita","85694","","TRUE","NCBI exact"
"Elephantulus myurus","Elephantulus myurus","113277","","TRUE","NCBI exact"
"Epomophorus wahlbergi","Epomophorus wahlbergi","58067","","TRUE","NCBI exact"
"Epomops franqueti","Epomops franqueti","77231","","TRUE","NCBI exact"
"Felis catus","Felis catus","9685","","TRUE","NCBI exact"
"Fukomys anselli","Fukomys anselli","261002","","TRUE","NCBI exact"
"Fukomys damarensis","Fukomys damarensis","885580","","TRUE","NCBI exact"
"Fukomys darlingi","Fukomys darlingi","63616","","TRUE","NCBI exact"
"Fukomys mechowii","Fukomys mechowii","423607","","TRUE","NCBI exact"
"Georychus capensis","Georychus capensis","10177","","TRUE","NCBI exact"
"Giraffa camelopardalis","Giraffa camelopardalis","9894","","TRUE","NCBI exact"
"Gorilla gorilla","Gorilla gorilla","9593","","TRUE","NCBI exact"
"Heliophobius argenteocinereus","Heliophobius argenteocinereus","10179","","TRUE","NCBI exact"
"Heterocephalus glaber","Heterocephalus glaber","10181","","TRUE","NCBI exact"
"Hipposideros commersoni","Macronycteris commersoni","110941","TRUE","","NCBI"
"Homo sapiens","Homo sapiens","9606","","TRUE","NCBI exact"
"Homo sapiens sapiens",NA,NA,"TRUE",NA,NA
"Hyaena hyaena","Hyaena hyaena","95912","","TRUE","NCBI exact"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","10149","","TRUE","NCBI exact"
"Hypsignathus monstrosus","Hypsignathus monstrosus","448084","","TRUE","NCBI exact"
"Loxodonta africana","Loxodonta africana","9785","","TRUE","NCBI exact"
"Macaca fascicularis","Macaca fascicularis","9541","","TRUE","NCBI exact"
"Macaca mulatta","Macaca mulatta","9544","","TRUE","NCBI exact"
"Macaca nemestrina","Macaca nemestrina","9545","","TRUE","NCBI exact"
"Macaca radiata","Macaca radiata","9548","","TRUE","NCBI exact"
"Macropus fuliginosus","Macropus fuliginosus","9316","","TRUE","NCBI exact"
"Macropus parma","Notamacropus parma","413582","TRUE","","NCBI"
"Macropus rufogriseus","Notamacropus rufogriseus","1960652","TRUE","","NCBI"
"Macropus rufus","Osphranter rufus","9321","TRUE","","NCBI"
"Marmosops incanus","Marmosops incanus","225404","","TRUE","NCBI exact"
"Megaloglossus woermanni","Megaloglossus woermanni","58073","","TRUE","NCBI exact"
"Mesocricetus auratus","Mesocricetus auratus","10036","","TRUE","NCBI exact"
"Metachirus nudicaudatus","Metachirus nudicaudatus","42725","","TRUE","NCBI exact"
"Microcebus murinus","Microcebus murinus","30608","","TRUE","NCBI exact"
"Miniopterus schreibersii","Miniopterus schreibersii","9433","","TRUE","NCBI exact"
"Mungos mungo","Mungos mungo","210652","","TRUE","NCBI exact"
"Mus musculus","Mus musculus","10090","","TRUE","NCBI exact"
"Mustela putorius furo","Mustela putorius furo","9669","","TRUE","NCBI exact"
"Oryctolagus cuniculus","Oryctolagus cuniculus","9986","","TRUE","NCBI exact"
"Otolemur garnettii","Otolemur garnettii","30611","","TRUE","NCBI exact"
"Panthera leo","Panthera leo","9689","","TRUE","NCBI exact"
"Papio anubis cynocephalus",NA,NA,"TRUE",NA,NA
"Parascalops breweri","Parascalops breweri","94437","","TRUE","NCBI exact"
"Petrodromus tetradactylus","Petrodromus tetradactylus","113272","","TRUE","NCBI exact"
"Pongo pygmaeus","Pongo pygmaeus","9600","","TRUE","NCBI exact"
"Procavia capensis","Procavia capensis","9813","","TRUE","NCBI exact"
"Procyon lotor","Procyon lotor","9654","","TRUE","NCBI exact"
"Proechimys cayennensis","Proechimys guyannensis","128105","TRUE","","NCBI"
"Rattus norvegicus","Rattus norvegicus","10116","","TRUE","NCBI exact"
"Rousettus aegyptiacus","Rousettus aegyptiacus","9407","","TRUE","NCBI exact"
"Saguinus midas","Saguinus midas","30586","","TRUE","NCBI exact"
"Saimiri sciureus","Saimiri sciureus","9521","","TRUE","NCBI exact"
"Sarcophilus harrisii","Sarcophilus harrisii","9305","","TRUE","NCBI exact"
"Scalopus aquaticus","Scalopus aquaticus","71119","","TRUE","NCBI exact"
"Sciurus carolinensis","Sciurus carolinensis","30640","","TRUE","NCBI exact"
"Scotonycteris zenkeri","Scotonycteris zenkeri","1001563","","TRUE","NCBI exact"
"Sorex fumeus","Sorex fumeus","62283","","TRUE","NCBI exact"
"Sus scrofa domesticus","Sus scrofa domesticus","9825","","TRUE","NCBI exact"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","9946","","TRUE","NCBI exact"
"Triaenops persicus","Triaenops persicus","329870","","TRUE","NCBI exact"
"Tupaia glis","Tupaia glis","9395","","TRUE","NCBI exact"
"Ursus arctos","Ursus arctos","9644","","TRUE","NCBI exact"
"Wallabia bicolor","Wallabia bicolor","9330","","TRUE","NCBI exact"
