"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"P+M_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_n"
"P+M_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"PonsMedulla_Mass,g"
"Pons+Medulla Mass, g",NA,"PonsMedulla_Mass_g","MP+M",NA,"PonsMedulla_Mass,g"
"Pons+Medulla N, n",NA,"PonsMedulla_N_n","NP+M",NA,"PonsMedulla_N,n"
"Pons+Medulla N/mg",NA,"PonsMedulla_Nmg","DNP+M",NA,"PonsMedulla_N/mg"
"Pons+Medulla O, n",NA,"PonsMedulla_O_n","",NA,"PonsMedulla_O,n"
"Pons+Medulla O/N",NA,"PonsMedulla_ON","O/NP+M",NA,"PonsMedulla_O/N"
"RoB Mass, g","HerculanoHouzel_etal_2015_Table3","RoB_Mass_g","MROB","MRoB.g","RoB_Mass,g"
"RoB Mass, g SD","HerculanoHouzel_etal_2015_Table3","RoB_Mass_g_SD","",NA,"RoB_Mass,g_SD"
"RoB N, n","HerculanoHouzel_etal_2015_Table3","RoB_N_n","NROB","NRoB","RoB_N,n"
"RoB N, n SD","HerculanoHouzel_etal_2015_Table3","RoB_N_n_SD","",NA,"RoB_N,n_SD"
"RoB N/mg","HerculanoHouzel_etal_2015_Table3","RoB_Nmg","DNROB","DNRoB","RoB_N/mg"
"RoB N/mg SD","HerculanoHouzel_etal_2015_Table3","RoB_Nmg_SD","",NA,"RoB_N/mg_SD"
"RoB O, n","HerculanoHouzel_etal_2015_Table3","RoB_O_n","","ORoB","RoB_O,n"
"RoB O, n SD","HerculanoHouzel_etal_2015_Table3","RoB_O_n_SD","",NA,"RoB_O,n_SD"
"RoB O/mg","HerculanoHouzel_etal_2015_Table3","RoB_Omg","",NA,"RoB_O/mg"
"RoB O/mg SD","HerculanoHouzel_etal_2015_Table3","RoB_Omg_SD","",NA,"RoB_O/mg_SD"
"RoB O/N","HerculanoHouzel_etal_2015_Table3","RoB_ON","O/NROB","O/NRoB","RoB_O/N"
"RoB O/N SD","HerculanoHouzel_etal_2015_Table3","RoB_ON_SD","",NA,"RoB_O/N_SD"
"RoB Source","HerculanoHouzel_etal_2015_Table3","RoB_Source","",NA,"RoB_Source"
"RoB_C","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_C,n"
"RoB_I","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_I,n"
"RoB_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_I/mg"
"RoB_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_I/N"
"RoB_N","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_N,n"
"RoB_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_N/mg"
"RoB_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_n"
"RoB_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"RoB_Mass,g"
"Septum_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Septum_FractionofBrain"
"Septum_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Septum_Vol,mm3"
"Septum_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Septum_Vol,mm3"
"Species","DosSantos_etal_2017_TableS1",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2015_Table1",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2015_Table4",NA,NA,NA,"Species"
"Species","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2015_Table2",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2015_Table5",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2015_Table3",NA,NA,NA,"Species"
"Species","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"Species"
"Species","Kverkova_etal_2018_TableS1",NA,NA,NA,"Species"
"Species","Kverkova_etal_2018_TableS5",NA,NA,NA,"Species"
"Species name","DosSantos_etal_2020_Table1",NA,NA,NA,"Species"
"Striatum_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Striatum_FractionofBrain"
"Striatum_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Striatum_Vol,mm3"
"Striatum_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Striatum_Vol,mm3"
"Subcortical forebrain_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"SubcorticalForebrain_N,n"
"Subcortical forebrain_N,n_SD","Kverkova_etal_2018_TableS5",NA,NA,NA,"SubcorticalForebrain_N,n"
"Tectum_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tectum_FractionofBrain"
"Tectum_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tectum_Vol,mm3"
"Tectum_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tectum_Vol,mm3"
"Tegmentum_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tegmentum_FractionofBrain"
"Tegmentum_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tegmentum_Vol,mm3"
"Tegmentum_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Tegmentum_Vol,mm3"
"Thalamus_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Thalamus_FractionofBrain"
"Thalamus_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Thalamus_Vol,mm3"
"Thalamus_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Thalamus_Vol,mm3"
"Whole brain % Neurons","HerculanoHouzel_etal_2015_Table5","WholeBrain_percent_Neurons","",NA,"WholeBrain_%Neurons"
"Whole brain % Neurons SD","HerculanoHouzel_etal_2015_Table5","WholeBrain_percent_Neurons_SD","",NA,"WholeBrain_%Neurons_SD"
"Whole brain n","HerculanoHouzel_etal_2015_Table5","WholeBrain_n","",NA,"WholeBrain_n"
"Whole brain N/mg",NA,"WholeBrain_Nmg","",NA,"WholeBrain_N/mg"
"Whole brain Neurons","HerculanoHouzel_etal_2015_Table5","WholeBrain_N_n","NBR","NBR","WholeBrain_N,n"
"Whole brain Neurons SD","HerculanoHouzel_etal_2015_Table5","WholeBrain_N_n_SD","",NA,"WholeBrain_N,n_SD"
"Whole brain O/mg",NA,"WholeBrain_Omg","",NA,"WholeBrain_O/mg"
"Whole brain O/N",NA,"WholeBrain_ON","O/NBR","O/NBR","WholeBrain_O/N"
"Whole brain Other cells","HerculanoHouzel_etal_2015_Table5","WholeBrain_O_n","","OBR","WholeBrain_O,n"
"Whole brain Other cells SD","HerculanoHouzel_etal_2015_Table5","WholeBrain_O_n_SD","",NA,"WholeBrain_O,n_SD"
"Whole brain Source","HerculanoHouzel_etal_2015_Table5","WholeBrain_Source","",NA,"WholeBrain_Source"
"Whole brain_N,n","Kverkova_etal_2018_TableS5",NA,NA,NA,"WholeBrainOlfactoryBulb_N,n"
"Whole brain_N,n_SD","Kverkova_etal_2018_TableS5",NA,NA,NA,"WholeBrainOlfactoryBulb_N,n"
