species,species_as_published,footnote_ref,code,archive_number,sex,age_yrs,body_mass_g,brain_mass_mg,EQ,neocortex_volume_mm3,left_V1_volume_mm3,left_LGN_volume_mm3,optic_nerve_csa_mm2,eye_half_surface_area_mm2,source
Gorilla gorilla,Gorilla gorilla,,ggy,YN82-140,F,20,84700,376000,1.2,254310,4043.62,150.06,17.6,1774,deSousa__2008
Hylobates lar,Hylobates lar,,hld,Disco,F,22,6800,120000,2.54,77050,2292.4,89.67,12.7,1299,deSousa__2008
Homo sapiens,Homo sapiens,"a,b",hs5,54491,F,79,62530,1350000,5.41,974000,7586.59,185.63,22.8,1855,deSousa__2008
Homo sapiens,Homo sapiens,"a,b",hs6,6895,F,79,62530,1110000,4.45,974000,7012.82,156.4,22.8,1855,deSousa__2008
Macaca fascicularis,Macaca fascicularis,,mf2,ma22,M,3,2900,57600,2.31,,1356.67,45.94,8.36,985,deSousa__2008
Pongo pygmaeus,Pongo pygmaeus,,ouy,YN 85-38,M,16.5,58000,369000,1.56,268510,3504.17,92.08,16.1,1282,deSousa__2008
Pan paniscus,Pan paniscus,c,ppz,Zahlia,F,11,33200,324000,2.09,278970,5686.65,130.37,,,deSousa__2008
Pan troglodytes,Pan troglodytes,,ptb,Bathsheba,F,24,80000,359500,1.2,262770,4704.87,168.22,16,1446,deSousa__2008
Pan troglodytes,Pan troglodytes,d,ptd,1548,,,50570,386900,1.82,198350,2799.11,85.89,16,1446,deSousa__2008
