species,species_as_published,brain_volume_mm3,Vmo_volume_mm3,VII_volume_mm3,XII_volume_mm3,area_13_volume_mm3,area_10_volume_mm3,amygdala_lateral_volume_mm3,amygdala_basal_volume_mm3,amygdala_accessory_basal_volume_mm3,area_44_volume_mm3,area_45_volume_mm3,source
Homo sapiens,Homo sapiens,1264586.01,15.48,25.9,28.78,825.62,32052.66,1146,881,396.4,3445.99,3891.4,deSousa__2008
Pan troglodytes,Pan troglodytes,342159.5,10.17,24.65,15.69,510.47,4234.68,252.5,424.5,144.35,543,572.58,deSousa__2008
Pan paniscus,Pan paniscus,338803.09,5.78,14.99,8.19,233.67,5933.86,292,426.5,134.95,1061.53,1606.35,deSousa__2008
Gorilla gorilla,Gorilla gorilla,403932.43,18.97,26.53,20.39,556.56,4122.06,200,485,181.3,370.81,649,deSousa__2008
Pongo pygmaeus,Pongo pygmaeus,371299.87,15.54,30.7,16.28,659.99,3358.55,229,295,107.15,714.81,847.15,deSousa__2008
Hylobates lar,Hylobates lar,98046.64,3.91,4.12,4.87,102.22,404.29,100.5,150,52.6,383.59,237.65,deSousa__2008
