Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Nguyen2019,common species label printed in Table 2,,,,info,Felidae,Nguyen_etal_2019_Table2,preserved verbatim,
Species_scientific_printed,scientific trinomial printed in the title,,,,info,Felidae,Nguyen_etal_2019_Table2,preserved source taxonomy,
Species,current species binomial used for joins,,,,info,Felidae,Nguyen_etal_2019_Table2,subspecies collapsed only in this separate accepted-name field,
region_printed,cortical region label printed in Table 2,,,,info,Felidae,Nguyen_etal_2019_Table2,Frontal / Motor / Visual,
region_code,project region code,M1 / V1 / frontal cortex,Class,,info,Felidae,Nguyen_etal_2019_Table2,Motor mapped to M1; Visual mapped to V1,
region,expanded cortical-region name,M1 / V1 / frontal cortex,Class,,info,Felidae,Nguyen_etal_2019_Table2,,
neuron_type,neuron morphology class,M1 / V1 / frontal cortex,Class,,info,Felidae,Nguyen_etal_2019_Table2,must remain explicit,
n,number of neurons traced,M1 / V1 / frontal cortex,Count,point,info,Felidae,Nguyen_etal_2019_Table2,,
dendritic_volume_um3_mean,mean dendritic volume,M1 / V1 / frontal cortex,Volume.um3,mean,primary,Felidae,Nguyen_etal_2019_Table2,Vol,
dendritic_volume_um3_sem,SEM of dendritic volume,M1 / V1 / frontal cortex,Volume.um3,sem,info,Felidae,Nguyen_etal_2019_Table2,,
total_dendritic_length_um_mean,mean total dendritic length,M1 / V1 / frontal cortex,Length.um,mean,primary,Felidae,Nguyen_etal_2019_Table2,TDL,
total_dendritic_length_um_sem,SEM of total dendritic length,M1 / V1 / frontal cortex,Length.um,sem,info,Felidae,Nguyen_etal_2019_Table2,,
mean_segment_length_um_mean,mean dendritic segment length,M1 / V1 / frontal cortex,Length.um,mean,primary,Felidae,Nguyen_etal_2019_Table2,MSL,
mean_segment_length_um_sem,SEM of mean segment length,M1 / V1 / frontal cortex,Length.um,sem,info,Felidae,Nguyen_etal_2019_Table2,,
dendritic_segment_count_mean,mean number of dendritic segments per neuron,M1 / V1 / frontal cortex,Count,mean,primary,Felidae,Nguyen_etal_2019_Table2,DSC,
dendritic_segment_count_sem,SEM of dendritic segment count,M1 / V1 / frontal cortex,Count,sem,info,Felidae,Nguyen_etal_2019_Table2,,
dendritic_spine_count_mean,mean total spines on dendritic segments,M1 / V1 / frontal cortex,Count,mean,primary,Felidae,Nguyen_etal_2019_Table2,DSN; absent for aspiny/neurogliaform,
dendritic_spine_count_sem,SEM of dendritic spine count,M1 / V1 / frontal cortex,Count,sem,info,Felidae,Nguyen_etal_2019_Table2,,
dendritic_spine_density_per_um_mean,mean spines per micrometre of dendritic length,M1 / V1 / frontal cortex,Density.per_um,mean,primary,Felidae,Nguyen_etal_2019_Table2,DSD,
dendritic_spine_density_per_um_sem,SEM of dendritic spine density,M1 / V1 / frontal cortex,Density.per_um,sem,info,Felidae,Nguyen_etal_2019_Table2,,
soma_area_um2_mean,mean soma cross-sectional area,M1 / V1 / frontal cortex,Area.um2,mean,primary,Felidae,Nguyen_etal_2019_Table2,printed as Soma size,
soma_area_um2_sem,SEM of soma area,M1 / V1 / frontal cortex,Area.um2,sem,info,Felidae,Nguyen_etal_2019_Table2,,
soma_depth_um_mean,mean soma depth from the pial surface,M1 / V1 / frontal cortex,Length.um,mean,primary,Felidae,Nguyen_etal_2019_Table2,,
soma_depth_um_sem,SEM of soma depth,M1 / V1 / frontal cortex,Length.um,sem,info,Felidae,Nguyen_etal_2019_Table2,,
source_note,source-specific caution,,,,note,Felidae,Nguyen_etal_2019_Table2,African-lion underestimation warning repeated per lion row,relatively incomplete Golgi impregnation
Method:Golgi,neuron reconstructions from Golgi-impregnated tissue,,,,method,Felidae,Nguyen_etal_2019_Table2,regional morphology; not interchangeable with unbiased stereology or whole-cortex counts,
