species_as_printed,block,item_index,data_item,ref_numbers,citations,alignment
Alouatta paliatta,0,1,"Adult body (7670 g) and brain (54 g) weight, neonate body (440 g) and brain (30.800 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Alouatta paliatta,0,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Aotus trivirgatus,1,1,Neonatal brain weight (10.1 g),18,Parker ST & Gibson KR (1994) 'Language' and Intelligence in Monkeys and Apes: Comparative Developmental Perspectives (Cambridge University Press).,one_to_one
Aotus trivirgatus,1,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Aotus trivirgatus,1,3,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Avahi laniger,2,1,Brain weight,20,Karpanty SM (2006) Direct and indirect impacts of raptor predation on lemurs in southeastern Madagascar. Int J Primatol 27(1):239-261,one_to_one
Avahi laniger,2,2,Max home range (1-2 ha),21,"Ganzhorn JrU, Abraham JP, & Razanahoera-Rakotomalala Mn (1985) Some aspects of the natural history and food selection of Avahi laniger. Primates 26(4):452-463.",one_to_one
Avahi laniger,2,3,"Weight at birth (29 g), weight at weaning (500 g)",22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Avahi occidentalis,3,1,"Activity timing (N), group size (<9), home range (1-2 ha)",21,"Ganzhorn JrU, Abraham JP, & Razanahoera-Rakotomalala Mn (1985) Some aspects of the natural history and food selection of Avahi laniger. Primates 26(4):452-463.",one_to_one
Bos taurus,4,1,"Adult body and brain weight, neonate body",11; 23; 24; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Bos taurus,4,2,and brain weight,11; 23; 24; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Bos taurus,4,3,"Neonatal brain size (203 g), neonatal body mass (28366.67 g), maternal body mass (483502 g), gestation length (282 days), precocial",11; 23; 24; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
