ref_number,citation
1,"Zilles K, Armstrong E, Moser KH, Schleicher A, & Stephan H (1989) Gyrification in the cerebral cortex of primates. Brain Behav Evol 34(3):143-150"
2,"Walker R, Burger O, Wagner J, & Von Rueden CR (2006) Evolution of brain size and juvenile periods in primates. Journal of human evolution 51(5):480-489"
3,Martin RD (2007) The evolution of human reproduction: a primatological perspective. Am J Phys Anthropol Suppl 45:59-84
4,Sawaguchi T (1988) Correlations of cerebral indices for 'extra' cortical parts and ecological variables in primates. Brain Behav Evol 32(3):129-140
5,Marino L (2007) Cetacean brains: how aquatic are they? Anatomical record 290(6):694-700
6,"Hassiotis M, Paxinos G, & Ashwell KW (2003) The anatomy of the cerebral cortex of the echidna (Tachyglossus aculeatus). Comparative biochemistry and physiology. Part A, Molecular & integrative physiology 136(4):827-850"
7,"Neal J, et al. (2007) Insights into the gyrification of developing ferret brain by magnetic resonance imaging. Journal of anatomy 210(1):66-77"
8,Harvey PH & Cluttonbrock TH (1985) Life-History Variation in Primates. Evolution 39(3):559-581
9,"Gittleman JL (1986) Carnivore Brain Size, Behavioral Ecology, and Phylogeny. J Mammal 67(1):23-36"
10,Pillay P & Manger PR (2007) Order-specific quantitative patterns of cortical gyrification. Eur. J. Neurosci. 25(9):2705-2712
11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615
12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29"
13,"Lewitus E, Sherwood CC, & Hof PR (2012) Cellular signatures in the primary visual cortex of phylogeny and placentation. Brain Struct Funct 217(2):531-547"
14,Shultz S & Dunbar RI (2007) The evolution of the social brain: anthropoid primates contrast with other vertebrates. Proc Biol Sci 274(1624):2429-2436
15,Kappeler PM & Pereira ME (2003) Primate Life Histories and Socioecology (University of Chicago Press).
