"Species_Liu2016","species_sci","specimen_key","museum","MC1","PP1","DP1","MC2","PP2","IP2","DP2","WS","GMI","segment_sum_check"
"Homo sapiens","Homo sapiens","WITS 3372","WITS",0.174,0.126,0.086,0.273,0.169,0.103,0.07,0.0224,0.0151,1.001
"Homo sapiens","Homo sapiens","WITS 3388","WITS",0.176,0.127,0.094,0.267,0.164,0.104,0.068,0.0247,0.0167,1
"Homo sapiens","Homo sapiens","WITS 3448","WITS",0.182,0.129,0.091,0.264,0.165,0.098,0.072,0.0259,0.0173,1.001
"Homo sapiens","Homo sapiens","WITS 3664","WITS",0.181,0.124,0.1,0.268,0.157,0.094,0.075,0.0279,0.0192,0.999
"Homo sapiens","Homo sapiens","WITS 3529","WITS",0.179,0.13,0.094,0.258,0.166,0.098,0.074,0.0262,0.0174,0.999
"Homo sapiens","Homo sapiens","WITS 3606","WITS",0.177,0.123,0.093,0.273,0.166,0.093,0.074,0.0256,0.0175,0.999
"Homo sapiens","Homo sapiens","WITS 178","WITS",0.178,0.127,0.092,0.26,0.169,0.099,0.074,0.0251,0.0167,0.999
"Homo sapiens","Homo sapiens","WITS 188","WITS",0.181,0.13,0.092,0.256,0.165,0.098,0.078,0.0259,0.0173,1
"Homo sapiens","Homo sapiens","WITS 1472","WITS",0.193,0.134,0.083,0.258,0.161,0.102,0.07,0.0255,0.0166,1.001
"Homo sapiens","Homo sapiens","WITS 2097","WITS",0.174,0.124,0.098,0.267,0.163,0.099,0.076,0.0256,0.0176,1.001
"Homo sapiens","Homo sapiens","WITS 906","WITS",0.187,0.124,0.092,0.267,0.161,0.093,0.075,0.0271,0.0185,0.999
"Homo sapiens","Homo sapiens","UV S22","UV",0.189,0.126,0.09,0.27,0.163,0.093,0.07,0.0269,0.0181,1.001
"Homo sapiens","Homo sapiens","UV S45","UV",0.183,0.125,0.085,0.283,0.169,0.089,0.068,0.0245,0.0165,1.002
"Homo sapiens","Homo sapiens","UV S56","UV",0.177,0.126,0.091,0.276,0.163,0.098,0.068,0.0248,0.017,0.999
"Homo sapiens","Homo sapiens","UV S54","UV",0.183,0.129,0.091,0.264,0.167,0.093,0.072,0.0266,0.0176,0.999
"Homo sapiens","Homo sapiens","UV S59","UV",0.182,0.128,0.09,0.277,0.162,0.092,0.067,0.0264,0.0178,0.998
"Homo sapiens","Homo sapiens","UV S38","UV",0.189,0.128,0.09,0.268,0.158,0.095,0.071,0.0272,0.0183,0.999
"Homo sapiens","Homo sapiens","UV S7","UV",0.182,0.131,0.094,0.268,0.166,0.092,0.067,0.0275,0.018,1
"Homo sapiens","Homo sapiens","UV S26","UV",0.186,0.127,0.086,0.273,0.165,0.092,0.071,0.026,0.0175,1
"Homo sapiens","Homo sapiens","UV S17","UV",0.174,0.125,0.088,0.271,0.173,0.097,0.073,0.0231,0.0153,1.001
"Homo sapiens","Homo sapiens","UV S52","UV",0.181,0.131,0.091,0.264,0.164,0.1,0.069,0.0257,0.017,1
"Homo sapiens","Homo sapiens","UNI-FI 4865","UNI-FI",0.175,0.13,0.091,0.263,0.17,0.1,0.07,0.0247,0.0162,0.999
"Homo sapiens","Homo sapiens","UNI-FI 4887","UNI-FI",0.171,0.126,0.094,0.261,0.171,0.103,0.073,0.0238,0.0158,0.999
"Homo sapiens","Homo sapiens","UNI-FI 4868","UNI-FI",0.174,0.128,0.086,0.264,0.172,0.107,0.069,0.0219,0.0144,1
"Homo sapiens","Homo sapiens","UNI-FI 4880","UNI-FI",0.173,0.131,0.091,0.268,0.162,0.102,0.074,0.0244,0.0167,1.001
"Pan troglodytes","Pan troglodytes","AMNH 89351","AMNH",0.137,0.094,0.076,0.325,0.187,0.12,0.061,0.0092,0.0055,1
"Pan troglodytes","Pan troglodytes","AMNH 89353","AMNH",0.139,0.094,0.071,0.325,0.189,0.119,0.063,0.0089,0.0052,1
"Pan troglodytes","Pan troglodytes","AMNH 89355","AMNH",0.144,0.105,0.072,0.315,0.188,0.117,0.06,0.0112,0.0072,1.001
"Pan troglodytes","Pan troglodytes","AMNH 90189","AMNH",0.148,0.094,0.064,0.322,0.182,0.125,0.065,0.0105,0.0065,1
"Pan troglodytes","Pan troglodytes","HMNH 11772","HMNH",0.142,0.099,0.072,0.319,0.186,0.122,0.06,0.0104,0.0065,1
"Pan troglodytes","Pan troglodytes","NMW 25124","NMW",0.147,0.095,0.071,0.321,0.194,0.109,0.062,0.009,0.0053,0.999
"Pan troglodytes","Pan troglodytes","NMW 13528","NMW",0.143,0.091,0.069,0.334,0.189,0.114,0.06,0.0068,0.0037,1
"Pan paniscus","Pan paniscus","MRAC 29052","MRAC",0.15,0.097,0.069,0.319,0.181,0.12,0.064,0.0121,0.0078,1
"Pan paniscus","Pan paniscus","MRAC 29044","MRAC",0.161,0.101,0.059,0.335,0.175,0.106,0.062,0.0103,0.0062,0.999
"Pan paniscus","Pan paniscus","MRAC 27696","MRAC",0.151,0.097,0.059,0.333,0.183,0.117,0.06,0.0083,0.0047,1
"Pan paniscus","Pan paniscus","MRAC 29042","MRAC",0.142,0.095,0.077,0.317,0.178,0.118,0.072,0.0135,0.0088,0.999
"Pan paniscus","Pan paniscus","MRAC 29045","MRAC",0.153,0.101,0.062,0.33,0.177,0.118,0.06,0.0102,0.0063,1.001
"Gorilla gorilla","Gorilla gorilla","AMNH 81652","AMNH",0.162,0.092,0.07,0.316,0.181,0.115,0.064,0.0127,0.0085,1
"Gorilla gorilla","Gorilla gorilla","AMNH 90194","AMNH",0.161,0.101,0.063,0.314,0.184,0.111,0.066,0.0124,0.0079,1
"Gorilla gorilla","Gorilla gorilla","ZMB 18515","ZMB",0.162,0.098,0.077,0.304,0.182,0.122,0.054,0.0128,0.0092,0.999
"Gorilla gorilla","Gorilla gorilla","NMW 792","NMW",0.157,0.12,0.06,0.309,0.179,0.112,0.063,0.013,0.0084,1
"Pongo pygmaeus","Pongo pygmaeus","AMNH 18010","AMNH",0.145,0.081,0.043,0.329,0.225,0.116,0.061,0.001,0.0003,1
"Pongo pygmaeus","Pongo pygmaeus","AMNH 200898","AMNH",0.144,0.087,0.049,0.31,0.216,0.125,0.07,0.0052,0.0025,1.001
"Pongo pygmaeus","Pongo pygmaeus","AMNH 90395","AMNH",0.146,0.074,0.046,0.331,0.227,0.117,0.059,0.0004,0.0001,1
"Pongo pygmaeus","Pongo pygmaeus","HMNH 5154","HMNH",0.146,0.085,0.048,0.332,0.207,0.124,0.059,0.003,0.0012,1.001
"Pongo pygmaeus","Pongo pygmaeus","NMW 798","NMW",0.153,0.095,0.022,0.302,0.224,0.129,0.075,0.0036,0.0014,1
"Pongo pygmaeus","Pongo pygmaeus","NMW 795","NMW",0.15,0.074,0.04,0.341,0.218,0.123,0.053,0.0002,0,0.999
"Pongo pygmaeus","Pongo pygmaeus","NMW 797","NMW",0.149,0.093,0.028,0.338,0.208,0.125,0.059,0.0019,0.0006,1
"Pongo pygmaeus","Pongo pygmaeus","NMW 800/B 5414","NMW",0.147,0.084,0.045,0.319,0.218,0.124,0.063,0.0034,0.0014,1
"Pongo pygmaeus","Pongo pygmaeus","NMW 654","NMW",0.149,0.088,0.042,0.333,0.22,0.114,0.052,0.001,0.0003,0.998
"Pongo pygmaeus","Pongo pygmaeus","NMW 799","NMW",0.153,0.093,0.043,0.325,0.21,0.12,0.057,0.0038,0.0017,1.001
"Hylobates lar","Hylobates lar","HMNH 35945","HMNH",0.165,0.088,0.051,0.307,0.201,0.13,0.057,0.0075,0.0044,0.999
"Hylobates lar","Hylobates lar","HMNH 41421","HMNH",0.155,0.092,0.045,0.293,0.206,0.151,0.058,0.0048,0.0025,1
"Hylobates lar","Hylobates lar","HMNH 41476","HMNH",0.17,0.106,0.042,0.289,0.201,0.136,0.056,0.0065,0.0035,1
"Hylobates lar","Hylobates lar","HMNH 41504","HMNH",0.174,0.092,0.044,0.309,0.205,0.122,0.055,0.007,0.0039,1.001
"Hylobates lar","Hylobates lar","HMNH 41537","HMNH",0.163,0.101,0.053,0.283,0.198,0.134,0.068,0.0077,0.0043,1
"Macaca mulatta","Macaca mulatta","UM-APC 319","UM-APC",0.19,0.114,0.061,0.29,0.182,0.102,0.061,0.0155,0.01,1
"Macaca mulatta","Macaca mulatta","UM-APC 279","UM-APC",0.174,0.105,0.051,0.302,0.174,0.109,0.085,0.0129,0.0076,1
"Macaca mulatta","Macaca mulatta","UM-APC 318","UM-APC",0.169,0.112,0.054,0.295,0.177,0.115,0.078,0.0125,0.0076,1
"Macaca mulatta","Macaca mulatta","UM-APC 320","UM-APC",0.194,0.107,0.052,0.299,0.181,0.104,0.062,0.0134,0.0086,0.999
"Macaca mulatta","Macaca mulatta","UM-APC 224","UM-APC",0.18,0.103,0.056,0.314,0.182,0.102,0.064,0.013,0.0084,1.001
"Macaca mulatta","Macaca mulatta","UM-APC 286","UM-APC",0.168,0.099,0.049,0.276,0.201,0.133,0.075,0.0074,0.0039,1.001
"Macaca mulatta","Macaca mulatta","UM-APC 231","UM-APC",0.198,0.118,0.061,0.239,0.199,0.118,0.066,0.0156,0.0085,0.999
"Macaca fascicularis","Macaca fascicularis","UM-APC 217","UM-APC",0.177,0.107,0.057,0.312,0.187,0.106,0.052,0.0115,0.0076,0.998
"Macaca fascicularis","Macaca fascicularis","UM-APC 281","UM-APC",0.186,0.109,0.059,0.298,0.181,0.1,0.067,0.0148,0.0096,1
"Macaca fascicularis","Macaca fascicularis","HMNH 35611","HMNH",0.194,0.107,0.049,0.304,0.183,0.102,0.06,0.0127,0.0081,0.999
"Macaca fascicularis","Macaca fascicularis","HMNH 35612","HMNH",0.178,0.116,0.055,0.293,0.183,0.11,0.065,0.0128,0.0079,1
"Macaca fascicularis","Macaca fascicularis","HMNH 35656","HMNH",0.179,0.119,0.056,0.293,0.18,0.11,0.064,0.0135,0.0085,1.001
"Macaca fascicularis","Macaca fascicularis","HMNH 35658","HMNH",0.189,0.11,0.052,0.297,0.183,0.104,0.065,0.013,0.0081,1
"Macaca fascicularis","Macaca fascicularis","HMNH 35694","HMNH",0.176,0.108,0.057,0.294,0.185,0.113,0.066,0.0124,0.0077,0.999
"Macaca fascicularis","Macaca fascicularis","HMNH 35729","HMNH",0.175,0.108,0.062,0.298,0.191,0.103,0.063,0.0131,0.0084,1
"Macaca fascicularis","Macaca fascicularis","HMNH 35727","HMNH",0.177,0.105,0.055,0.297,0.188,0.114,0.065,0.0115,0.0071,1.001
"Macaca fascicularis","Macaca fascicularis","HMNH 35736","HMNH",0.189,0.107,0.058,0.284,0.178,0.12,0.064,0.013,0.0084,1
"Macaca fascicularis","Macaca fascicularis","HMNH 35735","HMNH",0.184,0.117,0.055,0.28,0.189,0.116,0.059,0.0121,0.0073,1
"Macaca fascicularis","Macaca fascicularis","HMNH 37349","HMNH",0.175,0.118,0.057,0.281,0.192,0.11,0.066,0.0122,0.0073,0.999
"Macaca fascicularis","Macaca fascicularis","HMNH 37406","HMNH",0.18,0.116,0.052,0.263,0.189,0.126,0.074,0.0111,0.0062,1
"Macaca fascicularis","Macaca fascicularis","HMNH 37407","HMNH",0.18,0.117,0.044,0.28,0.183,0.122,0.073,0.0104,0.0058,0.999
"Macaca fascicularis","Macaca fascicularis","HMNH 37415","HMNH",0.179,0.111,0.052,0.289,0.187,0.108,0.073,0.0123,0.0072,0.999
"Macaca fascicularis","Macaca fascicularis","HMNH 37416","HMNH",0.182,0.112,0.055,0.287,0.184,0.109,0.071,0.0131,0.0079,1
"Macaca fascicularis","Macaca fascicularis","HMNH 57836","HMNH",0.178,0.112,0.063,0.281,0.188,0.114,0.065,0.013,0.0081,1.001
"Papio hamadryas","Papio hamadryas","AMNH 200847","AMNH",0.201,0.109,0.067,0.31,0.161,0.09,0.063,0.0188,0.0134,1.001
"Papio hamadryas","Papio hamadryas","NMW 772","NMW",0.204,0.105,0.06,0.312,0.161,0.099,0.06,0.0165,0.0118,1.001
"Papio hamadryas","Papio hamadryas","NMW 825","NMW",0.202,0.103,0.062,0.301,0.16,0.093,0.078,0.0194,0.0133,0.999
"Papio hamadryas","Papio hamadryas","NMW 847","NMW",0.201,0.117,0.059,0.306,0.171,0.084,0.061,0.0173,0.0117,0.999
"Papio hamadryas","Papio hamadryas","NMW 28584","NMW",0.202,0.105,0.065,0.299,0.153,0.108,0.067,0.0188,0.0135,0.999
"Papio hamadryas","Papio hamadryas","NMW 43411","NMW",0.202,0.104,0.059,0.322,0.152,0.092,0.07,0.0173,0.0123,1.001
"Papio hamadryas","Papio hamadryas","NMW 22755","NMW",0.191,0.104,0.059,0.316,0.158,0.096,0.077,0.0174,0.012,1.001
"Presbytis cristata","Trachypithecus cristatus","HMNH 35666","HMNH",0.155,0.097,0.048,0.304,0.211,0.125,0.06,0.0065,0.0035,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 35669","HMNH",0.155,0.083,0.047,0.312,0.209,0.128,0.066,0.0059,0.003,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 35640","HMNH",0.155,0.085,0.046,0.31,0.214,0.124,0.066,0.0053,0.0026,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 35678","HMNH",0.159,0.088,0.038,0.309,0.216,0.129,0.061,0.0046,0.0022,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 35675","HMNH",0.15,0.085,0.044,0.302,0.217,0.139,0.063,0.0045,0.0022,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 35688","HMNH",0.16,0.079,0.042,0.314,0.218,0.128,0.059,0.0037,0.0017,1
