status,match_basis,species_key,species_file,species_csv,individual,brain_mass_g,brain_mass_g_csv,brain_mass_match,left_mm3,total_insula_L_mm3,left_diff_mm3,left_match,right_mm3,doubling_basis,doubled_cm3,doubled_expected,doubling_ok,record_id,left_cm3,right_cm3,n_hemispheres_listed,collection
Table1_only_not_in_comparison,NA,ateles geoffroyi,NA,Ateles geoffroyi,3371b,NA,106.4,FALSE,NA,416,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,avahi laniger,NA,Avahi laniger,3244b,NA,9.6,FALSE,NA,38,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,cebus albifrons,NA,Cebus albifrons,3317b,NA,79.8,FALSE,NA,297,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,cercocebus agilis,NA,Cercocebus agilis,980820a,NA,95.3,FALSE,NA,379,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAAP
Table1_only_not_in_comparison,NA,galagoides demidoff,NA,Galagoides demidoff,3275b,NA,3.3,FALSE,NA,12,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,gorilla gorilla,NA,Gorilla gorilla,YN82-140a,NA,376,FALSE,NA,1910,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCSD
Table1_only_not_in_comparison,NA,homo sapiens,NA,Homo sapiens,MU-88-65a,NA,1483,FALSE,NA,6463,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yakovlev-Haleem
Table1_only_not_in_comparison,NA,homo sapiens,NA,Homo sapiens,W2-2-70a,NA,1320,FALSE,NA,7222,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yakovlev-Haleem
Table1_only_not_in_comparison,NA,homo sapiens,NA,Homo sapiens,STD-IIA-54a,NA,1242,FALSE,NA,4068,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yakovlev-Haleem
Table1_only_not_in_comparison,NA,hylobates lar,NA,Hylobates lar,YN81-146b,NA,92,FALSE,NA,289,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
