Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Table1_LGB_volume,Volume of dorsal lateral geniculate body including fibrous laminae,Lateral geniculate body (dorsal),Vol.mm3,value,primary,Hominoids,Armstrong__1979_Tables1-9,One hemisphere measured,
Table1_MGBp_volume,Volume of medial geniculate body pars parvocellularis,Medial geniculate body pars parvocellularis,Vol.mm3,value,primary,Hominoids,Armstrong__1979_Tables1-9,One hemisphere measured,
Table1_VB_volume,Volume of ventrobasal complex,Ventrobasal complex,Vol.mm3,value,primary,Hominoids,Armstrong__1979_Tables1-9,One hemisphere measured; VPI excluded,
Table1_literature_volumes,Previously published comparison values for LGB and MGB,Lateral / medial geniculate body,Vol.mm3,value,secondary,Primates,Armstrong__1979_Tables1-9,Retained with original source group; not Armstrong measurements,
Table2_MGBp_density,Neuronal density summary,Medial geniculate body pars parvocellularis,Density.cells.0.01mm3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Uncorrected for neuronal nuclear size,
Table3_LGBp_density,Neuronal density summary,Lateral geniculate body pars parvocellularis,Density.cells.0.01mm3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Uncorrected for neuronal nuclear size,
Table3_LGBm_density,Neuronal density summary,Lateral geniculate body pars magnocellularis,Density.cells.0.01mm3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Uncorrected for neuronal nuclear size,
Table4_VB_density,Neuronal density summary,Ventrobasal complex,Density.cells.0.01mm3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Uncorrected for neuronal nuclear size,
Table5_LGB_component_volume,LGBp and LGBm component volumes,Lateral geniculate body,Vol.mm3,value,primary,Hominoids,Armstrong__1979_Tables1-9,Components sum to Table 1 total LGB,
Table6_estimated_neuron_number,Estimated total neurons per nucleus,Sensory relay nuclei,Count.cells,value,primary,Hominoids,Armstrong__1979_Tables1-9,Derived from volume and density; human estimate combines three brains,
Table7_MGBp_perikaryal_volume,Neuronal perikaryal-volume distribution summary,Medial geniculate body pars parvocellularis,Vol.um3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Tentative because sampling and preparation differ,
Table8_LGB_perikaryal_volume,Neuronal perikaryal-volume distribution summary,Lateral geniculate body,Vol.um3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,LGBp and LGBm retained separately,
Table9_VB_perikaryal_volume,Neuronal perikaryal-volume distribution summary,Ventrobasal complex,Vol.um3,"n; mean; sd; se; min; max; median",primary,Hominoids,Armstrong__1979_Tables1-9,Tentative because sampling and preparation differ,
