"search_id","sex_file","Sex_reported","habitat_type","Reference","Full_Reference","SpeciesName_Reported","CommonName_Reported","species_sci","Sleep_h_day","Sleep_h_day_drowsy_adj","REM_h","NREM_h","Sleep_cycle_min","REM_sleep_pct","Sleep_h_day_in_water","Sleep_h_day_on_land","REM_h_in_water","REM_h_on_land","NREM_h_in_water","NREM_h_on_land","USWS","BSWS","ASWS","N_reported","N_in_mean","Animals_sampled","EEG","Telemetry","Twenty_four_hour","Light","Adaptation","Diet_condition","Temperature","Restraint","Behavioural","Lab_condition_score","Summary_age_class","Monophasic_polyphasic","Error","Error_Note","Notes_Misc","Data_came_from","Post1988"
205,"Mixed","Mix","Land","Perachio, 1970","Perachio, A. A. (1970). Sleep In The Nocturnal Primate, Aotus Trivirgatus. Proccedings Of The 3rd International Congress Of Primatology, 2, 54-60.","Aotus Trivirgatus","Owl Monkey","Aotus trivirgatus",16.97,NA,1.82,15.15,NA,10.7248084855628,NA,NA,NA,NA,NA,NA,"","","",5,5,5,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No",NA,"0",9,"Adult",NA,"","","Data Match Elgar Et Al. (1988)","Not from Zepelin","No"
280,"Mixed","Mix","Land","Wauquier Et Al., 1979","Wauquier, A., Verheyen, J. L., Van Den Broeck, W. A., & Janssen, P. A. (1979). Visual And Computer-based Analysis Of 24 H Sleep-waking Patterns In The Dog. Electroencephalography & Clinical Neurophysiology, 46(1), 33-48.","Beagle Dog","Beagle Dog","Canis lupus familiaris",12.912,NA,3.24,9.67,45,25.092936802974,NA,NA,NA,NA,NA,NA,"","","",7,7,7,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No",NA,"0",9,"Juvenile","Poly","","","Both Sexes (6 Males. 1 Female); Data Are Not Separated By Sex; Adult Or Juv Not Specified","Not from Zepelin","No"
115,"Mixed","Mix","Land","Galvao Et Al., 1983","Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355.","Bradypus Tridactylus","Three-toed Sloth","Bradypus tridactylus",10.521,2.6815,1.1858,9.3358,37.8,11.2707917498337,NA,NA,NA,NA,NA,NA,"","","",4,4,4,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1",10,"Adult & Juvenile","Poly","","","Used Group III; N=4; Separated According Tos Ex; Used Table 2. States 3 Males And 1 Female; In Actual Paper. Group III States 2 Males And 2 Females; We Went With The Table Wrt Sex","Not from Zepelin","No"
80,"Mixed","Mix","Land","Crofts Et Al., 2001","Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273.","Callithrix Jacchus","Common Marmoset","Callithrix jacchus",9.5038,NA,1.6055,7.8983,50,16.8932427029188,NA,NA,NA,NA,NA,NA,"","","",4,4,4,"Yes","Telemetry / Radiotelemetry Used","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1",12,"Unknown",NA,"","","Mean B/t Male And Female; 2 Of Each In Sample; Unclear If Adult Or Juv; 12 Hr. Rec. Time","Not from Zepelin","Yes"
158,"Mixed","Mix","Marine","Lyamin Et Al., 1986","Lyamin, O. I., Mukhametov, L. M., & Polyakova, I. G. (1986). [Peculiarities Of Sleep In Water In Northern Fur Seals]. [Russian]  Zh Vyssh Nerv Deiat Im I P Pavlova, 36(6), 1039-1044.","Callorhinus Ursinus","Northern Fur Seal","Callorhinus ursinus",10.228,NA,0.94,9.286,NA,9.19045756746187,3.21,7.018,0.096,0.844,3.114,6.172,"","","",4,4,4,"Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions",NA,"Normal","No","No","1",12,"Adult",NA,"","","In Russian; Sea Mammals; Data Are For In Land And Water. Total Daily Sleep Was Calculated By Adding TST For Land And Water.","Not from Zepelin","No"
120,"Mixed","Mix","Land","Gutierrez-Rivas, 1980","Guitterres-Rivas, E.  (1980). El Ciclo Vigilia-sueno Del Gato I.  Estudio Con Diferentes Condiciones De Experiementacion. Archives Open Neurobiology (Madrid), 43, 185-200.","Cat","Cat","Felis catus",12.218,8.8512,2.8872,9.3312,NA,23.6307087903094,NA,NA,NA,NA,NA,NA,"","","",35,35,35,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions",NA,"Normal","No",NA,NA,8,"Adult","Poly","SN","","In Spanish; Data Are Not Separated By Sex","From Zepelin","No"
264,"Mixed","Mix","Land","Ursin, 1968","Ursin, R. (1968). The 2 Stages Of Slow-wave Sleep In The Cat And Their Relation To REM Sleep. Brain Research, 11, 347-356.","Cat","Cat","Felis catus",13.224,NA,3.216,10.008,NA,24.3194192377495,NA,NA,NA,NA,NA,NA,"","","",12,12,12,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1",11,"Adult","Poly","","","Scientific Name Was Not Given","Not from Zepelin","No"
203,"Mixed","Mix","Land","Pellet & Beraud, 1967","Pellet, J., & Beraud, C. (1967). [The Circadian Sleep-wakefulness Organization Of The Guinea Pig (Cavia Porcellus)]. Physiology & Behavior, 2, 131-137.","Cavia Porcellus","Guinea Pig","Cavia porcellus",6.816,NA,0.936,5.88,NA,13.7323943661972,NA,NA,NA,NA,NA,NA,"","","",6,6,6,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0",10,"Adult","Poly","","","In French","Not from Zepelin","No"
113,"Mixed","Mix","Land","Freemon Et Al., 1971","Freemon, F. R., McNew, J. J., & Adey, W. R. (1971). Chimpanzee Sleep Stages.  Electroencephalography & Clinical Neurophysiology, 31, 485-489.","Chimpanzee","Chimpanzee","Pan troglodytes",10.867,NA,2.499,8.367,85.65,22.9962271095979,NA,NA,NA,NA,NA,NA,"","","",2,2,2,"Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0",12,"Juvenile",NA,"","","12 Hr Recording Period; Did Not State If Age Is Adult Or Juvenile","Not from Zepelin","No"
14,"Mixed","Mix","Land","Allison Et Al., 1977","Allison, T., Gerber, S. D., Breedlove, S. M., & Dryden, G. L. (1977). A Behavioral And Polygraphic Study Of Sleep In The Shrews Suncus Murinus, Blarina Brevicauda, And Cryptotis Parva. Behavioral Biology, 20(3), 354-366.","Cryptotis Parva","Lesser Short-tailed Shrew","Cryptotis parva",9.1,6.1,1.4,7.7,8.8,15.3846153846154,NA,NA,NA,NA,NA,NA,"","","",3,3,3,"No","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No",NA,"1",7,"Unknown","Poly","","","Male And Female; Observational Data; No Animals Survived Surgery; Probably A Juvenile B/c Weight Not That Of An Adult, But Juv Wasn't Stated Explicitly; Therefore, We Have Put Unknown For Age Class Entries","Not from Zepelin","No"
208,"Mixed","Mix","Land","Prudom & Klemm, 1973","Prudom, A. E., & Klemm, W. R.  (1973). Electrographic Correlates Of Sleep Behavior In A Primitive Mammal, The Armadillo Dasypus Novemcinctus. Physiology & Behavior, 10, 275-282.","Dasypus Novemcinctus","Armadillo","Dasypus novemcinctus",18.48,NA,2.8089,15.671,NA,15.1996753246753,NA,NA,NA,NA,NA,NA,"","","",5,5,5,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1",11,"Unknown","Poly","","","Both Sexes Are Included But Data Are Not Separated According To Sex; Age Is Unclear; Not Sure If Adult Or Juv","Not from Zepelin","No"
272,"Mixed","Mix","Land","Van Twyver & Allison, 1974","Van Twyver, H., & Allison, T. (1974). Sleep In The Armadillo Dasypus Novemcinctus At Moderate And Low Ambient Temperatures. Brain, Behavior & Evolution, 9(2), 107-120.","Dasypus Novemcinctus","Armadillo","Dasypus novemcinctus",17.4,NA,3.13,14.26,22.8,17.9885057471264,NA,NA,NA,NA,NA,NA,"","","",13,13,13,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1",11,"Unknown","Poly","","","Both Sexes; Zepelin (1989) Reported From Campbell & Tobler (1984) Paper Exact Numbers Except For Sleep Cycle (28 Min) And Called It The Long-nosed Armadillo (same Species Name, Though); Does Not Specify Adult Or Juv","Not from Zepelin","No"
271,"Mixed","Mix","Land","Van Twyver & Allison, 1970","Van Twyver, H., & Allison, T. (1970). Sleep In The Opossum Didelphis Marsupialis. Electroencephalography & Clinical Neurophysiology, 29(2), 181-189.","Didelphis Marsupialis","Opossum","Didelphis marsupialis",19.392,NA,5.643,13.749,22.5,29.0996287128713,NA,NA,NA,NA,NA,NA,"","","",5,5,5,"Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1",11,"Adult","Poly","","","Both Sexes; Does Not Specify Adult Or Juv","Not from Zepelin","No"
