"search_id","ID","type","Reference","SpeciesName_Reported","CommonName_Reported","N","EEG","Telemetry","Twenty_four_hour","Light","Adaptation","Diet","Temperature","Restraint","Behavioural","Total_lab_condition_score","Total_daily_sleep","Sleep_time_adjusted_for_drowsiness","Daily_PS_time","Quiet_sleep_time","Sleep_cycle_length","Number_of_animals_in_calculated_mean","Animals_sampled","Sex","Age_class_reported","Absolute_age_reported","Hayssen_age_class","Summary_age_class","Monophasic_polyphasic","Data_entered_by","Notes_Misc","Error","Error_Note","Total_daily_sleep_time_in_water","Total_daily_sleep_time_on_land","Daily_PS_time_in_water","Daily_PS_time_on_land","Daily_PS_time_in_water_bihemispheric","Daily_PS_time_on_land_bihemispheric","Quiet_sleep_time_on_land_bihemispheric","Quiet_sleep_time_in_water_bihemispheric","Bilateral_desynchronization","Unilateral_synchronization","Bilateral_synchronization","USWS","BSWS","ASWS","Quiet_sleep_time_in_water","Quiet_sleep_time_on_land","Full_Reference","PDF","Paper_photocopied","Type_of_paper","Data_came_from","Foreign_language","Post1988"
"157","","Marine","Lyamin & Chetyrbok, 1992","Arctocephalus Pusillus","Cape Fur Seal","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","N/A","Normal","No","No","1","12","7.668","N/A","1.092","6.576","29.75","1","1","F","Adult","N/A","N/A","Adult","N/A","EH","Average For 2 24-hour Periods; Sea Mammals; Discusses Synchronization And Desynchronization But No Specific Number Is Given","","","","","","","","","","","","","","","","","","","Lyamin, O. I., & Chetyrbok, I. S. (1992). Unilateral EEG Activation During Sleep In The Cape Fur Seal, Arctocephalus Pusillus. Neuroscience Letters, 143(1-2), 263-266.

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"15","","Land","Allison Et Al., 1977","Blarina Brevicauda","Greater Short-tailed Shrew","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","N/A","1","7","14.9","5.9","2.3","12.6","7.6","1","1","F","N/A","N/A","N/A","Unknown","Poly","EH","Behavioral Data; Sex And Age Are Unclear; Paper Did Not Indicate Adult Or Juv 

IC: Body Mass Of The Subject (19.3gr) Suggests It Was Probably An Adult","","","","","","","","","","","","","","","","","","","Allison, T., Gerber, S. D., Breedlove, S. M., & Dryden, G. L. (1977). A Behavioral And Polygraphic Study Of Sleep In The Shrews Suncus Murinus, Blarina Brevicauda, And Cryptotis Parva. Behavioral Biology, 20(3), 354-366.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"216","","Land","Ruckebusch & Bell, 1970","Bos Taurus","Cow","3","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","1","9","2.436","N/A","0.35","2.086","40","3","3","F","Adult","2 Years","Adult","Adult","N/A","EH","In French; 14 Hr Rec. Time","","","","","","","","","","","","","","","","","","","Ruckebusch, Y., & Bell, F. R. (1970). Etude Polygraphique Et Comportementale Es Etats Dev Veille Et De Sommeil Chez La Vache (Bos Taurus). Annales De Recherches Veterinaires, 1, 41-62.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"117","","Land","Galvao Et Al., 1983","Bradypus Tridactylus","Three-toed Sloth","1","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","10","17.023","2.3323","2.9671","14.056","N/A","1","1","F","Immature","N/A","N/A","Juvenile","Poly","EH","Used Group III; N=4; Separated According Tos Ex; Used Table 2. States 3 Males And 1 Female; In Paper Group III States 2 Males And 2 Females; Used Table Wrt Sex -IC: N.2 (female) In Table 2 Defined 'immature' (p.354) And Body Mass Suggest","","","","","","","","","","","","","","","","","","","Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"82","","Land","Crofts Et Al., 2001","Callithrix Jacchus","Common Marmoset","4","Yes","Telemetry / Radiotelemetry Used","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","12","9.5044","N/A","1.7438","7.7606","50","2","2","F","N/A","N/A","N/A","Unknown","N/A","EH","Data For Females; Unclear If Adult Or Juv; No Body Weight Given; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"290","","Land","Zolovick Et Al., 1973","Cat","Cat","5","Yes","No","1 (Less than 12 hours)","Normal light/dark conditions","No","Normal","No","N/A","0","6","5.6","N/A","1.352","4.248","N/A","5","5","F","Adult","N/A","Adult","Adult","N/A","EH","Used Baseline Values; Recording Time Is 8 Hours","SN","","","","","","","","","","","","","","","","","","Zolovick, A., Stern, W., Jalowiec, J., Panksepp, J., & Morgane, P. (1973). Sleep-waking Patterns In Cats: Effects Of 6-hydroxydopamine Given Into The Dorso-lateral Pontine Tegmentum [Abstract]. Sleep Research, 2, 74.  
 
","No","Yes","Abstract","Not from Zepelin","No","No"
"106","","Marine","Flanigan, 1974B","Delphinapterus Leucas","Beluga Whale","2","No","No","2 (At least 12, but less than 24 hours)","Abnormal light/dark conditions","Yes","Normal","No","No","1","7","5.2","N/A","N/A","N/A","7","2","2","F","Adult","3-11 Years","Adult & Juvenile","Adult & Juvenile","N/A","EH","Ages 3-11; Females; No Sleep Quotas; Only Behavioral Data Reported; Current Data From Campbell & Tobler, 1984; 13.5-14 Hr Recording Period; Constant Illumination","","","","","","","","","","","","","","","","","","","Flanigan, W. F. (1974b). Nocturnal Behavior Of Captive Small Cetaceans. II. The Beluga Whale, Delphinapterus Leucas [Abstract]. Sleep Research, 3, 85.

","No","Yes","Abstract","Not from Zepelin","No","No"
"164","","Marine","Lyamin Et Al., 2000","Enhydra Lutris","Sea Otter","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","6.744","N/A","N/A","6.744","N/A","1","1","F","N/A","6-8 Months","Infant & Juvenile","Infant & Juvenile","N/A","EH","Sea Mammals; Based On Beh Observation Only; Female Only; No REM Scored; Used Series I","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136. 

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"162","","Marine","Lyamin Et Al., 2000","Enhydra Lutris","Sea Otter","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","6.912","N/A","0.432","6.48","N/A","1","1","F","N/A","6-8 Months","Infant & Juvenile","Infant & Juvenile","N/A","EH","Sea Mammals; Based On Beh Observation Only; Paper Does Not Specify Adult Or Juv; Used Series II-III B/c Data Available For Female In REM","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136. 

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"95","","Land","Estep Et Al., 1978","Eutamias Dorsalis","Cliff Chipmunk","6","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","14.496","N/A","N/A","N/A","N/A","6","6","F","Adult","N/A","N/A","Adult","Poly","EH","Only TST Available; Females Only","","","","","","","","","","","","","","","","","","","Estep, D., Canney, E. L., Cochran, C. C., & Hunter, J. L. (1978). Components Of Activity And Sleep In Two Species Of Chipmunks: Tamias Striatus Amd Eutomias Dorsalis. Bulletin Of The Psychonomic Society, 12, 341-343. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"254","","Land","Tobler & Schwierin, 1996","Giraffa Camelopardalis","Giraffe","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","3.936","N/A","0.336","3.6","N/A","1","1","F","Juvenile","0.2  Years","Infant","Infant","N/A","EH","Behavioral Observations","","","","","","","","","","","","","","","","","","","Tobler, I., & Schwierin, B. (1996). Behavioural Sleep In The Giraffe (Giraffa 
Camelopardalis) In A Zoological Garden. Journal Of Sleep Research, 5(1), 21-32.  

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"253","","Land","Tobler & Schwierin, 1996","Giraffa Camelopardalis","Giraffe","5","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","4.4928","N/A","0.984","3.5088","17.5","5","5","F","Adult/immature","3.4, 3.5, 3.6, 13, And 30 Years","Adult & Juvenile","Adult & Juvenile","N/A","EH","Adult Females Only; Behavioral Data; Averaged Sleep Cycle; Age Abs Reported As 3.4, 3.5, 3.6, 13, & 20 Yrs","","","","","","","","","","","","","","","","","","","Tobler, I., & Schwierin, B. (1996). Behavioural Sleep In The Giraffe (Giraffa 
Camelopardalis) In A Zoological Garden. Journal Of Sleep Research, 5(1), 21-32.  

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"226","","Marine","Shurley Et Al., 1969","Globicephala Scammoni","North Pacific Pilot Whale","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","5.28","N/A","0.1","5.18","N/A","1","1","F","N/A","4 Years","Juvenile","Juvenile","Poly","EH","Data Matched Zepelin (1989); Not Sure If Adult Or Juv","","","","","","","","","","","","","","","","","","","Shurley, J. T., Serafetinides, E. A., Brooks, R. E., Elsner, R., & Kenney, D. W.  (1969). Sleep In Cetaceans: I. The Pilot Whale, Globicephala Scammoni [Abstract]. Psychophysiology, 6, 230.

","No","Yes","Abstract","Not from Zepelin","No","No"
"33","","Land","Balzamo Et Al., 1978B","Lemur Mongoz Mongoz","In French","1","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","10","11.88","N/A","0.72","11.16","N/A","1","1","F","Adult","N/A","N/A","Adult","N/A","EH","In French; Data Match Elgar Et Al. 1988; Zepelin & Rechtschaffen, 1974 Have Data, But We Calculated Something Different; Zepelin Obtained Data From Balzamo Et Al., 1978; Recordng Time Is 24 Hrs","","","","","","","","","","","","","","","","","","","Balzamo, E., Vuillon-Cacciuttolo, G., Petter, J., & Bert, J. (1978B). Etats De Vigiliance Chez Deux Lemuridae: Rhythmes EEG Et Organization Obtenus Par Telemesure. Wake Sleep, 2, 237-245.  

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"152","","Land","Leinonen & Stenberg, 1986","Macaca Arctoides","Monkey","1","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","N/A","1","9","8.76","N/A","1.68","7.08","50","1","1","F","Adult","16 Years","Adult","Adult","N/A","EH","Sleep Quotas Calculated For Control Nights; 1 Female; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Leinonen, L., & Stenberg, D. (1986). Sleep In Macaca Arctoides And The Effects Of Prazosin. Physiology & Behavior, 37(2), 199-202.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"135","","Land","Kaemingk & Reite, 1987","Macaca Nemestrina","Pigtail Monkey Infant","7","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","12","7.845","N/A","0.845","7","N/A","7","7","F","Infant","221 Days","N/A","Infant","N/A","EH","Females Only","","","","","","","","","","","","","","","","","","","Kaemingk, K., & Reite, M. (1987). Social Environment And Nocturnal Sleep: Studies In 
Peer-reared Monkeys. Sleep, 10, 542-550.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"65","","Land","Bert, 1970","Macaca Radiata","Bonnet Macaque","4","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","8","8.895","N/A","1","7.895","N/A","4","4","F","Adult","N/A","N/A","Adult","N/A","EH","In French; 13 Hr Rec Time","","","","","","","","","","","","","","","","","","","Bert, J. (1970). Adaptation Du Sommeil Aux Conditions Experimentales D’enregistrement Chez Deux Cercopithecinae (Papio Papio Et Macaca Radiata). Proceeding Of 3rd International Congress On Primatology, 2, 49-53.

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"77","","Land","Cicala Et Al., 1970","Megaleia Rufa","Red Kangaroo","2","No","No","1 (Less than 12 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","7","2.6345","N/A","0.4538","2.1807","13","2","2","F","N/A","9 Months And 14 Months","Infant & Juvenile","Infant & Juvenile","N/A","EH","Paper Reports That Animals Were Observed From 10.00 To 15.30 Hours On 4 Days; We Calculated The Observation Time To 5.5 Hours And Have Reported Sleep Values Based On This Estimate; Does Not Specify If Juvenile","","","","","","","","","","","","","","","","","","","Cicala, G. A., Albert, I. B., & Ulmer, F. A., Jr. (1970). Sleep And Other Behaviors Of The Red Kangaroo (Megaleia Rufa). Animal Behavior, 18, 787-790.","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"76","","Land","Cicala Et Al., 1970","Megaleia Rufa","Red Kangaroo","2","No","No","1 (Less than 12 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","7","1.87","N/A","0.4813","1.3887","14.75","2","2","F","Adult","3 Years And 10 Years","Adult","Adult","N/A","EH","Paper Reports That Animals Were Observed From 10.00 To 15.30 Hours On 4 Days; We Calculated The Observation Time To 5.5 Hours And Have Reported Sleep Values Based On This Estimate.","SN","","","","","","","","","","","","","","","","","","Cicala, G. A., Albert, I. B., & Ulmer, F. A., Jr. (1970). Sleep And Other Behaviors Of The Red Kangaroo (Megaleia Rufa). Animal Behavior, 18, 787-790.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"36","","Land","Barre & Petter-Rousseaux, 1988","Microcebus Murinus","Nocturnal Malagasy Prosimian","4","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","0","9","15.36","N/A","0.989","14.371","N/A","4","4","F","N/A","3-5  Years","Adult","Adult","N/A","EH","Took Data From Longest Sleep Bout; Sleep Divided Into Different Months And Seasons; N Originally 20; Sample On Only 4; Did Not Specify If Ages Are Juv Or Adult","","","","","","","","","","","","","","","","","","","Barre, V., & Petter-Rousseaux, A. (1988). Seasonal Variations In Sleep-wake Cycle In Microcebus Murinus. Primates, 19(2), 53-64.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"131","","Land","Jha Et Al., 2006","Mustela Putorius Furo","Ferret","4","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","0","9","15.113","N/A","4.632","10.481","N/A","4","4","F","N/A","3-5 Months And 21 Months","Adult & Juvenile","Adult & Juvenile","Poly","EH","Data For Females Only; Juv Or Adult Not Said Explicitly","","","","","","","","","","","","","","","","","","","Jha, S. K., Coleman, T., & Frank, M. G. (2006). Sleep And Sleep Regulation In The Ferret (Mustela Putorius Furo). Behavioural Brain Research, 172, 106-113.

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"102","","Land","Fischer Et Al., 1980","Octodon Degus","Hystricomorph Rodent","4","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","5.04","N/A","N/A","N/A","N/A","4","4","F","Infant","1 Week","Infant","Infant","N/A","EH","Females; Took Data From Large Enclosure Condition","","","","","","","","","","","","","","","","","","","Fischer, R. B. & Meunier, G. F. (1980). Effects Of Enclosure Size On Activity And Sleep Of A Hystricomorph Rodent (Octodon Degus). Bulletin Of The Psychonomic Society, 16(4), 273-275.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"105","","Land","Fischer Et Al., 1980","Octodon Degus","Hystricomorph Rodent","4","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","6","N/A","N/A","N/A","N/A","4","4","F","Adult","N/A","N/A","Adult","N/A","EH","Females; Took Data From Large Enclosure Condition","","","","","","","","","","","","","","","","","","","Fischer, R. B. & Meunier, G. F. (1980). Effects Of Enclosure Size On Activity And Sleep Of A Hystricomorph Rodent (Octodon Degus). Bulletin Of The Psychonomic Society, 16(4), 273-275.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"161","","Marine","Lyamin Et Al., 1994","Otari Byronia","Southern Sea Lion","3","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","N/A","Normal","No","N/A","0","10","5.928","N/A","2.328","3.6","33","3","3","F","N/A","1 Year","Juvenile","Juvenile","N/A","EH","Does Not Specify Adult Or Juv; Also Known As Otaria Flavescens","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Mukhametov, L. M., Chetyrbok, I. S., & Vassiliev, A. V. (1994). Sleep And Wakefulness In Southern Sea Lions (Otari Byronia). Journal Of Sleep Research, 3(suppl 1), 152.","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"166","","Marine","Lyamin Et Al., 2002C","Otaria Byronia","Southern Sea Lion","3","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","13","5.928","N/A","2.328","3.6","32.8","3","3","F","Yearling","1 Year","Juvenile","Juvenile","N/A","EH","Sea Mammals; Females Only; Either Otaria Byronia Or Otaria Flavescens Were Used; Does Not Speicify Adult Or Juv; Body Weight Not Given","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Mukhametov, L. M., Chetyrbok, I. S., & Vassiliev, A. V. (2002C). Sleep And Wakefulness In The Southern Sea Lion. Behavioural Brain Research, 128, 129-138.

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"176","","Marine","Lyamin, 1993","Pagophilus Groenlandica","Harp Seal","2","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","13","6.54","N/A","0.852","5.688","N/A","2","2","F","Young","3-5 Months","Juvenile","Juvenile","N/A","EH","Sea Mammals; Females Only; Paper Does Not Specify Adult Or Juv; States Young Harp Seals; On Land Only","","","","","","","","","","","","","","","","","","","Lyamin, O. I. (1993). Sleep In The Harp Seal (Pagophilus Groenlandica). Comparisons Of Sleep On Land And In Water. Journal Of Sleep Research, 2, 170-174.  

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"25","","Land","Balzamo & Bert, 1975","Papio Anubis","Baboon From Kenya","4","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","8","9.84","N/A","1.39","8.45","40","4","4","F","Adult","N/A","N/A","Adult","Mono","EH","Paper Said Kenyan Baboon And Not Olive Baboon As Previously Entered; 12 Hr. Recording Time","","","","","","","","","","","","","","","","","","","Balzamo, E., & Bert, J. (1975). Sleep In Papio Anubis: Its Organization And Lateral Geniculate Spikes [Abstract]. Sleep Research, 4, 138.

","No","Yes","Abstract","Not from Zepelin","No","No"
"35","","Land","Balzamo, 1973","Papio Cynocephalus","Primate","2","Yes","No","1 (Less than 12 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","7","6.1875","N/A","0.4888","5.6987","N/A","2","2","F","Adult","6-7 Years","Adult","Adult","Mono","EH","In French; Numbers Didn't Match Elgar's; Campbell & Tobler (1984) Reported 6.2 As TST For 7.5 Hr Recording Time; Was Comfortably Positioned In A Chair With Limbs Free To Move; TST From 6.2 To 6.1875; 

IC: Rec Time Unknown
EH: Rec Time In Paper","","","","","","","","","","","","","","","","","","","Balzamo, E. (1973). Etude Des Etats De Vigilance Chez Papio Cynocephalus Adulte. 
Comptes Rendus Des Seances De La Societe De Biologie, 167, 1168-1172.
  
","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"66","","Land","Bert, 1973","Papio Hamadryas","Baboon","6","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","8","9.83","N/A","1.2667","8.5666","N/A","6","6","F","N/A","6-7 Years","Adult","Adult","N/A","EH","In French; Campbell & Tobler (1984) Had Same TST; 12.5 Hr Recording Time From Campbell & Tobler (1984)","","","","","","","","","","","","","","","","","","","Bert, J. (1973). Similitudes Et Differences Du Sommeil Chez Deux Babouins, Papio Hamadryas Et Papio Papio. Electroencephalography & Clinical Neurophysiology, 35(2), 209-212.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"54","","Land","Bert & Collomb, 1966","Papio Papio","Baboon","2","Yes","Telemetry / Radiotelemetry Used","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","12","7.8","N/A","0.87","6.93","33","10","10","F","Adult","N/A","N/A","Adult","N/A","EH","In French; Obtained Data From Elgar Et Al., 1988; Recording Time In Pegram, 1972 Is 12 Hours; Data Quality Score Is From Original Bert & Collomb, 1966 Paper; We Believe Data Are Combined For The 2 Species","","","","","","","","","","","","","","","","","","","Bert, J., & Collomb, H. (1966). L’electroencephalogramme Du Sommeil Nocturne Chez Le Babouin. Etude Par Telemetrie. Journal Of Physiology (Parris), 58, 285-301.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"63","","Land","Bert Et Al., 1975","Papio Papio","Baboon","8","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","0","9","9.35","N/A","1.03","8.32","N/A","8","8","F","Adult","N/A","N/A","Adult","N/A","EH","Data Are Reported For 'natural Conditions' (a Cage Outside In The Open Areas) And Not The Wild; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Bert, J., Balzamo, E., Chase, M., & Pegram, V. (1975). The Sleep Of The Baboon, Papio Papio, Under Natural Conditions And In The Laboratory. Electroencephalography & Clinical Neurophysiology, 39, 657-662.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"64","","Land","Bert, 1970","Papio Papio","Baboon","4","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","8","10.413","N/A","0.879","9.534","N/A","4","4","F","Adult","N/A","N/A","Adult","N/A","EH","In French; 13 Hr Rec Time","","","","","","","","","","","","","","","","","","","Bert, J. (1970). Adaptation Du Sommeil Aux Conditions Experimentales D’enregistrement Chez Deux Cercopithecinae (Papio Papio Et Macaca Radiata). Proceeding Of 3rd International Congress On Primatology, 2, 49-53.

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"67","","Land","Bert, 1973","Papio Papio","Baboon","6","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","Yes","0","8","10.8","N/A","1.2167","9.5833","N/A","6","6","F","Adult","N/A","N/A","Adult","N/A","EH","In French; 12.5 Hr Recording Time","","","","","","","","","","","","","","","","","","","Bert, J. (1973). Similitudes Et Differences Du Sommeil Chez Deux Babouins, Papio Hamadryas Et Papio Papio. Electroencephalography & Clinical Neurophysiology, 35(2), 209-212.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
