"search_id","ID","type","Reference","SpeciesName_Reported","CommonName_Reported","N","EEG","Telemetry","Twenty_four_hour","Light","Adaptation","Diet","Temperature","Restraint","Behavioural","Total_lab_condition_score","Total_daily_sleep","Sleep_time_adjusted_for_drowsiness","Daily_PS_time","Quiet_sleep_time","Sleep_cycle_length","Number_of_animals_in_calculated_mean","Animals_sampled","Sex","Age_class_reported","Absolute_age_reported","Hayssen_age_class","Summary_age_class","Monophasic_polyphasic","Data_entered_by","Notes_Misc","Error","Error_Note","Total_daily_sleep_time_in_water","Total_daily_sleep_time_on_land","Daily_PS_time_in_water","Daily_PS_time_on_land","Daily_PS_time_in_water_bihemispheric","Daily_PS_time_on_land_bihemispheric","Quiet_sleep_time_on_land_bihemispheric","Quiet_sleep_time_in_water_bihemispheric","Bilateral_desynchronization","Unilateral_synchronization","Bilateral_synchronization","USWS","BSWS","ASWS","Quiet_sleep_time_in_water","Quiet_sleep_time_on_land","Full_Reference","PDF","Paper_photocopied","Type_of_paper","Data_came_from","Foreign_language","Post1988"
"270","","Land","Valatx & Bugat, 1974","BALB/c","BALB/c","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","13.167","N/A","0.9917","12.175","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. 

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"116","","Land","Galvao Et Al., 1983","Bradypus Tridactylus","Three-toed Sloth","3","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","10","8.3536","2.7138","0.8725","7.4809","42.87","3","3","M","N/A","N/A","N/A","N/A","Poly","EH","Used Group III; N=4; Separated According Tos Ex; Used Table 2. Group III States 2 Males And 2 Females; We Went With The Table Wrt Sex - IC: Sleep Cycle From Table 2. Age Not Clear From The Paper, But The Body Mass Suggests The Males Were Adults","","","","","","","","","","","","","","","","","","","Galvao De Moura Filho, A. G., Huggins, S. E., & Lines, S. G. (1983). Sleep And Waking In The Three-toed Sloth, Bradypus Tridactylus. Comparative Biochemical Physiology,  A, 76(2), 345-355.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"269","","Land","Valatx & Bugat, 1974","C3H/He","C3H/He","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","12.134","N/A","1.1167","11.017","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. 

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"266","","Land","Valatx & Bugat, 1974","C57BL/6J","C57BL/6J","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","12.495","N/A","1.2933","11.202","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. 

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"265","","Land","Valatx & Bugat, 1974","C57BR","C57BR","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","12.05","N/A","1.3667","10.683","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. 

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"81","","Land","Crofts Et Al., 2001","Callithrix Jacchus","Common Marmoset","4","Yes","Telemetry / Radiotelemetry Used","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","12","9.5061","N/A","1.468","8.0831","50","2","2","M","N/A","N/A","N/A","Unknown","N/A","EH","Data For Males; Unclear If Adult Or Juv; No Body Weight Given; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Crofts, H. S., Wilson, S., Muggleton, N. G., Nutt, D. J., Scott, E. A., & Pearce, P. C. (2001). Investigation Of The Sleep Electrocorticogram Of The Common Marmoset (Callithrix Jacchus) Using Radiotelemetry. Clinical Neurophysiology, 112(12), 2265-2273.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"138","","Land","Kantha & Suzuki, 2006","Callithrix Jacchus","Common Marmoset","5","No","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","0","7","12.383","N/A","N/A","N/A","104.8","5","5","M","N/A","0.8-10 Years","Adult & Juvenile","Adult & Juvenile","N/A","EH","Only Mean TST Taken; Sleep Cycle Includes One Baby Which May Account For Why It's So High; Does Not State If 0.8 Years Is Infant Or Juv","","","","","","","","","","","","","","","","","","","Kantha, S. S., & Suzuki, J. (2006). Sleep Quantitation In Common Marmoset, Cotton Top Tamarin And Squirrel Monkey By Non-invasive Actigraphy. Comparative Biochemistry & Physiology, Part A, 144, 203-210.
  
","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"191","","Marine","Mukhametov Et Al., 1984B","Callorhinus Ursinus","Northern Fur Seal","3","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","N/A","Normal","No","N/A","N/A","10","8.712","N/A","1.392","7.32","22.6","3","3","M","Sub-adult","Subadult","N/A","Unclassified","N/A","EH","Sea Mammals; Age Is Unclear; Not Sure If Adult Or Juv","","","","","","","","","","","","","","","","","","","Mukhametov, L. M., Lyamin, O. I., & Polyakova, I. G. (1984B). [Sleep And Wakefulness In Northern Fur Seals (Callorhinus Ursinus)]. [Russian] Zh Vyssh Nerv Deiat Im I P Pavlova, 34(3), 465-471.

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"192","","Marine","Mukhametov Et Al., 1985","Callorhinus Ursinus","Northern Fur Seal","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","13","7.272","N/A","1.68","5.592","N/A","1","1","M","N/A","3.5 Years","Juvenile","Juvenile","N/A","EH","Sea Mammals; Data Reported For 1 Male Aged 3.5 Years; Age Absolute Reported As 2m--22y; Not Sure If 3.5 Yrs Is Juv Or Adult; Zepelin (1989) Had Different Numbers; 24 Hour Recording","","","","","","","","","","","","","","","","","","","Mukhametov, L. M., Lyamin, O. I., & Polyakova, I. G. (1985). Interhemispheric 
Asynchrony Of The Sleep EEG In Northern Fur Seals. Experientia, 41(8), 1034-1035.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"41","","Land","Baumgardner Et Al., 1980","Calomys Callosus","Laucha De Campo","12","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","6.9968","N/A","N/A","N/A","N/A","12","12","M","N/A","90-120 Days","Adult","Adult","Mono","EH","TS Only; Took % Of Day And Night And Combined Totals; Do Not Know Exact Age B/c Gave Range Of 90-120 Days; 16hr/8hr Reverse Schedule; Females Excluded","","","","","","","","","","","","","","","","","","","Baumgardner, D. J., Ward, S. E., & Dewsbury, D. A.  (1980). Diurnal Patterning Of Eight Activities In 14 Species Of Muroid Rodents. Animal Learning & Behavior, 8, 322-330.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"291","","Land","Tobler Et Al., 1993","Cavia Porcellus","Guinea Pig","9","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","7.73","N/A","1.3","6.43","N/A","9","9","M","Adult","N/A","N/A","Adult","Poly","IC","None","","","","","","","","","","","","","","","","","","","Tobler, I., Franken, P., & Jaggi, K. (1993). Vigilance States, EEG Spectra, And Cortical Temperature In The Guinea Pig. American Journal Of Physiology, 264, R1125-R1132.","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"268","","Land","Valatx & Bugat, 1974","CBA","CBA","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","13.542","N/A","1.1083","12.433","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. 

","No","Yes","Abstract","Not from Zepelin","Yes","No"
"2","","Land","Affanni Et Al., 2001","Chaetophractus Villosus","South American Armadillo","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","1","10","20.414","N/A","4.4784","15.936","N/A","5","5","M","Adult","N/A","N/A","Adult","N/A","EH","N=15; 10 Armadillos And 5 Unspecified Animals; The 5 Animals Were Subjected To 24-hour Recordings So We Used Them","","","","","","","","","","","","","","","","","","","Affanni, J. M., Cervino, C. O., & Marcos, H. J. A. (2001). Absence Of Penile Erections During Paradoxical Sleep. Peculiar Penile Events During Wakefulness And Slow Wave Sleep In The Armadillo. Journal Of Sleep Research, 10, 219-228.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"179","","Land","McNew Et Al., 1972","Chimpanzee","Chimpanzee","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","12","13.76","N/A","2.24","11.52","101.8","1","1","M","Immature","Immature","N/A","Unclassified","N/A","EH","Study Used One Immature Male Chimp","","","","","","","","","","","","","","","","","","","McNew, J. J., Burson, R. D., Hoshizaki, T., & Adey, W. R. (1972). Sleep-wake Cycle Of An Unrestrained Isolated Chimpanzee Under Entrained And Free Running Conditions.  Aerospace Medicine, 43, 155-161.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"267","","Land","Valatx & Bugat, 1974","DBA/2","DBA/2","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","13.125","N/A","1.1417","11.983","N/A","8","8","M","N/A","10-12 Weeks","Adult & Juvenile","Adult & Juvenile","N/A","EH","In French","","","","","","","","","","","","","","","","","","","Valatx, J. L., & Bugat, R. (1974). [Genetic Factors As Determinants Of The Waking-sleep Cycle In The Mouse (author's Transl)]. Brain Research, 69(2), 315-330. ","No","Yes","Abstract","Not from Zepelin","Yes","No"
"167","","Marine","Lyamin Et Al., 2002A","Delphinapterus Leucas","White Whale","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","Yes","1","12","10.32","N/A","0","10.32","N/A","1","1","M","Sub-adult","Sub-adult","N/A","Unclassified","N/A","EH","Sea Mammals; Data Also Available On State Of The Eyes And SWS Amplitude Diffs; Does Not State Whether Adult Or Juv; Does Not Report PS; All SWS","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Mukhametov, L. M., Siegel, J. M., Nazarenko, E. A., Polyakova, I. G., & Shpak, O. V. (2002A). Unihemispheric Slow Wave Sleep And The State Of The Eyes In A White Whale. Behavioural Brain Research, 129(1-2), 125-129.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"168","","Marine","Lyamin Et Al., 2002B","Delphinapterus Leucas","Beluga Whale","1","No","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","No","1","8","9.338","N/A","0.049","9.289","N/A","1","1","M","Adult","N/A","N/A","Adult","N/A","EH","Sea Mammals; Observational Data; Muscle Jerks Considered REM; Bottom Of Pool NREM; 1.2% Of Time Unknown Based On Observation Only; 14 Hour Recording Period","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Shpak, O. V., Nazarenko, E. A., & Mukhametov, L. M. (2002B). Muscle Jerks During Behavioral Sleep In A Beluga Whale (Delphinapterus Leucas L.). Physiology & Behavior, 76(2), 265-270.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"169","","Marine","Lyamin Et Al., 2004","Delphinapterus Leucas","Beluga Whale","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","13","10.32","N/A","3.84","6.48","N/A","1","1","M","Adult","N/A","N/A","Unknown","N/A","EH","Sea Mammals; Combined LA And HA SWS; Sea Mammals; Age Is Unclear","","","","","","","","","","","","","","","4.08","3.6","","","Lyamin, O. I., Mukhametov, L. M., & Siegel, J. M.  (2004). Relationship Between Sleep And Eye State In Cetaceans And Pinnipeds. Archives Of Italian Biology, 142, 557-568.

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"163","","Marine","Lyamin Et Al., 2000","Enhydra Lutris","Sea Otter","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","7.584","N/A","N/A","7.584","N/A","1","1","M","N/A","6-8 Months","Infant & Juvenile","Infant & Juvenile","N/A","EH","Sea Mammals; Based On Beh Observation Only; Male Only; No REM Scored; Used Series I","","","","","","","","","","","","","","","","","","","Lyamin, O. I., Oleksenko, A. I., & Sevostiyanov, V. F., Nazarenko, E. A., & Mukhametov, L. M. (2000). Behavioral Sleep In Captive Sea Otters. Aquatic Mammals, 26, 132-136. 

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"96","","Land","Estep Et Al., 1978","Eutamias Dorsalis","Cliff Chipmunk","6","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","15.288","N/A","N/A","N/A","N/A","6","6","M","Adult","N/A","N/A","Adult","Poly","EH","Only TST Available; Males Only","","","","","","","","","","","","","","","","","","","Estep, D., Canney, E. L., Cochran, C. C., & Hunter, J. L. (1978). Components Of Activity And Sleep In Two Species Of Chipmunks: Tamias Striatus Amd Eutomias Dorsalis. Bulletin Of The Psychonomic Society, 12, 341-343. 

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"93","","Land","Dijk & Daan, 1989","Eutamias Sibiricus","Siberian Chipmunk Or Burunduk","8","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","12.672","N/A","2.904","9.768","N/A","8","8","M","Adult","N/A","N/A","Adult","N/A","EH","Really 6 Animals B/c Missing Data From Dark Period; Averaged 12 Hr. Light And 12 Hr. Dark Period; Sum Is Over 24 Hours (24.912); Took Average Of Sample Because 9 Animals In Light And 7 In Dark; Paper Stated Sexually Mature Males","","","","","","","","","","","","","","","","","","","Dijk, D. J. & Daan, S.  (1989). Sleep EEG Spectral Analysis In A Diurnal Rodent:  
Eutamias Sibiricus. Journal Of Comparative Physiology, A, 165, 205-215.

","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"224","","Land","Sato & Kawamura, 1984","Eutamias Sibiricus","Siberian Chipmunk","5","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","0","10","9.2712","N/A","2.472","6.7992","N/A","5","5","M","Adult","N/A","N/A","Adult","N/A","EH","None","","","","","","","","","","","","","","","","","","","Sato, T., & Kawamura, H. (1984). Effects Of Bilateral Suprachiasmatic Nucleus Lesions On The Circadian Rhythms In A Diurnal Rodent, The Siberian Chipmunk (Eutamias Sibiricus).  Journal Of Comparative Physiology, A, 155, 745-752.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"145","","Land","Kiyono, 1975","Gunn Rat","Gunn Rat","18","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","N/A","0","9","13.176","N/A","1.896","11.28","N/A","18","18","M","Adult","100 Days","Adult","Adult","N/A","EH","Used Control Animals","","","","","","","","","","","","","","","","","","","Kiyono, S. (1975). Sleep Studies In Gunn Rats. [Abstact]. Sleep Research, 4, 227.

","No","Yes","Abstract","Not from Zepelin","No","No"
"194","","Marine","Mukhametov, 1987","Inia Geoffrensis","Amazonian Dolphin","1","Yes","Telemetry / Radiotelemetry Used","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","12","8.76","N/A","N/A","8.76","N/A","1","1","M","Infant","Several Weeks","Infant","Infant","N/A","EH","Sea Mammals; 1 Adult Female But Data For Infant Male; Male Injected With Diazepam To Induce Unihemispheric SWS; Sleep % Available For Right Hemi 42%, 31% Left Hemi","","","","","","","","","","","","","","","","","","","Mukhametov, L. M. (1987). Unihemispheric Slow-wave Sleep In The Amazonian Dolphin, Inia Geoffrensis. Neuroscience Lettters, 79(1-2), 128-132.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"323","","Marine","Goley, 1993","Lagenorhynchus Obliquidens","White-sided Dolphin","1","No","No","3 (24 hour recording period)","Normal light/dark conditions","Yes","Normal","No","No","1","9","7","","","","","1","1","M","Adult","","N/A","","N/A","EH","Paper Talks About 3 Female Sub-adults As Well, But Data Is Only For The Adult Male.","","","","","","","","","","","","","","","","","","","Goley, D. G. (1993). Behavioral Aspects Of Sleep In Pacific White-sided Dolphins (Lagenorhynchus Obliquidens, Gill 1865). Marine Mammal Science, 15(4), 1054-1064. ","No","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"32","","Land","Balzamo Et Al., 1978B","Lemur Macaco Fulvus","In French","1","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","No","1","10","9.648","N/A","0.84","8.808","N/A","1","1","M","Adult","N/A","N/A","Adult","N/A","EH","In French; Data Matched Elgar Et Al. 1988; Changed Daily_PS From .338 To .84; Quiet Sleep Changed From 9.3103 To 8.808","","","","","","","","","","","","","","","","","","","Balzamo, E., Vuillon-Cacciuttolo, G., Petter, J., & Bert, J. (1978B). Etats De Vigiliance Chez Deux Lemuridae: Rhythmes EEG Et Organization Obtenus Par Telemesure. Wake Sleep, 2, 237-245.  

","No","Yes","Scientific Paper","Not from Zepelin","Yes","No"
"151","","Land","Leinonen & Stenberg, 1986","Macaca Arctoides","Monkey","1","Yes","No","2 (At least 12, but less than 24 hours)","Normal light/dark conditions","Yes","Normal","No","N/A","1","9","9.24","N/A","1.08","8.16","50","1","1","M","Adult","7 Years","Adult","Adult","N/A","EH","Sleep Quotas Calculated For Control Nights; 1 Male; Data Are For A 4 Year Old Male Is Available, But It Seemed More Like An Adolescent And Not A Juvenile; We Already Have It Calc. And Can Enter It If Necessary; 12 Hr. Rec. Time","","","","","","","","","","","","","","","","","","","Leinonen, L., & Stenberg, D. (1986). Sleep In Macaca Arctoides And The Effects Of Prazosin. Physiology & Behavior, 37(2), 199-202.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
"34","","Land","Balzamo Et Al., 1998","Macaca Mulatta","Rhesus Monkey","6","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","Yes","1","10","8.9472","N/A","0.975","7.9722","N/A","6","6","M","Adult","N/A","N/A","Adult","N/A","EH","In Epochs B/c % Agreement W/video And EEG Recordings; Average Between Light And Dark Period; Only Took #s For EEG Recordings","","","","","","","","","","","","","","","","","","","Balzamo, E., Van Beers, P., & D. Lagarde. (1998). Scoring Of Sleep And Wakefulness 
By Behavioral Analysis From Video Recordings In Rhesus Monkeys: Comparison 
With Conventional EEG Analysis. Electroencephalography & Clinical Neurophysiology, 106, 206-212.

","Yes","Yes","Scientific Paper","Not from Zepelin","No","Yes"
"86","","Land","Crowley Et Al., 1972","Macaca Mulatta","Monkey","34","Yes","No","3 (24 hour recording period)","Normal light/dark conditions","No","Normal","No","Yes","0","8","11.8","N/A","N/A","N/A","N/A","34","34","M","N/A","N/A","N/A","Unknown","Mono","EH","We Could Not Extract Data B/c Sleep Stages Plotted In A Graph; Current Data Are From Campbell & Tobler (1984) And Has Species As Rhesus Monkey; Age Is Unclear; Did Not Specify Adult Or Juv","","","","","","","","","","","","","","","","","","","Crowley, T. J., Kripke, D. F., Halberg, F., Pegram, G.V., & Schildkraut, J. J. (1972).  
Circadian Rhythms Of Macaca Mulatta: Sleep, EEG, Body And Eye Movement, 
And Temperature. Primates, 13, 149-168.

","No","Yes","Scientific Paper","Not from Zepelin","No","No"
