item,printed_label,canonical_specimen,value_kind,overlap_status,source_institution,merge_treatment,note
Young_etal_2013_Table1,Otolemur garnettii (n=3),KAAS-OTO-08-07,species mean over three animals,partial_overlap,Vanderbilt University,keep pooled row and flag partial overlap,"Case 08-07 is one member; the other two are unresolved, so the mean cannot be decomposed."
Young_etal_2013_Table1,Aotus nancymaae (n=1),KAAS-AOTUS-07-78,single-specimen regional M1 measurement,probable,Vanderbilt University,do not treat as independent of Collins 2010,"Mass and surface fingerprint Collins case 07-78."
Young_etal_2013_Table1,Saimiri sciureus (n=1),NA,single-specimen regional M1 measurement,no_known_overlap,Vanderbilt University,retain as distinct,No Collins 2010 squirrel monkey.
Young_etal_2013_Table1,Macaca nemestrina (n=2),NA,species mean over two animals,no_known_overlap,Washington National Primate Research Center,retain as distinct,"Collins 2010 used M. mulatta case 08-59."
Young_etal_2013_Table1,Papio cynocephalus anubis,KAAS-PAPIO-09-27,single-specimen regional M1 measurement,probable,Washington National Primate Research Center,exclude duplicate when Collins 2010 is present,"Exact 18577 mm2 fingerprint; case omitted in this paper."
Young_etal_2013_Table1,Papio hamadryas anubis,KAAS-PAPIO-11-31,single-specimen regional M1 measurement,probable,Texas Biomedical Research Institute,retain as distinct normal baboon,"Exact 23400 mm2 fingerprint; case omitted in this paper."
Young_etal_2013_Table1,Pan troglodytes,KAAS-PAN-11_38,single-specimen regional M1 measurement,probable,Texas Biomedical Research Institute,do not treat as independent of Collins 2016,"Same team and singular Texas chimp; matching 27% neurons; no Young case number."
Collins_etal_2010_DatasetS1,Papio cynocephalus anubis (09-27),KAAS-PAPIO-09-27,single-specimen whole-cortex pieces,matched,Washington National Primate Research Center,identity anchor,Case and 18577.4 mm2 printed.
Young_etal_2013_b_Table1,PHX (09-27),KAAS-PAPIO-09-27,single-specimen whole-cortex and regional data,matched,Washington National Primate Research Center,exclude duplicate of Collins 2010,Case printed.
Young_etal_2013_b_Table1,PHA (11-31),KAAS-PAPIO-11-31,single-specimen whole-cortex and regional data,matched,Texas Biomedical Research Institute,retain as distinct normal baboon,Case printed.
Turner_etal_2016_Table1,PHX (9-27),KAAS-PAPIO-09-27,comparison case,matched,Washington National Primate Research Center,exclude duplicate of Collins 2010,Case and 186.0 cm2 printed.
Turner_etal_2016_Table1,PHA (11-31),KAAS-PAPIO-11-31,comparison case,matched,Texas Biomedical Research Institute,retain as distinct normal baboon,Case and 234.0 cm2 printed.
Collins_etal_2016_Table1,Pan troglodytes (53-year-old female),KAAS-PAN-11_38,single-specimen right-hemisphere measurements,matched,Texas Biomedical Research Institute,identity anchor for Collins/Turner/Miller chain,"Case supplied by public dissertation evidence; Young relation remains probable."
