source_publication,item_reference,code,species_as_printed,n,canonical_specimen,decision,rationale
Baron_etal_1983,Baron_etal_1983_Table1,577,Tenrec ecaudatus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,579,Setifer setosus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,581,Hemicentetes semispinosus,1,STEPHAN-HEMISEMI-581,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-HEMISEMI-581.
Baron_etal_1983,Baron_etal_1983_Table1,585,Echinops telfairi,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,689,Erinaceus algirus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,695,Erinaceus europaeus,5,,pooled_accession_excluded,n=5 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,701,Hemiechinus auritus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,715,Sorex araneus,5,,pooled_accession_excluded,n=5 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,769,Sorex minutus,1,STEPHAN-SOREMINU-769,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SOREMINU-769.
Baron_etal_1983,Baron_etal_1983_Table1,943,Crocidura flavescens,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1071,Crocidura russula,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1137,Suncus murinus,1,STEPHAN-SUNCMURI-1137,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SUNCMURI-1137.
Baron_etal_1983,Baron_etal_1983_Table1,575,Solenodon paradoxus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,589,Oryzorictes talpoides,1,STEPHAN-ORYZTALP-589,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ORYZTALP-589.
Baron_etal_1983,Baron_etal_1983_Table1,595,Microgale cowani,1,STEPHAN-MICRCOWA-595,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-MICRCOWA-595.
Baron_etal_1983,Baron_etal_1983_Table1,601,Microgale dobsoni,1,STEPHAN-MICRDOBS-601,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-MICRDOBS-601.
Baron_etal_1983,Baron_etal_1983_Table1,629,Microgale talazaci,1,STEPHAN-MICRTALA-629,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-MICRTALA-629.
Baron_etal_1983,Baron_etal_1983_Table1,633,Limnogale mergulus,1,STEPHAN-LIMNMERG-633,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-LIMNMERG-633.
Baron_etal_1983,Baron_etal_1983_Table1,637,Potamogale velox,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,639,Micropotamogale lamottei,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,643,Chrysochloris asiatica,1,STEPHAN-CHRYASIA-643,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CHRYASIA-643.
Baron_etal_1983,Baron_etal_1983_Table1,645,Chrysochloris stuhlmanni,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,839,Neomys fodiens,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1205,Desmana moschata,1,STEPHAN-DESMMOSC-1205,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-DESMMOSC-1205.
Baron_etal_1983,Baron_etal_1983_Table1,1207,Galemys pyrenaicus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1215,Talpa europaea,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1263,Tupaia glis,20,,pooled_accession_excluded,n=20 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1269,Tupaia minor,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,1289,Urogale everetti,1,STEPHAN-UROGEVER-1289,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-UROGEVER-1289.
Baron_etal_1983,Baron_etal_1983_Table1,3199,Microcebus murinus,6,,pooled_accession_excluded,n=6 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3203,Cheirogaleus major,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3205,Cheirogaleus medius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3215,Lemur albifrons,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3227,Varecia variegata,1,STEPHAN-VAREVARI-3227,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-VAREVARI-3227.
Baron_etal_1983,Baron_etal_1983_Table1,3239,Lepilemur ruficaudatus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3243,Avahi laniger laniger,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3244,Avahi laniger occidentalis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3247,Propithecus verreauxi,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3249,Indri indri,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3251,Daubentonia madagascariensis,1,STEPHAN-DAUBMADA-3251,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-DAUBMADA-3251.
Baron_etal_1983,Baron_etal_1983_Table1,3253,Loris tardigradus,1,STEPHAN-LORITARD-3253,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-LORITARD-3253.
Baron_etal_1983,Baron_etal_1983_Table1,3255,Nycticebus coucang,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3259,Perodicticus potto,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3265,Galago senegalensis,1,STEPHAN-GALASENE-3265,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-GALASENE-3265.
Baron_etal_1983,Baron_etal_1983_Table1,3267,Otolemur crassicaudatus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3275,Galagoides demidoff,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3282,Tarsius spp.,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3287,Callithrix jacchus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3289,Cebuella pygmaea,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3306,Saguinus midas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3311,Saguinus oedipus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3315,Callimico goeldii,1,STEPHAN-CALLGOEL-3315,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CALLGOEL-3315.
Baron_etal_1983,Baron_etal_1983_Table1,3324,Cebus spp.,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3325,Aotus trivirgatus,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3327,Callicebus moloch,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3335,Saimiri sciureus,1,STEPHAN-SAIMSCIU-3335,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-SAIMSCIU-3335.
Baron_etal_1983,Baron_etal_1983_Table1,3341,Pithecia monachus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3366,Alouatta spp.,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3371,Ateles geoffroyi,1,STEPHAN-ATELGEOF-3371,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ATELGEOF-3371.
Baron_etal_1983,Baron_etal_1983_Table1,3379,Lagothrix lagothricha,3,,pooled_accession_excluded,n=3 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3391,Macaca mulatta,1,STEPHAN-MACAMULA-3391,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-MACAMULA-3391.
