species_row	Species_Baron1996	nuclei_lemnisci_lateralis_mm3	corpus_geniculatum_mediale_mm3	corpus_geniculatum_laterale_mm3	cgl_dorsal_part_mm3	cgl_ventral_part_mm3	source_pdf_page
1	Cynopterus brachyotis	0.946	2.584	6.966	5.14	1.826	136
2	Cynopterus horsfieldi	1.248	4.05	7.74	6.178	1.562	136
3	Eonycteris spelaea	1.486	4.726	6.346	4.68	1.666	136
4	Rhinolophus hipposideros	1.13	1.034	0.198	0.178	0.02	136
5	Hipposideros bicolor	2.184	2.692	0.42	0.312	0.108	136
6	Asellia tridens	2.196	3.04	0.876	0.534	0.342	136
7	Noctilio leporinus	6.074	13.276	1.646	1.254	0.392	136
8	Phyllostomus discolor	2.458	4.99	2.14	1.7	0.44	136
9	Glossophaga soricina	2.148	4.386	0.916	0.682	0.234	136
10	Carollia perspicillata	2.436	3.722	1.074	0.728	0.346	136
11	Sturnira lilium	1.722	3.02	1.318	1.058	0.26	136
12	Vampyrops helleri	1.856	3.188	1.372	1.074	0.298	136
13	Artibeus jamaicensis	3.554	7.026	1.964	1.456	0.508	136
14	Artibeus lituratus	4.154	7.56	2.75	2.256	0.494	136
15	Desmodus rotundus	2.608	8.64	1.116	0.844	0.272	136
16	Myotis bechsteini	1.796	2.598	0.278	0.196	0.082	136
17	Myotis myotis	3.418	4.928	0.97	0.636	0.334	136
18	Myotis nattereri	2.064	2.348	0.272	0.186	0.086	136
19	Tadarida leucostigma	2.058	4.528	0.842	0.562	0.28	136
