"Species"	"common_name"	"specimen"	"structure"	"hemisphere"	"method"	"area_cm2"	"pct_neocortex"	"where_in_paper"	"source"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"cerebral neocortex"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	766	100	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"cerebral neocortex"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	803	100	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"frontal lobe"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	278	36	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"frontal lobe"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	297	37	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"temporal lobe"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	161	21	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"temporal lobe"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	161	20	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"parietal lobe"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	139	18	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"parietal lobe"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	161	20	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"occipital lobe"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	144	19	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"occipital lobe"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	145	18	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"limbic lobe"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	46	6	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"limbic lobe"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	40	5	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"sulcal cortex (total)"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	536	70	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"sulcal cortex (total)"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	554	69	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"gyral cortex (total)"	"left"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	230	30	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"gyral cortex (total)"	"right"	"surface reconstruction from Visible Man digital images (1 mm sections); tile-area sum on 3-D reconstruction"	249	31	"Table 1"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"V1"	"right"	"surface reconstruction; average-sized V1 (Rademacher et al. 1993 architectonic extents mapped to Visible Man)"	22	2.7	"text (Results, 'Estimating the extent of area V1')"	"VanEssen_Drury_1997_Table1"
"Homo sapiens"	"human"	"Visible Man (Visible Human Project, National Library of Medicine; single adult male cadaver digital atlas)"	"V1"	"left"	"surface reconstruction; average-sized V1 (Rademacher et al. 1993 architectonic extents mapped to Visible Man)"	26	3.4	"text (Results, 'Estimating the extent of area V1')"	"VanEssen_Drury_1997_Table1"
