"species_as_printed"	"source_author"	"body_weight_g"	"brain_weight_g"	"spinal_cord_weight_g"	"brain_spinal_cord_ratio"	"source_location"	"data_role"
"Homo sapiens"	"Krompecher"	54333	1273.7	29.7	42.8	"Table 2, p. 117"	"primary"
"Orang-utan"	"Krompecher"	21000	316	9.5	33.3	"Table 2, p. 117"	"primary"
"Seal (Phocoena communis)"	"Ziehen"	NA	NA	NA	20	"Table 2, p. 117"	"secondary"
"Blackheaded parrot (Adapornis personata)"	"Krompecher"	40	1.92	0.12	16	"Table 2, p. 117"	"primary"
"Cerkof monkey (Macacus sinicus)"	"Krompecher"	1538	67.5	4.7	14.3	"Table 2, p. 117"	"primary"
"Sparrow (Passer domesticus)"	"Krompecher"	27	1	0.085	11.8	"Table 2, p. 117"	"primary"
"Greyback crow (Corvus cornix)"	"Ziehen"	NA	NA	NA	11.4	"Table 2, p. 117"	"secondary"
"Finch (Fringilla domestica)"	"Ziehen"	NA	NA	NA	10.9	"Table 2, p. 117"	"secondary"
"Swallow (Hirundo rustica)"	"Krompecher"	18	0.535	0.08	6.7	"Table 2, p. 117"	"primary"
"Swallow (Hirundo rustica)"	"Krompecher"	20	0.492	0.075	6.6	"Table 2, p. 117"	"primary"
"Dog (Canis familiaris)"	"Krompecher"	7150	62	10	6.2	"Table 2, p. 117"	"primary"
"Dog (Canis familiaris)"	"Krompecher"	12300	83	13.5	6.1	"Table 2, p. 117"	"primary"
"White mouse (mus musculus albus)"	"Krompecher"	16.5	0.425	0.075	5.6	"Table 2, p. 117"	"primary"
"Bat (Vespertilio serotinus)"	"Ziehen"	NA	NA	NA	5.1	"Table 2, p. 117"	"secondary"
"White mouse (mus musculus albus)"	"Krompecher"	19.6	0.43	0.085	5	"Table 2, p. 117"	"primary"
"Shrew-mouse (Sorex-vulgaris)"	"Ziehen"	NA	NA	NA	4.9	"Table 2, p. 117"	"secondary"
"Grey rat (Mus decomanus gris)"	"Krompecher"	77	1.66	0.35	4.7	"Table 2, p. 117"	"primary"
"Mole (Talpa europaea)"	"Ziehen"	NA	NA	NA	4.7	"Table 2, p. 117"	"secondary"
"Domestic mouse (Mus musculus)"	"Krompecher"	NA	0.35	0.075	4.6	"Table 2, p. 117"	"primary"
"Grey rat (Mus decomanus gris)"	"Krompecher"	85	1.75	0.4	4.4	"Table 2, p. 117"	"primary"
"Squirrel (Sciurus vulgaris)"	"Ziehen"	NA	NA	NA	4.3	"Table 2, p. 117"	"secondary"
"White rat (Mus decom. alb.)"	"Krompecher"	213.5	1.93	0.53	3.6	"Table 2, p. 117"	"primary"
"Guinea-pig (Cavia porcellus)"	"Latimer"	649.4	4	1.1	3.6	"Table 2, p. 117"	"secondary"
"Porcupine (Erinaceus europaeus)"	"Ziehen"	NA	NA	NA	3.5	"Table 2, p. 117"	"secondary"
"Sheep (Ovis aries)"	"Krompecher"	NA	102	30	3.4	"Table 2, p. 117"	"primary"
"Cat (Felis domestica)"	"Krompecher"	4650	32	9.5	3.3	"Table 2, p. 117"	"primary"
"White rat (Mus decom. alb.)"	"Krompecher"	21	1.793	0.547	3.3	"Table 2, p. 117"	"primary"
"Pigeon (Columba domest.)"	"Krompecher"	335	2.03	0.62	3.2	"Table 2, p. 117"	"primary"
"Marmot (Arctomys marmota)"	"Krompecher"	1980	13.2	4.15	3.14	"Table 2, p. 117"	"primary"
"Pigeon (Columba domest.)"	"Krompecher"	326	1.79	0.575	3.1	"Table 2, p. 117"	"primary"
"Gopher (Cricetus frument.)"	"Ziehen"	NA	NA	NA	3.1	"Table 2, p. 117"	"secondary"
"Horse (Equus caballus)"	"Krompecher"	NA	532	215	2.5	"Table 2, p. 117"	"primary"
"Rabbit (Race X) (Oryctolagus cuniculus)"	"Latimer"	1565.4	9.1	3.9	2.3	"Table 2, p. 117"	"secondary"
"Hen (Gallus domest.)"	"Latimer"	1734.9	3.3	1.2	2.2	"Table 2, p. 117"	"secondary"
"Frog (Rana esculenta)"	"Krompecher"	48	0.117	0.054	2.2	"Table 2, p. 117"	"primary"
"Rabbit (Race III) (Oryctolagus cuniculus)"	"Krompecher"	2661.2	11.7	5.7	2.1	"Table 2, p. 117"	"primary"
"Cock (Gallus domest.)"	"Latimer"	2498.2	11.5	5.9	2	"Table 2, p. 117"	"secondary"
"Cock (Gallus domest.)"	"Krompecher"	1800	3.68	2.175	1.7	"Table 2, p. 117"	"primary"
