species_row	Species_Baron1996	n	net_brain_mm3	net_brain_pct_of_standard	ventricles_mm3	ventricles_pct_of_standard	rests_mm3	rests_pct_of_standard	source_pdf_page
1	Eidolon helvum	3	4018.6	97	68.5	1.7	53.8	1.3	46
2	Rousettus aegyptiacus	4	2112.6	96.2	21	1	63.3	2.9	46
3	R. amplexicaud. brachyot. §)	3	1278.9	98	12.7	1	13.4	1	46
4	R. amplexic. stresemanni §)	3	1624.7	97.8	17.5	1.1	19.1	1.1	46
5	Myonycteris torquata	3	1097.2	98.2	9.5	0.9	10.1	0.9	46
6	Pteropus alecto	2	6617.8	97.4	90.3	1.3	86.3	1.3	46
7	Pteropus conspicillatus	1	7848.6	97.4	117.6	1.5	93.7	1.2	46
8	Pteropus hypomelanus	1	4978.1	97.3	70.3	1.4	69.4	1.4	46
9	Pteropus lylei	4	5700.7	96.4	124	2.1	91.3	1.5	46
10	Pteropus mahaganus	2	4980.1	97.7	59.4	1.2	57.1	1.1	46
11	Pteropus neohibernicus	2	8486.6	96.5	190.9	2.2	119.8	1.4	46
12	Pteropus poliocephalus	2	6762.2	96.9	124.8	1.8	91.8	1.3	46
13	Pteropus samoensis	1	5448.9	97.5	76.9	1.4	64.9	1.2	46
14	Pteropus scapulatus	2	5074.1	98.1	49.9	1	49.8	1	46
15	Pteropus temmincki	2	4607.4	97.6	63.7	1.4	49	1	46
16	Pteropus tonganus	3	5730.2	97.6	82.2	1.4	58.2	1	46
17	Pteropus vampyrus	2	8501	96.6	201.8	2.3	101.2	1.1	46
18	Dobsonia inermis	3	2555.3	98	26.5	1	24.4	0.9	46
19	D. moluccensis magna §)	2	5018.1	97.3	81.5	1.6	56.8	1.1	46
20	D. molucc. anderseni §)	3	3616.1	97.8	39.2	1.1	40.7	1.1	46
21	Dobsonia praedatrix	3	2836.3	97	38.1	1.3	48.3	1.7	46
22	Hypsignathus monstrosus	3	3249.1	96.8	36.9	1.1	72.2	2.1	46
23	Epomops franqueti	3	2077.2	97.4	32.2	1.5	23.8	1.1	46
24	Epomophorus labiatus	3	1489.5	97.3	14.2	0.9	27.1	1.8	46
25	Micropteropus pusillus	3	779.5	97.8	7.6	1	10.1	1.3	46
26	Scotonycteris zenkeri	2	669.7	97.7	7.4	1.1	8.3	1.2	46
27	Casinycteris argynnis	5	791.1	97.8	8.5	1	9.4	1.2	46
28	Cynopterus brachyotis	3	926.8	97.9	9	1	11.1	1.2	46
29	Cynopterus horsfieldi	3	1301	98.2	10.8	0.8	13.5	1	46
30	Cynopterus sphinx sphinx	3	1129.9	97.6	13.4	1.2	14	1.2	46
31	Megaerops ecaudatus	2	755.8	98.2	6.8	0.9	6.7	0.9	46
32	Chironax melanocephalus	3	572.5	97.9	5.8	1	6.6	1.1	46
33	Sphaerias blanfordi	4	777.5	96.8	13.9	1.7	11.6	1.5	46
34	Balionycteris maculata	2	484.5	98	4.3	0.9	5.4	1.1	46
35	Nyctimene albiventer	2	3	97.8	3	1.1	3	1.1	47
36	Nyctimene robinsoni	2	1161.8	97.7	13.8	1.2	13.6	1.1	47
37	Nyctimene vizcaccia	3	933.7	97.9	8.1	0.9	11.9	1.2	47
38	Paranyctimene raptor	3	690.6	97.9	8.6	1.2	6.4	0.9	47
39	Eonycteris spelaea	3	1239.9	98.1	12	0.9	12.6	1	47
40	Megaloglossus woermanni	3	645	98.4	5.3	0.8	5.1	0.8	47
41	Macroglossus minimus	4	530.8	98	5.3	1	5.4	1	47
42	Macroglossus sobrinus	3	657.7	98.2	5.5	0.8	6.7	1	47
43	Syconycteris a. australis §)	1	541	98.3	3.9	0.7	5.2	1	47
44	S. australis papuana §)	3	595.3	98.4	5.1	0.8	4.8	0.8	47
45	Melonycteris melanops	3	1225.7	98.4	9.8	0.8	10.7	0.9	47
46	Nesonycteris woodfordi	3	965.5	98.4	8	0.8	8.1	0.8	47
47	Notopteris macdonaldi	3	1385	98.6	8.1	0.6	12.3	0.9	47
48	Rhinopoma hardwickei	3	260	98	2	0.8	3.4	1.3	47
49	Rhinopoma microphyllum	3	364.5	97.6	4.1	1.1	5	1.3	47
50	Emballonura monticola	3	157.4	98.2	1	0.7	1.8	1.1	47
51	Emballonura raffrayana	3	165	98.2	1.3	0.8	1.6	1	47
52	Emballonura semicaudata	3	173.8	97.9	1.4	0.8	2.4	1.3	47
53	Coleura afra	3	243.8	98.3	1.5	0.6	2.7	1.1	47
54	Rhynchonycteris naso	3	111.6	98	0.7	0.6	1.6	1.4	47
55	Saccopteryx bilineata	4	216.3	98.3	0.9	0.4	2.9	1.3	47
56	Saccopteryx canescens	1	122.8	97.9	0.8	0.6	1.9	1.5	47
57	Saccopteryx leptura	3	152.5	98.2	1	0.6	1.9	1.2	47
58	Cormura brevirostris	3	206.7	97.8	2.3	1.1	2.4	1.1	47
59	Peropteryx macro tis	3	154	98.5	0.9	0.6	1.4	0.9	47
60	Peropteryx trinitatis	3	129.7	98.1	1	0.8	1.6	1.2	47
61	Taphozous australis	2	488.9	98	3.8	0.8	6.4	1.3	47
62	Taphozous hildegardeae	3	514.6	97.8	6.3	1.2	5.2	1	47
63	Taphozous mauritianus	2	522.3	98.2	3.7	0.7	5.9	1.1	47
64	Taphozous melanopogon	3	506.7	97.9	3.8	0.7	7	1.4	47
65	Taphozous theobaldi	3	642.3	97.7	6	0.9	9	1.4	47
66	Taphozous saccolaimus	3	631.2	97.5	6.6	1	9.9	1.5	47
67	Cyttarops alecto		165.6	98	1.4	0.8	1.9	1.1	47
68	Craseonycteris thonglongyai	3	81.7	97.2	0.6	0.7	1.7	2	47
69	Nycteris arge	2	3	98.8	3	0.3	3	0.9	48
70	Nycteris grandis	4	674.2	98.5	3.7	0.5	6.5	1	48
71	Nycteris hispida	1	270.2	98.6	1.4	0.5	2.5	0.9	48
72	Nycteris javanica	1	447.3	98.6	2.7	0.6	3.7	0.8	48
