"source"	"doi"	"source_table"	"taxon_level"	"species_printed"	"Species"	"specimen_id"	"observation_level"	"n_specimens"	"age_class"	"age_detail"	"sex"	"hemisphere"	"region_printed"	"region"	"m1_compatible"	"layer_printed"	"layer"	"layer_status"	"measure"	"statistic"	"value"	"unit"	"uncertainty_type"	"uncertainty_value"	"n_sampling_locations"	"sampling_detail"	"value_basis"	"source_location"	"curation_note"
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer I"	"I"	"present"	"absolute thickness"	"mean"	803	"um"	"SD"	74	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer II"	"II"	"present"	"absolute thickness"	"mean"	203	"um"	"SD"	11	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer III"	"III"	"present"	"absolute thickness"	"mean"	832	"um"	"SD"	69	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer IV"	"IV"	"absent"	"absolute thickness"	"mean"		"um"			10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed absence (-)"	"Table 1, PDF page 4"	"Layer IV explicitly absent in this region."
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer V"	"V"	"present"	"absolute thickness"	"mean"	484	"um"	"SD"	18	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Layer VI"	"VI"	"present"	"absolute thickness"	"mean"	537	"um"	"SD"	17	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Motor cortex"	"primary motor cortex"	TRUE	"Gray/white matter junction"	"total cortex"	"not applicable"	"absolute thickness"	"mean"	2859	"um"	"SD"	152	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer I"	"I"	"present"	"absolute thickness"	"mean"	465	"um"	"SD"	34	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer II"	"II"	"present"	"absolute thickness"	"mean"	203	"um"	"SD"	8	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer III"	"III"	"present"	"absolute thickness"	"mean"	431	"um"	"SD"	21	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer IV"	"IV"	"present"	"absolute thickness"	"mean"	261	"um"	"SD"	14	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer V"	"V"	"present"	"absolute thickness"	"mean"	469	"um"	"SD"	19	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
"Jacobs_etal_2016_Table1"	"10.1002/cne.23841"	"Table 1"	"species"	"Newborn giraffe"	"Giraffa camelopardalis"	"newborn_giraffe_1"	"single-specimen summary"	1	"newborn"	"1 day old"	"female"	"right"	"Visual cortex"	"primary visual cortex"	FALSE	"Layer VI"	"VI"	"present"	"absolute thickness"	"mean"	393	"um"	"SD"	37	10	"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen."	"printed value"	"Table 1, PDF page 4"	
