species_row	Species_Baron1996	vestibular_complex_mm3	nucleus_vestibularis_medialis_mm3	nucleus_vestibularis_inferior_mm3	nucleus_vestibularis_lateralis_mm3	nucleus_vestibularis_superior_mm3	source_pdf_page
1	Eidolon helvum	16.465	6.435	4.979	2.397	2.654	98
2	Rousettus aegyptiacus	9.596	3.767	2.672	1.666	1.491	98
3	Myonycteris torquata	6.759	2.56	1.85	1.095	1.254	98
4	Pteropus conspicillatus	21.897	8.434	6.132	3.679	3.652	98
5	Pteropus poliocephalus	22.302	8.607	6.072	4.554	3.069	98
6	Pteropus scapulatus	16.133	6.068	4.33	3.102	2.633	98
7	Pteropus tonganus	17.893	6.704	4.986	3.476	2.727	98
8	Pteropus vampyrus	26.38	10.458	6.796	4.695	4.43	98
9	Dobsonia inermis	10.414	4.071	2.901	1.659	1.783	98
10	D. moluccensis magna	17.985	7.146	5.121	3.006	2.712	98
11	Dobsonia praedatrix	10.274	4.179	2.54	1.905	1.649	98
12	Epomops franqueti	12.394	5.075	3.619	1.993	1.707	98
13	Epomophorus labiatus	8.457	3.37	2.182	1.641	1.265	98
14	Micropteropus pusillus	4.098	1.692	1.121	0.717	0.569	98
15	Scotonycteris zenkeri	4.364	1.789	1.026	0.768	0.781	98
16	Casinycteris argynnis	4.6	1.973	1.273	0.728	0.626	98
17	Cynopterus brachyotis	4.611	1.951	1.307	0.655	0.699	98
18	Cynopterus horsfieldi	6.972	2.853	1.835	1.167	1.116	98
19	Megaerops ecaudatus	3.724	1.602	0.879	0.622	0.622	98
20	Chironax melanocephalus	3.245	1.343	0.825	0.51	0.566	98
21	Balionycteris maculata	2.736	1.151	0.667	0.449	0.469	98
22	Nyctimene robinsoni	6.486	2.604	1.715	1.148	1.02	98
23	Nyctimene vizcaccia	5.917	2.35	1.432	1.178	0.957	98
24	Eonycteris spelaea	5.65	2.492	1.448	0.804	0.906	98
25	Macroglossus minimus	3.08	1.217	0.779	0.48	0.605	98
26	Syconycteris a. australis	2.548	1.107	0.615	0.36	0.467	98
27	Notopteris macdonaldi	6.741	2.68	1.556	1.199	1.306	98
28	Rhinopoma hardwickei	2.137	0.83	0.545	0.405	0.357	99
29	Rhinopoma microphyllum **	2.939	1.077	0.823	0.522	0.518	99
30	Emballonura monticola	1.539	0.565	0.441	0.327	0.206	99
31	Emballonura raffrayana	1.716	0.622	0.441	0.416	0.237	99
32	Emballonura semicaudata	1.525	0.578	0.393	0.33	0.224	99
33	Coleura afra	1.996	0.844	0.521	0.355	0.276	99
34	Rhynchonycteris naso	1.1	0.46	0.295	0.192	0.153	99
35	Saccopteryx leptura	1.389	0.541	0.363	0.268	0.216	99
36	Cormura brevirostris	1.703	0.604	0.483	0.315	0.301	99
37	Peropteryx trinitatis	1.089	0.398	0.278	0.2	0.214	99
38	Taphozous australis	3.788	1.393	1.022	0.762	0.612	99
39	Taphozous hildegardeae	3.846	1.612	1.032	0.636	0.567	99
40	Taphozous theobaldi	5.13	1.967	1.238	0.995	0.931	99
41	Taphozous saccolaimus	4.399	1.69	1.132	0.832	0.745	99
42	Cyttarops alecto	1.602	0.623	0.461	0.305	0.213	99
43	Craseonycteris thonglongyai II	0.739	0.295	0.197	0.135	0.112	99
44	Nycteris grandis	5.162	1.966	1.606	0.776	0.815	99
45	Nycteris macrotis	3.396	1.333	0.931	0.536	0.596	99
46	Nycteris nana	2.069	0.894	0.561	0.283	0.331	99
47	Nycteris thebaica	2.594	1.074	0.761	0.354	0.404	99
48	Megaderma lyra	6.102	2.49	1.638	1.021	0.953	99
49	Megaderma spasma	4.208	1.667	1.131	0.782	0.628	99
50	Macroderma gigas	10.448	4.165	2.936	1.847	1.499	99
51	Cardioderma cor	5.164	1.943	1.299	0.903	1.02	99
52	Lavia frons	4.462	1.64	1.174	0.942	0.706	99
53	Rhinolophus landeri	2.122	0.827	0.579	0.404	0.312	99
54	Rhinolophus luctus	4.165	1.69	1.109	0.755	0.611	99
55	Rhinolophus pusillus	1.144	0.427	0.299	0.241	0.177	99
56	Hipposideros ater	1.599	0.647	0.464	0.274	0.214	99
57	Hipposideros ater aruensis	1.523	0.564	0.438	0.285	0.236	99
58	Hipposideros commersoni	4.075	1.62	1.08	0.801	0.575	99
59	Hipposideros diadema	4.831	1.91	1.366	0.842	0.714	99
60	Aselliscus stoliczkanus	1.505	0.566	0.417	0.291	0.231	99
61	Aselliscus tricuspidatus	0.962	0.39	0.241	0.169	0.162	99
62	Rhinonycteris aurantius	1.536	0.595	0.394	0.281	0.266	99
63	Triaenops persicus	2.177	0.835	0.609	0.476	0.257	99
64	Noctilio albiventris	2.762	0.928	0.66	0.666	0.508	100
65	Noctilio leporinus	5.841	2.208	1.389	1.188	1.057	100
66	Pteronotus personatus	2.171	0.936	0.55	0.36	0.326	100
67	Pteronotus parnelli	2.97	1.271	0.876	0.45	0.374	100
68	Mormoops megalophylla	2.859	1.191	0.767	0.517	0.384	100
69	Micronycteris megalotis	2.131	0.788	0.651	0.311	0.381	100
70	Micronycteris brachyotis	2.415	0.92	0.711	0.367	0.417	100
71	Macrophyllum macrophyllum	2.369	0.91	0.786	0.38	0.292	100
72	Tonatia bidens	4.316	1.677	1.235	0.668	0.736	100
73	Mimon crenulatum	2.104	0.794	0.561	0.361	0.387	100
74	Phyllostomus discolor	5.165	2.048	1.48	0.85	0.787	100
75	Phyllostomus hastatus	7.174	2.79	2.171	1.168	1.046	100
76	Phylloderma stenops	4.861	2.105	1.145	0.943	0.668	100
77	Trachops cirrhosus	5.983	2.47	1.767	0.86	0.886	100
78	Vampyrum spectrum	12.158	5.25	3.132	2.011	1.764	100
79	Glossophaga soricina	2.441	0.998	0.691	0.438	0.315	100
80	Leptonycteris curasoae	3.655	1.395	1.074	0.699	0.487	100
81	Lionycteris spurrelli	2.44	0.978	0.696	0.392	0.373	100
82	Anoura geoffroyi	3.107	1.23	0.853	0.573	0.451	100
83	Carollia perspicillata	2.792	1.082	0.953	0.395	0.362	100
84	Rhinophylla pumilio	2.05	0.743	0.591	0.291	0.426	100
85	Sturnira lilium	3.012	1.238	0.995	0.367	0.412	100
86	Uroderma bilobatum	3.244	1.316	0.984	0.459	0.485	100
87	Vampyrops vittatus	4.997	1.995	1.673	0.634	0.695	100
88	Chiroderma villosum	3.668	1.432	1.032	0.67	0.534	100
89	Artibeus cinereus	2.463	1.022	0.73	0.308	0.403	100
90	Artibeus lituratus	4.909	2.013	1.304	0.722	0.87	100
91	Brachyphylla cavernarum	5.405	1.91	1.295	1.225	0.975	100
92	Desmodus rotundus	4.814	1.831	1.378	0.85	0.755	101
93	Diphylla ecaudata	4.203	1.69	1.175	0.787	0.551	101
94	Natalus tumidirostris	1.646	0.665	0.449	0.291	0.241	101
95	Furipterus horrens	1.184	0.482	0.306	0.22	0.175	101
96	Myotis albescens	1.117	0.45	0.336	0.186	0.145	101
97	Myotis annectans	1.701	0.694	0.463	0.296	0.247	101
98	Myotis dasycneme	3.103	1.192	0.994	0.454	0.462	101
99	Myotis myotis	4.014	1.544	1.29	0.532	0.648	101
100	Myotis siligorensis	0.939	0.382	0.276	0.133	0.149	101
101	Pipistrellus ceylonicus	1.441	0.58	0.422	0.239	0.2	101
102	Pipistrellus crassulus	1.052	0.424	0.331	0.159	0.137	101
