"Cortex"	"Species"	"CSA"	"CSA_Ref"	"BDFA"	"BDFA_Ref"	"TNS"	"TNS_Ref"
"V1"	"Otolemur"	343	"a"	48362	"k"	556	"k"
"V1"	"Callithrix"	341	"b"	30600	"l"	699	"l"
"V1"	"Aotus"	400	"c"	34400	"m"	773	"m"
"V1"	"Cercopithecus"	2156	"d"	44301	"n"	795	"n"
"V1"	"Macaca"	1866	"e-i"	43570	"o,p"	735	"o,p"
"V1"	"Papio"	2559	"d"	65019	"q"	1077	"q"
"V1"	"Homo"	2826	"j"		""		""
"V2"	"Otolemur"	65	"a"	64741	"k"	1216	"k"
"V2"	"Callithrix"	98	"r"	51700	"l,t"	1240	"l,t"
"V2"	"Aotus"	95	"c"	50400	"m"	1459	"m"
"V2"	"Cercopithecus"		""	82506	"n"	1776	"n"
"V2"	"Macaca"	1203	"e,s"	43900	"t"	1139	"t"
"V2"	"Papio"		""	101210	"q"	1962	"q"
"V2"	"Homo"	1454	"j"	86000	"t"	2417	"t"
"gPFC"	"Otolemur"		""	118002	"u"	3579	"u"
"gPFC"	"Callithrix"	148	"d"	105022	"t"	3983	"t"
"gPFC"	"Aotus"		""	104000	"v"		""
"gPFC"	"Cercopithecus"	1625	"d"	130986	"w"	5152	"w"
"gPFC"	"Macaca"	1733	"d"	133000	"t"	8766	"t"
"gPFC"	"Papio"	2111	"d"	143672	"w"	5009	"w"
"gPFC"	"Homo"	39287	"d"	135000	"t"	15138	"t"
