species_row	Species_Baron1996	total_cortex_mm2	neocortex_mm2	allocortex_mm2	semicortex_mm2	schizocortex_mm2	bicortex_mm2	source_pdf_page
1	Pteropus giganteus	1548	1021	527	194	81	252	161
2	Rousettus leschenaulti	446	242	204	68	30	106	161
3	Myotis daubentoni	129	47	82	22	17	43	161
4	Myotis myotis	154	66	88	27	19	42	161
5	Pipistrellus pipistrellus	58	21	37	11	7	19	161
6	Eptesicus serotinus	121	45	76	22	14	40	161
