"Species"	"common_name_as_printed"	"n"	"body_mass_kg"	"vo2max_per_kg_ml_min_kg"	"vo2max_ml_min"	"reference"	"note"	"source"
"Baiomys taylori"	"Pygmy mice"	4	0.0072	261.6	1.883	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Apodemus sylvaticus"	"European woodmouse"	4	0.02	264	5.28	"Hoppeler et al. (1984)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus musculus"	"C57BL/6J mice"	76	0.021	130	2.73	"Kemi et al. (2002)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus musculus"	"C57BL/6J mice"	17	0.0218	109	2.3762	"Niebauer et al. (1999)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus musculus"	"C57BL/6J mice females"	9	0.0212	120	2.544	"Maxwell et al. (1998)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus musculus"	"C57BL/6J mice males"	72	0.0357	181	6.462	"Schefer and Talan (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus domesticus"	"House mouse"	240	0.021	186.8	3.939	"Dohm et al. (2001)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mus domesticus"	"House mouse"	11	0.0377	139.3	5.251	"Swallow et al. (1998)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Peromyscus maniculatus"	"Deer mice"	211	0.0224	220	4.928	"Chappell et al. (2003)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Tamias striatus"	"Chipmunk"	2	0.0902	238.2	21.485	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Spalax ehrenbergi"	"Mole rat"	4	0.135	107.5	14.584	"Widmer et al. (1997)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"White rat"	4	0.14	103.5	14.492	"Widmer et al. (1997)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"White rat"	3	0.205	96.6	19.803	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Long-Evans rats males"	19	0.317	80.3	25.455	"Lambert et al. (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Sprague-Dawley rats males"	20	0.323	88.5	28.585	"Gosselin et al. (1997)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Sprague-Dawley rats males"	10	0.247	76.6	18.92	"Gonzalez et al. (1998)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Wistar rats males"	6	0.287	67.7	19.429	"Tanaka et al. (1997)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Wistar rats females"	16	0.302	89.3	26.968	"McClelland et al. (1999)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Wistar rats males"	10	0.309	83	25.647	"Niederhoffer et al. (2000)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Rattus norvegicus"	"Wistar rats males"	15	0.373	77.4	28.87	"Abdelmalki et al. (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Helogale pervula"	"Dwarf mongoose"	2	0.43	126.6	54.438	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Cavia porcellus"	"Guinea pig"	5	0.584	55.8	32.587	"Turner et al. (1995)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Bettongia penicillata"	"Rat kangaroos"	2	1.1	177	194.7	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Mungos mungo"	"Banded mongoose"	1	1.14	114	129.96	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Genetta tigrina"	"Genet cat"	2	1.38	106.2	146.55	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Pedetes capensis"	"Spring hares"	2	3	97.2	291.6	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Agouti paca"	"Agouti"	1	3.22	102	328.44	"Hoppeler and Fluck (2002)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Nesotragus moschatus"	"Suni"	2	3.3	96.3	317.79	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Madoqua kirkii"	"Dik-dik"	2	4.2	54.3	228.06	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Alopex lagopus"	"Fox"	3	4.4	217.2	955.68	"Longworth et al. (1989)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Alopex lagopus"	"Fox"	2	4.61	182.1	839.4	"Weibel et al. (1983)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Gazella granti"	"Grant's gazelle"	1	10.1	53.4	539.34	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis latrans"	"Coyote"	2	12.4	184.1	2283.3	"Weibel et al. (1983)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Sus scrofa"	"Pigs"	2	18.5	93.6	1731.6	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Capra hircus"	"African goat"	2	20.9	51.9	1084.71	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Capra hircus"	"Goat"	3	21	66	1386	"Vock et al. (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Capra hircus"	"Goat"	3	26	53.8	1399.32	"Hoppeler et al. (1987)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Ovis aries"	"African sheep"	2	21.8	46.5	1013.7	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis familiaris"	"Dog"	3	21	158.4	3326.4	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis familiaris"	"Dog"	3	23.7	145.8	3455.46	"Vock et al. (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis familiaris"	"Dog"	2	25.3	157.9	3993.9	"Weibel et al. (1983)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis familiaris"	"Dog 87"	3	28	136.8	3830.4	"Hoppeler et al. (1987)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Canis lupus"	"Wolf"	2	27.5	156.5	4310.4	"Weibel et al. (1983)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Antilocapra americana"	"Pronghorn"	1	28.4	297	8434.8	"Lindstedt et al. (1991)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Panthera leo"	"Lion"	2	30	60	1800	"Seeherman et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Connochaetes taurinus"	"Wildebeest"	1	102	43.8	4467.6	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Kobus defassa"	"Waterbuck"	2	109.8	47.1	5171.5	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Bos taurus"	"Calf"	3	141	36.6	5160.6	"Hoppeler et al. (1987)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballus"	"Pony"	3	171	88.8	15184.8	"Hoppeler et al. (1987)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Bos indicus"	"Zebu cattle"	4	192.5	29.4	5659.5	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Taurotragus oryx"	"Eland"	1	240	36	8640	"Mathieu et al. (1981)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Bos taurus"	"Steer"	3	475	51	24225	"Kayar et al. (1989)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	13	421	117	49257	"Tyler et al. (1996)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	6	425	117	49725	"Jose-Cunilleras et al. (2002)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	7	436	142	61912	"Lacombe et al. (2001)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	6	445	117.3	52198.5	"McKeever and Malinowski (1997)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	3	446	136.2	60745.2	"Kayar et al. (1989)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
"Equus caballlus"	"Horse"	5	547	113.7	62193.9	"Kindig et al. (2001)"	"study-level estimate; strain/sex in common_name_as_printed"	"Weibel_etal_2004_TableA.1"
