"species"	"common_name"	"region_sampled"	"region_printed"	"layer"	"feature"	"present"	"identification_basis"	"data_role"	"detail_as_printed"	"method"	"figure_or_section"	"source"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex (GI/DI/AI)"	"V"	"VEN_bipolar_morphology"	FALSE	"morphology"	"primary"	"No VEN-like shaped (bipolar) cells were identified in the mouse insular cortex"	"IHC anti-RFP in Tg(Fezf2-tdTomato); immunofluorescence"	"Figs 2, 3; Results"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex (GI/DI)"	"V"	"Fork_cell_like_morphology"	TRUE	"morphology"	"primary"	"A few Fezf2-positive neurons with two apical dendrites and a basal dendrite"	"IHC anti-RFP; immunoelectron microscopy; 3D reconstruction"	"Figs 2F, 3D-E, 4Ad, S1 Movie"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex"	"V"	"Holding_neuron"	TRUE	"morphology"	"primary"	"Neuron embracing a neighbouring cell (not a capillary); irregular nuclear envelope; embraced cell electron-lucent with non-condensed euchromatin"	"immunoelectron microscopy"	"Fig 4Bc-d"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex (GI/DI)"	"V and VI"	"Fezf2_expression"	TRUE	"marker"	"primary"	"Expressed widely along rostral-caudal axis in layers V/VI; most densely in layer V of GI and DI"	"IHC anti-RFP in Tg(Fezf2-tdTomato)"	"Figs 1, 2, 3"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex (AI)"	"II/III and V"	"GRP_expression"	TRUE	"marker"	"primary"	"Expressed widely in layers II/III and V, highest expression in AI; co-expressed with Fezf2 in some neurons"	"in situ hybridisation; ISHH-IHC dual staining"	"Figs 5, 6, S2"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex (GI/DI/AI) and claustrum"	"V and VI"	"NMB_expression"	TRUE	"marker"	"primary"	"Scattered in deep layers V and VI, highest expression in layer VI; relatively strong expression also in claustrum; absent from medially adjacent putamen"	"in situ hybridisation"	"Figs 5, 7"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"insula_subdivided"	"insular cortex"	"II, III, V"	"ADRA1A_expression"	TRUE	"marker"	"secondary"	"Expressed in layers II, III and V as in humans, although no cells morphologically resembling VENs or fork cells identified"	"Allen Mouse Brain Atlas ISHH (male C57BL/6J P56)"	"Results: Other molecular characteristics"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"cortex_unspecified"	"cerebral cortex"	NA	"VMAT2_expression"	FALSE	"marker"	"secondary"	"Expression not observed in the mouse cerebral cortex"	"Allen Mouse Brain Atlas ISHH"	"Results: Other molecular characteristics"	"Taniguchi_etal_2022"
"Mus musculus"	"mouse"	"cortex_unspecified"	"cerebral cortex"	NA	"GABRQ_expression"	FALSE	"marker"	"secondary"	"Expression not observed in the mouse cerebral cortex"	"Allen Mouse Brain Atlas ISHH"	"Results: Other molecular characteristics"	"Taniguchi_etal_2022"
