"species_row"	"common_name"	"binomial"	"species_footnote"	"species_footnote_text"	"high_frequency_limit_kHz"	"hf_footnote"	"hf_footnote_text"	"low_frequency_limit_kHz"	"lf_footnote"	"lf_footnote_text"	"best_frequency_kHz"	"bf_footnote"	"bf_footnote_text"	"best_sensitivity_dB"	"bs_footnote"	"bs_footnote_text"	"hearing_range_octaves"	"range_footnote"	"range_footnote_text"	"data_role"
1	"Ring-tailed lemur"	"Lemur catta"	""	""	58	""	""	0.067	"2"	"Extrapolated value based on a threshold of 50 dB or higher"	8	""	""	3	""	""	9.76	""	""	"secondary"
2	"Brown lemur"	"Eulemur fulvus"	"1"	"Personal communication (D. Sutherland and R.B. Masterton)"	43	""	""	0.072	""	""	8	""	""	-1	""	""	9.22	""	""	"secondary"
3	"Slow loris"	"Nyctecebus coucang"	""	""	44	""	""	0.083	""	""	16	""	""	9	""	""	9.05	""	""	"secondary"
4	"Potto"	"Perodicticus potto"	""	""	42	""	""	0.125	""	""	16	""	""	1	""	""	8.39	""	""	"secondary"
5	"Lesser bushbaby"	"Galago senegalensis"	""	""	65	""	""	0.092	"2"	"Extrapolated value based on a threshold of 50 dB or higher"	32	""	""	3	""	""	9.46	""	""	"secondary"
6	"Common marmoset"	"Callithrix jacchus"	"4"	"Published under the name Hapale jacchus"	30	""	""		""	""	7	""	""	-9	""	""		""	""	"secondary"
7	"Squirrel monkey"	"Saimiri sciureus"	""	""	43	""	""	0.1	""	""	8	""	""	4.5	""	""	8.75	""	""	"secondary"
8	"Owl monkey"	"Aotus trivirgatus"	""	""	49.5	""	""		""	""	10	""	""	-8	""	""		""	""	"secondary"
9	"Patas monkey"	"Erythrocebus patas"	""	""	30.5	"3"	"Tested using headphones"	0.245	"3"	"Tested using headphones"	8	"3"	"Tested using headphones"	14	"3"	"Tested using headphones"	6.96	"3"	"Tested using headphones"	"secondary"
10	"Cynomolgus macaque"	"Macaca fascicularis"	""	""	42	""	""		""	""	1	""	""	1	""	""		""	""	"secondary"
11	"Japanese macaque"	"Macaca fuscata"	""	""	34.5	""	""	0.028	""	""	1	""	""	5	""	""	10.29	""	""	"secondary"
12	"Rhesus macaque"	"Macaca mulatta"	""	""	42	""	""		""	""	8	""	""	4	""	""		""	""	"secondary"
13	"Pig-tailed macaque"	"Macaca nemestrina"	""	""	34.5	""	""		""	""	1.8	""	""	5	""	""		""	""	"secondary"
14	"Vervet monkey"	"Cercopithecus aethiops"	""	""	45	""	""	0.069	""	""	1.4	""	""	-4	""	""	9.35	""	""	"secondary"
15	"Blue monkey"	"Cercopithecus mitis"	""	""	48	"2"	"Extrapolated value based on a threshold of 50 dB or higher"	0.046	"2"	"Extrapolated value based on a threshold of 50 dB or higher"	1.4	""	""	4	""	""	10.03	""	""	"secondary"
16	"DeBrazza's monkey"	"Cercopithecus neglectus"	""	""	43	""	""	0.063	""	""	5.7	""	""	2	""	""	9.38	""	""	"secondary"
17	"Yellow baboon"	"Papio cynocephalus"	""	""	40	""	""	0.045	"2"	"Extrapolated value based on a threshold of 50 dB or higher"	8	""	""	0	""	""	9.8	""	""	"secondary"
18	"Chimpanzee"	"Pan troglodytes"	""	""	28.5	""	""		""	""	8	""	""	3	""	""		""	""	"secondary"
19	"Human"	"Homo sapiens"	""	""	17.6	""	""	0.031	""	""	4	""	""	-10	""	""	9.15	""	""	"secondary"
