"Y"	"X"	"n"	"R2"	"p"	"Slope"	"Slope_lower95CI"	"Slope_upper95CI"	"Intercept"	"Intercept_lower95CI"	"Intercept_upper95CI"	"source_location"	"data_role"
"GLI V1"	"NEOCORTEX VOL"	6	0.677	0.044	-0.47	-0.98	-0.23	1.88	1.57	2.18	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI V1"	"V1 VOL"	7	0.788	0.008	-0.24	-0.39	-0.14	2.35	1.9	2.79	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI V1"	"LGN VOL"	7	0.61	0.038	-0.9	-1.76	-0.46	2.12	1.68	2.56	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI V1"	"OPTIC NERVE"	6	0.704	0.037	-0.79	-1.58	-0.39	1.98	1.63	2.33	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI V2"	"V1 VOL"	7	0.821	0.005	-0.27	-0.43	-0.17	2.43	1.96	2.9	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI V2"	"OPTIC NERVE"	6	0.777	0.02	-0.77	-1.43	-0.42	1.93	1.63	2.23	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI VP"	"V1 VOL"	7	0.783	0.008	-0.26	-0.43	-0.15	2.37	1.88	2.86	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
"GLI VP"	"OPTIC NERVE"	6	0.707	0.036	-0.75	-1.51	-0.38	1.91	1.58	2.25	"Table 2, RMA regressions of V1, V2, and VP GLI values on brain and visual system variables"	"primary"
