"search_id"	"sex_file"	"Sex_reported"	"habitat_type"	"Reference"	"Full_Reference"	"SpeciesName_Reported"	"CommonName_Reported"	"species_sci"	"Sleep_h_day"	"Sleep_h_day_drowsy_adj"	"REM_h"	"NREM_h"	"Sleep_cycle_min"	"REM_sleep_pct"	"Sleep_h_day_in_water"	"Sleep_h_day_on_land"	"REM_h_in_water"	"REM_h_on_land"	"NREM_h_in_water"	"NREM_h_on_land"	"USWS"	"BSWS"	"ASWS"	"N_reported"	"N_in_mean"	"Animals_sampled"	"EEG"	"Telemetry"	"Twenty_four_hour"	"Light"	"Adaptation"	"Diet_condition"	"Temperature"	"Restraint"	"Behavioural"	"Lab_condition_score"	"Summary_age_class"	"Monophasic_polyphasic"	"Error"	"Error_Note"	"Notes_Misc"	"Data_came_from"	"Post1988"
20	"Male"	"M"	"Land"	"Astic & Royet, 1974"	"Astic, L., & Royet, J. P. (1974). Sommeil Chez La Rat-kangourou, Potorus Apicalis. Etude Chez L’adulte Et Chez Le Jeune Un Mois Avant La Sortie Definitive Du Marsupium. Effets Du Sevrage. Electroencephalography & Clinical Neurophysiology, 37(5), 483-489."	"Potorous Apicalis"	"Kangaroo Rat"	"Potorous apicalis"	10.644	NA	1.392	9.252	NA	13.0777903043968	NA	NA	NA	NA	NA	NA	""	""	""	2	2	2	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	11	"Adult"	"Poly"	""	""	"In French; 2 Adult Males; 24 Hr Recording Period; Subspp Potorous Tridactylus Apicalis"	"Not from Zepelin"	"No"
22	"Male"	"M"	"Land"	"Astic Et Al., 1979"	"Astic, L., Saucier, D., & Megirian, D. (1979). Sleep Circadian Rhythm In Rat Kangaroo (Potorous Apicalis): Effect Of Food Distribution. Physiology & Behavior, 22(3), 441-446."	"Potorous Apicalis"	"Kangaroo Rat"	"Potorous apicalis"	10.68	NA	0.624	10.056	NA	5.84269662921348	NA	NA	NA	NA	NA	NA	""	""	""	4	4	4	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"Yes"	"0"	9	"Adult"	"Poly"	""	""	"In French; Data From Campbell & Tobler, 1984; Have Species As Kangaroo Rat; Total_daily_sleep Changed From 11.6 To 10.68 (based On Table 2)"	"Not from Zepelin"	"No"
87	"Male"	"M"	"Land"	"Dallaire & Ruckebush, 1974A"	"Dallaire, A., & Ruckebusch, Y. (1974A). Sleep And Wakefulness In The Housed Pony Under Different Dietary Conditions. Canadian Journal Of Comparative Medicine, 38, 65-71."	"Pottock Pony"	"Pottock Pony"	"Equus caballus"	3.156	NA	0.727	2.429	NA	23.0354879594423	NA	NA	NA	NA	NA	NA	""	""	""	4	4	4	"Yes"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"1"	9	"Infant Juvenile & Adult"	NA	""	""	"12 Hr Recording; Does Not Specify If 6 Months Is Juvenile; It Does State Ponies. Though; 5 Ponies Explained In Methods, But Sleep Quotas For Only 4 Ponies"	"Not from Zepelin"	"No"
88	"Male"	"M"	"Land"	"Dallaire & Ruckebush, 1974B"	"Dallaire, A., & Ruckebusch, Y. (1974B). Sleep Patterns In The Pony With Observations On Partial Perceptual Deprivation. Physiology & Behavior, 12(5), 789-796."	"Pottock Pony"	"Pottock Pony"	"Equus caballus"	3.325	NA	0.796	2.529	13.475	23.9398496240602	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	10	"Infant Juvenile & Adult"	NA	""	""	"12 Hr Recording; Unclear Whether To Put Juvenile Or Adult; States Ponies Used At 6 Months. 1 Year And 6 Years Old"	"Not from Zepelin"	"No"
273	"Male"	"M"	"Land"	"Van Twyver, 1969"	"Van Twyver, H. (1969). Sleep Patterns In Five Rodent Species. Physiology & Behavior, 4, 901-905."	"Rattus Norvegicus"	"Rat (Long Evans Strain)"	"Rattus norvegicus"	13.248	NA	2.5834	10.665	8.5	19.5003019323672	NA	NA	NA	NA	NA	NA	""	""	""	6	6	6	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	NA	"1"	10	"Adult"	"Poly"	""	""	"Campbell & Tobler (1984) Have Species As Rat (Long Evans)"	"Not from Zepelin"	"No"
44	"Male"	"M"	"Land"	"Baumgardner Et Al., 1980"	"Baumgardner, D. J., Ward, S. E., & Dewsbury, D. A.  (1980). Diurnal Patterning Of Eight Activities In 14 Species Of Muroid Rodents. Animal Learning & Behavior, 8, 322-330."	"Rhabdomys Pumilio"	"African-striped Mice"	"Rhabdomys pumilio"	8.6944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	12	12	12	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Adult"	NA	""	""	"TS Only; Took % Of Day And Night And Combined Totals; Do Not Know Exact Age B/c Gave Range Of 90-120 Days; 16hr/8hr Reverse Schedule; Females Excluded"	"Not from Zepelin"	"No"
139	"Male"	"M"	"Land"	"Kantha & Suzuki, 2006"	"Kantha, S. S., & Suzuki, J. (2006). Sleep Quantitation In Common Marmoset, Cotton Top Tamarin And Squirrel Monkey By Non-invasive Actigraphy. Comparative Biochemistry & Physiology, Part A, 144, 203-210."	"Saguinus Oedipus"	"Cotton Tap Tamarin"	"Saguinus oedipus"	13.183	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	""	""	""	4	4	4	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"0"	7	"Adult"	NA	""	""	"Only Mean TST Taken; Does Not State If 6 Yrs Is Adult Or Juv"	"Not from Zepelin"	"Yes"
1	"Male"	"M"	"Land"	"Adams & Barratt, 1974"	"Adams, P., & Barratt, E. (1974). Nocturnal Sleep In Squirrel Monkeys.  
Electroencephalography & Clinical Neurophysiology, 36, 201-204."	"Saimiri Sciureus"	"Squirrel Monkey"	"Saimiri sciureus"	9.888	NA	2.264	7.264	NA	22.8964401294498	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"Yes"	"1"	9	"Adult"	"Mono"	""	""	"Mono From Campbell & Tobler (1984); 12 Hour Recording Time"	"Not from Zepelin"	"No"
140	"Male"	"M"	"Land"	"Kantha & Suzuki, 2006"	"Kantha, S. S., & Suzuki, J. (2006). Sleep Quantitation In Common Marmoset, Cotton Top Tamarin And Squirrel Monkey By Non-invasive Actigraphy. Comparative Biochemistry & Physiology, Part A, 144, 203-210."	"Saimiri Sciureus"	"Squirrel Monkey"	"Saimiri sciureus"	7.8333	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	""	""	""	2	2	2	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	"No"	"0"	7	"Adult"	NA	""	""	"Only Mean TST Taken"	"Not from Zepelin"	"Yes"
282	"Male"	"M"	"Land"	"Wexler & Moore-Ede, 1985"	"Wexler, D. B., & Moore-Ede, M. C.  (1985). Circadian Sleep-wake Cycle Organization In Squirrel Monkeys. American Journal Of Physiology- Regulatory, Integrative & Comparative Physiology, 248, R353-R362."	"Saimiri Sciureus"	"Squirrel Monkey"	"Saimiri sciureus"	9.6	NA	1.4	8.2	NA	14.5833333333333	NA	NA	NA	NA	NA	NA	""	""	""	4	4	4	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	11	"Adult"	NA	""	""	"Data Based On Total Circadian Cycle For LD Period; Authors Reported Numbers Derived From Averaged Waveforms; Even If We Used A Different Table That Reported % Of Time In Each Sleep-wake Stage Composition. Our Numbers Are Only A Couple Of Tenths Different."	"Not from Zepelin"	"No"
