"species"	"common_name_printed"	"common_name"	"habitat_descriptor"	"retinal_q10_light_adapted"	"n"	"r_squared"	"source_in_paper"	"source"
"Xiphias gladius"	"Swordfish"	"swordfish"	NA	5.1	6	0.8	"text p. 55 and Fig. 2A legend"	"Fritsches_etal_2005"
"Thunnus albacares"	"Yellowfin tuna"	"yellowfin tuna"	"surface-living"	2.3	5	0.72	"text p. 55 and Fig. 2B legend"	"Fritsches_etal_2005"
"Thunnus obesus"	"Bigeye tuna"	"bigeye tuna"	"deep-diving"	2.5	6	0.76	"text p. 55 and Fig. 2B legend"	"Fritsches_etal_2005"
