"species_row"	"source_pdf_page"	"species_printed"	"n"	"BL"	"HL"	"HW"	"HH"	"n2"	"CCL"
1	4	"Eidolon helvum"	13	27.5	20.6	20.3	15	3	5.43
2	4	"Rousettus aegyptiacus"	17	23.3	15.8	16	12	2	4
3	4	"R. amplexicaud. brachyotis §)"	6	21	13.2	13.4	10.5	3	3.52
4	4	"R. a. stresem. + R.leschen. §)"	23	23	14.4	14.5	11.2	3	3.88
5	4	"Lissonycteris angolensis"	8	21.1	14.7	14.9	11.2		
6	4	"Myonycteris torquata"	4	20.2	12.9	12.9	9.9	3	2.8
7	4	"Pteropus alecto"	4	38.8	26.2	22.8	18	2	8.88
8	4	"Pteropus conspicillatus"	1	41.3	28.2	24.1	19.4		
9	4	"Pteropus hypomelanus"	1	35.5	23.3	20.7	16.3	1	7.98
10	4	"Pteropus lylei"	7	36.9	25.8	21.7	17.7	4	7.58
11	4	"Pteropus macro tis"	1	36.2	25.7	22.6	16.7		
12	4	"Pteropus mahaganus"	2	32.8	23.6	21	16.8	2	7.17
13	4	"Pteropus neohibernicus"	2	46.3	31.8	24.5	19.3	2	10.63
14	4	"Pteropus poliocephalus"	2	39.8	25.7	23.9	18	2	8.21
15	4	"Pteropus samoensis"	1	35.8	25.6	20.4	17.3	1	7.08
16	4	"Pteropus scapulatus"	3	33.4	23.3	22.2	16.2	2	6.46
17	4	"Pteropus temmincki"	2	33.6	23.1	20.3	16.3	2	5.62
18	4	"Pteropus tonganus"	9	36.7	25.2	21.2	17.3	3	8.58
19	4	"Pteropus vampyrus"	5	42.8	28.7	24.8	19	2	9.95
20	4	"Dobsonia inermis"	7	27	17.1	16.2	13.9	3	5.09
21	4	"D. moluccensis magna §)"	4	35.2	22.7	20.5	16.8	2	7.02
22	4	"D. moluccensis anderseni §)"	7	30.1	19.4	18.5	15.5	3	5.56
23	4	"Dobsonia praedatrix"	7	28.7	18.2	16.8	13.8	3	5.4
24	4	"Hypsignathus monstrosus"	1	30.2	18.3	19.9	15.7	1	4.12
25	4	"Epomops franqueti"	10	25.9	15.6	16.7	11.6	3	3.93
26	4	"Epomophorus labiatus"	21	21.4	14.1	14.4	10.4	3	3.21
27	4	"Epomophorus wahlbergi"	10	20.7	14.4	15.7	10.7		
28	4	"Micropteropus pusillus"	8	15.2	10.9	11.7	8.9	3	2.87
29	4	"Scotonycteris zenkeri"	3	16.1	10.1	11.2	8.7	2	2.84
30	4	"Casinycteris argynnis"	12	16	10.8	12.1	9.5	4	2.6
31	4	"Cynopterus brachyotis"	21	18	11.6	12.1	9.8	3	3.08
32	4	"Cynopterus horsfieldi"	14	21	13.3	13.2	10.7	3	3.14
33	4	"Cynopterus sphinx sphinx"	16	19.5	12.2	13.1	10.1	3	3.12
34	4	"Cynopterus sph. angulatus"	2	17.5	11.6	12.2	9.3		
35	4	"Megaerops ecaudatus"	10	16.5	10.3	11.3	9.1	2	1.97
36	4	"Megaerops niphanae"	3	18.1	11.8	11.6	9.7		
37	4	"Chironax melanocephalus"	10	15	9.4	10.2	8.3	3	2.26
