"Species"	"medulla_oblongata_mm3"	"cerebellum_mm3"	"mesencephalon_mm3"	"diencephalon_mm3"	"bulbus_olfactorius_mm3"	"palaeocortex_plus_amygdala_mm3"	"septum_mm3"	"striatum_mm3"	"schizocortex_mm3"	"hippocampus_mm3"	"neocortex_mm3"	"telencephalon_total_mm3"	"total_brain_mm3"	"body_weight_g"	"n_brains"	"note"	"source"
"Rhinolophus hipposideros"	24.3	32.5	16.9	13.9	2.3	11.1	2.1	6.9	5.9	14.8	19.7	62.7	150.3	4.6	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Myotis myotis"	77.6	86.2	44.1	46.6	13.2	42.9	7.2	22	20.9	36.5	72	214.6	469.1	25	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Myotis nattereri"	30.1	37.5	20	17.4	4.7	21.1	3.4	10	8.5	21.6	33.7	102.9	207.9	7	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Chaerophon leucostigma"	55.6	69.6	39.5	28.1	8.7	35.5	5.6	15	9.6	19.7	80.3	174.5	367.3	26.5	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Asellia tridens"	36.4	35	25.5	20.4	5.2	18.5	3.6	12.7	8	18.7	40.7	107.4	224.7	12.8	2	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Hipposideros bicolor"	35.5	42.4	25.6	18.8	3.6	18.1	3.1	12.4	5.7	14.7	46.4	103.9	226.1	8.4	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Glossophaga soricina"	44.1	73.4	26.4	30.5	9.9	26.4	5.4	17.9	12.6	30.1	82.3	184.5	358.8	11.2	2	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Phyllostomus discolor"	79.8	137.6	58.9	75.7	24.7	75.8	10.5	44.4	25.3	60.9	242.2	483.9	835.9	33	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Carollia perspicillata"	51.8	71.3	37.5	39.9	20.8	41.7	6.8	21.3	15.8	38.9	96.2	241.4	441.9	16	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
"Sturnira lilium"	51.3	74.1	30.5	42.8	19.7	41.5	7.1	31.2	16.9	43.5	128.6	288.6	487.3	17.1	1	"net volumes (pure tissue: ventricles, meninges, nerves excluded), corrected to fresh standard brain volume (Pirlot & Stephan 1970 standard weights / 1.036); schizocortex (Rose) = regio entorhinalis + perirhinalis + praesubicularis; species names as published"	"Stephan_Pirlot_1970_Table1"
