species_as_published	common_name	n_specimens	orbit_convergence_mean_deg	orbit_convergence_sd_deg	binocular_visual_field_min_deg	binocular_visual_field_max_deg	binocular_visual_field_midpoint_deg	binocular_visual_field_reference	data_role	note	source
Equus caballos	Horse	4	24.4	2.5	57	57	57.0	Walls (1942)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Ovis aries/canadensis	Sheep	2	28.8		61.7	61.7	61.7	Piggins and Phillips (1996)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Bos taurus	Cattle	4	32	4.3	51	51	51.0	Walls (1942)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Capra hircus	Goat	3	38.7	2.6	63	63	63.0	Walls (1942); Hughes and Whitteridge (1973)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Rattus rattus	Rat	2	32		40	60	50.0	Hughes (1979); Arrese et al. (1999)	primary_orbit_convergence_secondary_visual_field	Range printed as 40-60 degrees.	Heesy__2004 Table1
Mus musculus	Mouse	6	38.3	6.4	40	40	40.0	Drager (1978); Arrese et al. (1999)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Mesocricetus auratus	Hamster	6	55.8	3.5	80	80	80.0	Finlay and Berian (1984); Arrese et al. (1999)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Sciurus carolinensis	Squirrel (E. Grey)	4	22.1	2.0	60	60	60.0	Hughes (1977)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Lepus sp.	Rabbit	2	20		27	32	29.5	Walls (1942)	primary_orbit_convergence_secondary_visual_field	Range printed as 27-32 degrees.	Heesy__2004 Table1
Canis lupus/sp.	Dog	6	50.4	5.6	78	116	97.0	Walls (1942)	primary_orbit_convergence_secondary_visual_field	Range printed as 78-116 degrees; paper reports a mean was used in analysis.	Heesy__2004 Table1
Felis catus	Cat	6	65.4	5.8	120	120	120.0	Illing and Wassle (1981); Dunlop et al. (1998)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Mustela putorius (furo)	Ferret	2	35.3		80	80	80.0	Morgan et al. (1987); Dunlop et al. (1998)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Pteropus poliocephalus	Gray-headed flying fox	3	50.9	3.8	108	108	108.0	Rosa and Schmid (1994)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Dasyurus hallucatus	Marsupial cat	6	41.6	3.5	125	125	125.0	Harman et al. (1986)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Didelphis virginiana	N.A. opossum	6	59.8	8.3	125	125	125.0	Rapaport et al. (1981)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Didelphis marsupialis	S.A. opossum	4	57.2	4.9	125	125	125.0	Oswaldo-Cruz et al. (1979)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Trichosurus vulpecula	Brush-tailed possum	5	59.7	2.6	125	125	125.0	Sousa et al. (1978); Arrese et al. (1999)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Myrmecobius fasciatus	Numbat	4	34.4	4.5	80	80	80.0	Arrese et al. (2000)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Macropus eugenii	Tammar wallaby	6	43.9	1.9	60	60	60.0	Wye-Dvorak et al. (1987)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Sminthopsis crassicaudata	Fat-tailed dunnart	2	40.8		140	140	140.0	Rodger et al. (1998)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Tupaia glis	Common treeshrew	6	32	3.4	60	60	60.0	Hughes (1977)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Otolemur crassicaudatus	Bushbaby	6	55.0	3.8	136	136	136.0	Ross (2000)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Tarsius bancanus	Tarsier	6	52.5	2.8	127	127	127.0	Ross (2000)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Aotus trivirgatus	Owl monkey	6	67.5	2.0	138	138	138.0	Allman and McGuinness (1988)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Saimiri sciureus	Squirrel monkey	6	69.9	3.9	146	146	146.0	Ross (2000)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Macaca mulatta	Rhesus macaque	6	73.9	7.1	140	140	140.0	Ross (2000)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
Homo sapiens	Human	2	79.3		140	140	140.0	Vakkur and Bishop (1963); Bruce et al. (1996)	primary_orbit_convergence_secondary_visual_field		Heesy__2004 Table1
