"species"	"species_as_published"	"ven_vol_um3_mean"	"ven_vol_um3_sd"	"pyramidal_vol_um3_mean"	"pyramidal_vol_um3_sd"	"fusiform_vol_um3_mean"	"fusiform_vol_um3_sd"	"ven_index_as_published"	"ven_index_recomputed"	"source"
"Tursiops truncatus"	"T. truncatus"	4449	524	3323	310	1436	175	1.34	1.34	"Butti_etal_2009"
"Grampus griseus"	"G. griseus"	3186	479	2923	298	1460	158	1.09	1.09	"Butti_etal_2009"
"Delphinapterus leucas"	"D. leucas"	3406	468	2710	347	1248	150	1.26	1.26	"Butti_etal_2009"
"Megaptera novaeangliae"	"M. novaeangliae"	6189	948	3558	393	1662	231	1.74	1.74	"Butti_etal_2009"
