"species_as_published"	"specimen_number"	"product"	"code"	"source_label"	"value"	"unit"	"printed_multiplication_factor"	"factor_direction"	"recomputed_multiplication_factor"	"factor_absolute_difference"	"note"	"source"
"Cavia porcellus"	"60-1"	"volume"	"corticothalamic_ratio"	"cortico-thalamic ratio"	5.15	"ratio"	1.78	"capybara_divided_by_guinea_pig"	1.78058252427184	0.000582524271844465	"Printed values retained. The guinea-pig ratio is not reproduced by 170.2 / 36.6 (= 4.65)."	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cortical_morphometry"	"cortical_surface_area_mm2"	"total cortex surface"	218.2	"mm2"	11.46	"capybara_divided_by_guinea_pig"	11.4619615032081	0.0019615032080651	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cortical_morphometry"	"cortical_fissure_area_mm2"	"cortex in fissures"	7	"mm2"	108.61	"capybara_divided_by_guinea_pig"	108.614285714286	0.00428571428571445	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cortical_morphometry"	"cortical_surface_in_fissures_pct"	"percent cortex in fissures"	3.2	"percent"	9.5	"capybara_divided_by_guinea_pig"	9.5	0.00000000000000177635683940025	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cortical_morphometry"	"cortical_thickness_mm"	"cortical thickness"	0.78	"mm"	2.04	"capybara_divided_by_guinea_pig"	2.03846153846154	0.00153846153846171	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"neocortex_mean_neurons_per_sample"	"mean number of cells/sample - cortex"	38.53	"neurons_per_162000_um3_sample"	3.74	"guinea_pig_divided_by_capybara"	3.74077669902913	0.000776699029125805	"All neurons containing nucleoli were counted."	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"caudate_mean_neurons_per_sample"	"mean number of cells/sample - cau"	29.32	"neurons_per_162000_um3_sample"	3	"guinea_pig_divided_by_capybara"	3.1977314865307	0.197731486530701	"Printed factor 3.0 retained; values imply 3.20."	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"neocortex_neuronal_density_per_mm3"	"cell densities - cortex"	237846	"neurons_per_mm3"	3.74	"guinea_pig_divided_by_capybara"	3.74077569123337	0.000775691233367848	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"caudate_neuronal_density_per_mm3"	"cell densities - cau"	180992	"neurons_per_mm3"	3	"guinea_pig_divided_by_capybara"	3.19773851590106	0.19773851590106	"Printed factor 3.0 retained; values imply 3.20."	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"neocortex_total_neuron_number"	"total cell numbers - cortex"	40481389	"neurons"	6.25	"capybara_divided_by_guinea_pig"	6.24960714663225	0.000392853367753965	""	"Campos_Welker_1976"
"Cavia porcellus"	"60-1"	"cell_count"	"caudate_total_neuron_number"	"total cell numbers - cau"	6823398	"neurons"	3.43	"capybara_divided_by_guinea_pig"	3.42582976985953	0.00417023014046691	""	"Campos_Welker_1976"
