"Row_ID"	"Order"	"Specie"	"Source_name"
156	"Primates"	"Gorilla gorilla"	"https://www.youtube.com/watch?v=2Npc5QlS6Iw"
157	"Primates"	"Gorilla gorilla"	"https://www.youtube.com/watch?v=-Khlzm0D49A"
158	"Artiodactyla"	"Capra aegagrus hircus"	"https://www.youtube.com/watch?v=LWDY7zS7Ic4"
159	"Artiodactyla"	"Taurotragus oryx"	"Muybridge, E. (1979). Muybridge's complete human and animal locomotion: All 781 plates from the Animal locomotion. (A. V. Mozley, Ed.). Dover Publications."
160	"Artiodactyla"	"Bos primigenius taurus"	NA
161	"Artiodactyla"	"Capra aegagrus hircus"	NA
162	"Perissodactyla"	"Equus ferus caballus"	NA
163	"Artiodactyla"	"Cervus canadensis"	NA
164	"Carnivora"	"Canis lupus familiaris"	NA
165	"Carnivora"	"Canis lupus familiaris"	NA
166	"Proboscidea"	"Elephas maximus"	NA
167	"Primates"	"Papio papio"	NA
168	"Carnivora"	"Procyon lotor"	NA
169	"Artiodactyla"	"Camelus bactrianus"	NA
170	"Carnivora"	"Panthera tigris"	NA
171	"Artiodactyla"	"Sus scrofa domestica"	NA
172	"Carnivora"	"Panthera pardus"	NA
173	"Rodentia"	"Hydrochoerus hydrochaeris"	NA
174	"Artiodactyla"	"Bison bison"	NA
175	"Carnivora"	"Felis silvestris catus"	NA
176	"Carnivora"	"Panthera leo"	NA
177	"Carnivora"	"Panthera leo"	NA
178	"Diprotodontia"	"Macropus fuliginosus"	NA
179	"Artiodactyla"	"Eudorcas thomsonii"	NA
180	"Artiodactyla"	"Lama guanicoe"	NA
181	"Lagomorpha"	"Lepus europaeus"	NA
182	"Artiodactyla"	"Cervus elaphus"	NA
